DateTime,AddedIPs,RemovedIPs
1538795136,3,1
1538798740,1,0
1538802332,1,1
1538805929,0,2
1538809546,2,1
1538813134,1,3
1538816727,1,0
1538820353,1,1
1538823939,1,2
1538827538,3,2
1538831142,3,1
1538834749,1,0
1538838348,0,3
1538841932,3,1
1538845523,4,0
1538849149,1,4
1538852722,1,0
1538856327,1,0
1538859955,1,2
1538863534,1,2
1538867141,1,2
1538870794,1,2
1538874335,2,1
1538877943,0,1
1538881541,0,1
1538885149,1,2
1538888759,2,0
1538892339,1,1
1538899541,1,0
1538903145,1,0
1538906737,0,2
1538910328,2,1
1538913958,2,1
1538917546,2,2
1538921140,1,1
1538924737,1,1
1538928335,2,1
1538931945,1,2
1538935536,0,1
1538939138,1,1
1538946332,0,1
1538949928,1,2
1538953530,1,3
1538957153,3,3
1538960745,4,0
1538964351,2,0
1538967945,4,1
1538971533,1,3
1538975147,1,3
1538978752,3,2
1538982358,1,3
1538985934,3,1
1538989539,2,2
1538993142,2,2
1538996728,4,1
1539000334,1,4
1539003943,2,3
1539007570,0,1
1539011147,1,1
1539014725,2,2
1539018337,1,1
1539021955,0,1
1539025537,1,2
1539029137,1,1
1539032760,1,1
1539036339,2,0
1539039933,2,1
1539043559,0,1
1539047143,0,1
1539050740,1,1
1539054333,1,0
1539057928,2,1
1539061541,2,1
1539065139,1,0
1539068746,1,3
1539072334,3,2
1539075948,4,1
1539079540,1,3
1539083126,3,2
1539086720,3,2
1539090341,1,2
1539093957,0,6
1539097546,2,2
1539101124,2,2
1539104745,1,1
1539108336,2,0
1539115546,3,3
1539119136,1,1
1539122732,1,2
1539126344,1,0
1539129960,1,0
1539133529,3,0
1539140759,2,1
1539144331,1,4
1539147953,0,2
1539151527,1,2
1539155154,0,2
1539158732,3,0
1539162328,1,0
1539165928,2,1
1539169537,0,1
1539173124,1,1
1539176731,4,1
1539180345,1,3
1539183941,3,2
1539187544,0,2
1539191132,2,2
1539194752,1,1
1539198348,2,1
1539201930,1,1
1539205562,0,3
1539209126,1,1
1539212743,1,0
1539216371,1,1
1539219944,1,0
1539223560,2,1
1539227143,1,1
1539230737,1,3
1539234330,2,2
1539237952,2,0
1539241545,1,2
1539245147,2,1
1539248756,1,1
1539252334,2,1
1539255940,2,2
1539259544,2,1
1539263161,2,0
1539266755,0,3
1539270346,2,1
1539273942,1,1
1539277531,4,3
1539281143,2,2
1539284749,1,2
1539288355,1,1
1539291956,1,5
1539295555,1,1
1539299140,2,1
1539302755,2,2
1539306345,1,1
1539309938,1,1
1539313556,1,2
1539317149,1,2
1539320747,2,3
1539324342,2,0
1539327955,2,1
1539335157,0,2
1539338736,1,1
1539342337,2,0
1539345960,1,1
1539349547,1,0
1539353135,1,1
1539356747,1,1
1539360342,2,1
1539363951,0,1
1539367555,1,1
1539371139,2,1
1539374748,1,1
1539378353,1,1
1539381961,0,2
1539385563,1,1
1539389157,2,1
1539392734,0,1
1539396335,2,3
1539399942,1,0
1539403548,1,1
1539407118,2,1
1539410744,0,1
1539414338,1,2
1539417937,1,1
1539421523,3,3
1539428744,0,1
1539432333,2,1
1539435943,1,0
1539439542,0,1
1539443148,2,1
1539446733,1,1
1539450337,1,3
1539453933,3,1
1539457535,0,3
1539461167,0,2
1539464741,1,0
1539468339,1,1
1539471941,1,1
1539479124,1,0
1539486335,2,0
1539500750,0,1
1539504345,1,2
1539518749,0,1
1539522341,1,1
1539529523,0,1
1539533146,1,0
1539536740,2,1
1539543934,1,0
1539547532,0,2
1539551131,1,0
1539554722,0,1
1539558339,3,0
1539561960,0,1
1539565529,1,1
1539569145,0,1
1539572746,1,0
1539583531,0,3
1539587126,1,2
1539590749,2,0
1539594333,1,0
1539597954,0,1
1539601535,1,0
1539605141,1,1
1539608736,1,0
1539612346,1,0
1539615964,1,1
1539619551,0,3
1539623153,2,2
1539626743,2,0
1539630342,1,1
1539641131,2,0
1539644721,0,1
1539648354,1,2
1539651935,0,1
1539655544,0,2
1539659146,2,1
1539666340,1,1
1539669936,0,2
1539709523,5,2
1539713096,1,2
1539716706,0,2
1539723908,1,2
1539727509,1,1
1539731098,2,0
1539734747,1,1
1539738333,1,4
1539741933,3,0
1539745546,1,1
1539756337,0,1
1539759942,1,1
1539763540,2,0
1539767134,1,0
1539777942,1,1
1539781539,0,1
1539785139,2,0
1539788732,1,1
1539792333,0,3
1539795956,1,2
1539799546,3,1
1539803142,2,0
1539806734,0,4
1539810327,1,2
1539813932,1,0
1539824746,0,2
1539828347,1,1
1539831962,1,0
1539835554,1,0
1539839144,1,1
1539842742,1,0
1539846345,0,2
1539849952,1,2
1539853546,2,1
1539857142,2,0
1539860748,1,0
1539867959,0,1
1539871547,1,5
1539875152,0,1
1539878750,2,0
1539882356,0,1
1539885942,2,2
1539889543,4,0
1539893141,0,1
1539896742,1,0
1539900351,0,3
1539903939,2,0
1539907560,1,1
1539911142,2,2
1539914754,0,1
1539918344,1,2
1539921944,1,0
1539925556,1,1
1539929149,0,1
1539932747,2,0
1539936344,1,0
1539939943,0,1
1539943549,0,2
1539947144,2,1
1539950747,2,2
1539954358,0,2
1539957955,3,1
1539961555,1,1
1539965145,1,1
1539968748,1,0
1539972358,0,1
1539979554,1,2
1539983152,1,1
