DateTime,Entries,UniqueIPs
1538878038,136,136
1538885248,135,135
1538888855,136,136
1538892436,134,134
1538896025,135,135
1538899639,136,136
1538903240,135,135
1538906825,136,136
1538910423,136,136
1538914056,136,136
1538917641,137,137
1538921236,138,138
1538924827,136,136
1538928431,136,136
1538932044,135,135
1538935631,136,136
1538939228,135,135
1538942857,134,134
1538946428,135,135
1538953620,135,135
1538960842,133,133
1538964447,135,135
1538968039,137,137
1538971631,133,133
1538975243,134,134
1538978848,136,136
1538982450,134,134
1538986028,137,137
1538989630,138,138
1538993237,137,137
1538996821,136,136
1539000431,133,133
1539004042,133,133
1539007664,134,134
1539011238,134,134
1539014815,132,132
1539018431,134,134
1539022051,136,136
1539025633,134,134
1539029233,135,135
1539032854,135,135
1539036430,135,135
1539040029,138,138
1539043667,137,137
1539047242,137,137
1539050845,137,137
1539054437,137,137
1539058087,135,135
1539061641,134,134
1539065235,133,133
1539068847,134,134
1539072426,134,134
1539076044,135,135
1539079641,136,136
1539083222,136,136
1539086811,134,134
1539090440,137,137
1539094047,136,136
1539097645,135,135
1539101227,133,133
1539104840,134,134
1539108437,134,134
1539112063,134,134
1539115645,134,134
1539119230,134,134
1539122833,134,134
1539126441,133,133
1539130053,133,133
1539133624,133,133
1539140854,134,134
1539144425,133,133
1539151620,133,133
1539155250,133,133
1539158830,133,133
1539162429,134,134
1539166021,133,133
1539169633,133,133
1539173222,135,135
1539176829,136,136
1539180440,135,135
1539184037,136,136
1539187638,137,137
1539191228,134,134
1539194846,134,134
1539198438,133,133
1539202017,133,133
1539205656,132,132
1539209212,130,130
1539212840,133,133
1539216459,135,135
1539220042,135,135
1539223658,134,134
1539227242,132,132
1539230831,133,133
1539234418,135,135
1539238048,135,135
1539241642,135,135
1539245240,136,136
1539248854,137,137
1539256027,137,137
1539259640,137,137
1539263258,137,137
1539266846,135,135
1539270423,135,135
1539274036,137,137
1539277745,136,136
1539281361,137,137
1539285031,137,137
1539288447,135,135
1539292051,134,134
1539295651,133,133
1539299234,134,134
1539302852,134,134
1539306434,134,134
1539310037,133,133
1539313653,135,135
1539317249,134,134
1539320837,135,135
1539324435,135,135
1539328047,136,136
1539331644,136,136
1539335253,135,135
1539338835,135,135
1539346056,134,134
1539349639,134,134
1539353233,135,135
1539356845,133,133
1539360435,131,131
1539364046,130,130
1539367652,133,133
1539371234,132,132
1539374844,134,134
1539378453,136,136
1539382059,133,133
1539385659,132,132
1539389316,132,132
1539392904,134,134
1539396554,135,135
1539400044,134,134
1539403648,133,133
1539410841,133,133
1539414433,132,132
1539418034,133,133
1539421624,133,133
