DateTime,AddedIPs,RemovedIPs
1539833072,134,130
1539835243,124,183
1539837146,125,386
1539839062,130,174
1539841248,152,195
1539843155,119,138
1539845084,133,121
1539846998,166,177
1539848902,142,229
1539850829,133,221
1539852760,149,146
1539854666,170,140
1539856588,177,147
1539858504,227,367
1539860443,251,162
1539862347,262,138
1539864296,193,163
1539866192,222,157
1539868106,188,137
1539870024,171,975
1539871953,229,308
1539873863,188,147
1539875789,196,154
1539877695,186,1233
1539879640,195,176
1539881544,165,204
1539883474,176,118
1539885377,165,212
1539887559,167,165
1539889481,238,128
1539891376,154,111
1539893304,206,157
1539895213,154,89
1539897163,182,133
1539899060,179,99
1539900994,156,133
1539902921,157,118
1539904845,173,178
1539906773,172,130
1539908683,136,105
1539910578,135,114
1539912522,123,162
1539914450,115,118
1539916358,124,97
1539918266,121,155
1539920173,121,112
1539922109,121,124
1539924038,109,138
1539925967,110,129
1539927857,118,142
1539929812,131,120
1539931723,99,122
1539933633,955,140
1539935569,70,150
1539937474,140,139
1539939416,147,145
1539941316,466,155
1539943264,225,156
1539945148,190,164
1539947095,179,158
1539949210,199,182
1539951394,176,189
1539953298,146,204
1539955216,247,174
1539957161,161,169
1539959061,167,208
1539960996,256,180
1539962894,147,162
1539965128,174,223
1539966989,172,149
1539968890,158,154
1539971058,149,171
1539972984,191,165
1539974912,177,204
1539976823,184,154
1539978737,241,151
1539980684,209,160
1539982581,1044,160
1539984507,278,181
1539986437,174,168
1539988344,152,171
1539990283,176,176
1539992183,174,162
1539994099,177,159
1539996022,169,159
1539997949,185,129
1539999877,227,123
1540001780,291,139
1540003705,257,133
1540005618,1191,120
1540007537,221,124
1540009475,197,145
1540011373,208,160
1540013294,204,118
1540015234,322,125
1540017187,120,107
1540019085,100,109
1540020981,98,745
1540022911,88,129
1540024844,91,107
1540026769,84,432
1540028665,96,144
1540030598,158,161
1540032501,97,131
1540034423,77,165
1540036345,99,148
1540038272,117,151
1540040193,130,126
1540042102,102,165
1540044055,149,150
1540045952,166,164
1540047878,160,209
1540049799,168,128
1540051756,158,160
1540053629,155,184
1540055553,173,139
1540057474,156,127
1540059390,144,183
1540061308,144,176
1540063222,157,189
1540065171,159,194
1540067156,163,441
1540068988,125,875
1540070906,139,244
1540072862,160,171
1540074748,168,162
1540076685,339,195
1540078593,244,151
1540080520,161,168
1540082447,172,167
1540084351,177,189
1540086267,190,221
1540088199,162,312
1540090103,189,254
1540092044,163,1251
1540093950,147,219
1540095869,160,197
1540097806,321,220
1540099704,158,192
1540101660,183,485
1540103574,132,122
1540105731,170,133
1540107865,181,116
1540109799,254,103
1540111703,145,98
1540113864,144,94
1540115799,4682,198
1540117698,1056,93
1540119644,77,105
1540121552,109,93
1540123487,163,119
1540125380,1162,97
1540127379,678,202
1540129234,178,112
1540131164,158,144
1540133056,172,163
1540134858,142,134
1540136914,184,171
1540139320,191,183
1540142279,252,229
1540144122,141,140
1540146038,191,126
1540147959,135,136
1540149884,161,147
1540151813,161,154
1540153692,167,137
1540155656,168,130
1540157573,184,146
1540159461,127,138
1540161404,148,152
1540163325,151,153
1540165213,187,146
1540167163,975,145
1540169078,1936,168
1540170985,1774,159
1540172920,1758,176
1540174813,130,178
1540176763,150,166
1540178651,175,151
1540180598,170,144
1540182518,169,297
1540185402,408,190
1540187327,137,147
1540189245,143,151
1540191159,151,147
1540193075,239,120
1540194972,110,142
1540196912,120,222
1540199388,185,152
1540201236,194,1239
1540203158,142,833
1540205050,259,103
1540207217,738,108
1540209157,1104,322
1540211074,1041,3343
1540213238,1257,855
1540215395,640,186
1540217307,173,156
1540219223,172,156
1540221157,149,178
1540223069,128,180
1540224992,139,150
1540226928,136,152
1540228829,163,165
1540230746,156,155
1540232665,174,182
1540234608,147,164
1540236499,162,128
1540238458,207,145
1540240352,179,164
1540242286,311,159
1540244200,931,153
1540246122,159,138
1540248023,154,289
1540250182,190,165
1540252099,196,220
1540254023,167,1435
1540255941,162,2052
1540257858,152,1814
1540259796,162,1348
1540261701,128,128
1540263625,149,156
1540265557,155,183
1540267477,144,159
1540269407,132,354
1540271316,131,214
1540273241,100,148
1540275172,99,166
1540277646,168,259
1540279469,145,201
1540281510,153,143
1540283566,180,141
1540285469,148,151
1540287385,160,203
1540289324,145,154
1540291218,122,188
1540293149,142,636
1540295070,173,963
1540296997,319,1097
1540298903,153,1156
1540300818,182,922
1540302745,243,198
1540304679,185,195
1540306595,143,167
1540308523,1372,142
1540310437,707,130
1540312353,153,160
1540314524,195,195
1540316435,166,163
1540318359,156,180
1540320263,175,142
1540322205,144,176
1540324121,182,162
1540326017,169,166
1540327966,168,280
1540329865,153,2229
1540331782,166,151
1540333699,167,182
1540335654,154,194
1540337568,144,176
1540339487,157,184
1540341405,154,173
1540343324,135,181
1540345487,236,161
1540347405,167,146
1540349305,145,151
1540351218,171,135
1540353136,158,156
1540355071,128,157
1540356995,275,136
1540358937,113,114
1540361074,126,124
1540363012,104,118
1540365148,199,244
1540367091,164,164
1540369245,201,175
1540371147,441,168
1540373065,244,183
1540375002,181,159
1540377051,160,166
1540379083,163,164
1540381224,208,194
1540383229,210,373
1540385075,179,159
1540387018,929,162
1540389143,862,279
1540391054,620,162
1540392993,192,152
1540394901,361,342
1540396861,506,137
1540398748,318,149
1540400723,326,179
1540402593,291,174
1540404504,203,168
1540406424,213,227
1540408341,253,161
1540410276,177,167
1540412194,191,163
1540414101,187,162
1540416025,906,145
1540417955,167,168
1540420006,1784,152
1540422097,1613,165
1540423938,1142,103
1540426020,1377,131
1540428017,770,127
1540429937,155,129
1540431877,152,183
1540433796,162,159
1540435960,151,146
1540437870,126,130
1540439799,349,136
1540441948,99,122
1540443888,110,85
1540446046,89,104
1540447955,97,72
1540449890,103,90
1540451795,107,148
1540453713,119,148
1540455652,115,145
1540457549,91,144
1540459481,88,216
1540461405,313,163
1540463316,161,148
1540465246,118,155
1540467407,95,169
1540469333,99,146
1540471227,128,160
1540473151,908,704
1540475077,215,800
1540476998,121,778
1540478918,116,154
1540480991,114,957
1540484188,155,1421
1540486100,101,242
1540487947,658,398
1540490206,2102,205
1540492356,109,220
1540494263,132,204
1540496185,88,214
1540498111,85,156
1540500027,444,161
1540501965,160,200
1540503860,247,488
1540505792,101,1510
1540507696,93,2040
1540509699,114,1099
1540511542,107,1056
1540513485,145,1082
1540515399,113,181
1540517321,118,190
1540519243,133,196
1540521150,126,205
1540523067,101,192
1540524988,109,141
1540526930,138,82
1540528863,115,86
1540530763,103,135
1540532898,140,111
1540534824,77,105
1540536763,193,97
1540538680,100,125
1540540602,79,118
1540542523,151,119
1540544455,150,100
1540546345,170,214
1540548278,362,236
1540550431,106,155
1540552588,207,118
1540554506,271,116
1540556443,308,154
1540558353,326,113
1540560262,379,1087
1540562197,309,123
1540564341,322,130
1540566270,426,121
1540568446,507,108
1540570398,316,118
1540572288,262,102
1540574205,364,825
1540576120,365,2578
1540578045,298,748
1540579960,246,112
1540581852,357,133
1540583798,401,92
1540585947,161,881
1540587871,135,117
1540590039,130,347
1540591942,125,104
1540593851,153,120
1540596006,168,134
1540598180,622,148
1540600112,124,144
1540602087,129,123
1540603959,128,128
1540605884,125,125
1540607808,113,128
1540609729,89,109
1540611644,94,119
1540613577,116,144
1540615478,179,268
1540617395,1079,121
1540619303,181,123
1540621228,169,87
1540623160,163,121
1540625055,180,113
1540627026,175,83
1540629145,214,234
1540631053,190,98
1540633227,171,293
1540635152,200,283
1540637089,155,93
1540639123,173,197
1540641141,169,282
1540643116,931,305
1540644981,1243,281
1540646920,1205,349
1540649791,1835,438
1540651704,831,347
1540653615,168,458
1540655540,173,338
1540657702,182,336
1540660597,295,473
1540662629,160,360
1540664666,171,292
1540666575,149,237
1540668496,157,324
1540670423,144,351
1540672343,357,121
1540674531,325,140
1540676675,481,103
1540678587,375,100
1540680498,177,141
1540682447,107,124
1540684343,132,533
1540686285,99,130
1540688445,74,105
1540690599,73,126
1540692523,63,113
1540694414,84,101
1540696357,69,81
1540698279,237,96
1540700187,72,172
1540702114,75,148
1540704024,99,840
1540705940,275,121
1540707873,87,154
1540710030,394,155
1540711945,142,158
1540713866,125,134
1540715795,219,167
1540717948,160,170
1540719879,130,135
1540721782,290,174
1540723700,400,147
1540725614,221,163
1540727552,147,182
1540729475,143,896
1540731380,755,1210
1540733317,4593,1125
1540735225,806,1094
1540737145,314,1205
1540739071,136,216
1540741007,138,181
1540742943,168,172
1540744836,147,171
1540746771,156,244
1540748920,140,186
1540750839,132,167
1540752761,197,154
1540754698,169,165
1540756576,149,184
1540758511,167,304
1540760448,180,196
1540762361,145,469
1540764282,165,302
1540766424,185,513
1540768590,195,163
1540770509,131,123
1540772423,1404,110
1540774347,2095,72
1540776284,1975,62
1540778205,1471,73
1540780123,102,89
1540782066,642,68
1540783967,754,67
1540785883,77,60
1540788034,111,94
1540789950,84,76
1540791866,105,80
1540793809,100,77
1540795741,104,622
1540797631,110,150
1540799559,94,158
1540801482,93,216
1540803677,97,168
1540805562,164,140
1540807474,194,155
1540809390,204,329
1540811331,170,131
