DateTime,Entries,UniqueIPs
1539833072,11989,11989
1539835243,11930,11930
1539837146,11669,11669
1539839062,11625,11625
1539841248,11582,11582
1539843155,11563,11563
1539845084,11575,11575
1539846998,11564,11564
1539848902,11477,11477
1539850829,11389,11389
1539852760,11392,11392
1539854666,11422,11422
1539856588,11452,11452
1539858504,11312,11312
1539860443,11401,11401
1539862347,11525,11525
1539864296,11555,11555
1539866192,11620,11620
1539868106,11671,11671
1539870024,10867,10867
1539871953,10788,10788
1539873863,10829,10829
1539875789,10871,10871
1539877695,9824,9824
1539879640,9843,9843
1539881544,9804,9804
1539883474,9862,9862
1539885377,9815,9815
1539887559,9817,9817
1539889481,9927,9927
1539891376,9970,9970
1539893304,10019,10019
1539895213,10084,10084
1539897163,10133,10133
1539899060,10213,10213
1539900994,10236,10236
1539902921,10275,10275
1539904845,10270,10270
1539906773,10312,10312
1539908683,10343,10343
1539910578,10364,10364
1539912522,10325,10325
1539914450,10322,10322
1539916358,10349,10349
1539918266,10315,10315
1539920173,10324,10324
1539922109,10321,10321
1539924038,10292,10292
1539925967,10273,10273
1539927857,10249,10249
1539929812,10260,10260
1539931723,10237,10237
1539933633,11052,11052
1539935569,10972,10972
1539937474,10973,10973
1539939416,10975,10975
1539941316,11286,11286
1539943264,11355,11355
1539945148,11381,11381
1539947095,11402,11402
1539949210,11419,11419
1539951394,11406,11406
1539953298,11348,11348
1539955216,11421,11421
1539957161,11413,11413
1539959061,11372,11372
1539960996,11448,11448
1539962894,11433,11433
1539965128,11384,11384
1539966989,11407,11407
1539968890,11411,11411
1539971058,11389,11389
1539972984,11415,11415
1539974912,11388,11388
1539976823,11418,11418
1539978737,11508,11508
1539980684,11557,11557
1539982581,12441,12441
1539984507,12538,12538
1539986437,12544,12544
1539988344,12525,12525
1539990283,12525,12525
1539992183,12537,12537
1539994099,12555,12555
1539996022,12565,12565
1539997949,12621,12621
1539999877,12725,12725
1540001780,12877,12877
1540003705,13001,13001
1540005618,14072,14072
1540007537,14169,14169
1540009475,14221,14221
1540011373,14269,14269
1540013294,14355,14355
1540015234,14552,14552
1540017187,14565,14565
1540019085,14556,14556
1540020981,13909,13909
1540022911,13868,13868
1540024844,13852,13852
1540026769,13504,13504
1540028665,13456,13456
1540030598,13453,13453
1540032501,13419,13419
1540034423,13331,13331
1540036345,13282,13282
1540038272,13248,13248
