DateTime,AddedIPs,RemovedIPs
1538734834,3,0
1538744497,1,0
1538748305,3,0
1538754291,3,1
1538756193,3,0
1538758345,10,10
1538760284,7,0
1538762197,4,3
1538764228,3,0
1538766085,5,14
1538767974,0,1
1538769878,0,5
1538771803,0,1
1538777565,7,1
1538779463,4,1
1538781394,0,16
1538783329,0,8
1538785235,1,5
1538787163,1,4
1538789118,0,2
1538791024,13,0
1538792934,13,0
1538794886,6,12
1538796759,2,0
1538798671,0,9
1538806854,7,0
1538808765,6,0
1538810668,3,0
1538812603,1,0
1538816485,0,8
1538818341,0,10
1538822216,1,3
1538829878,0,1
1538833960,0,3
1538837793,1,0
1538841680,1,3
1538843556,0,7
1538845484,0,8
1538847377,0,9
1538849327,8,0
1538851220,10,5
1538853144,14,3
1538855064,2,0
1538858896,1,0
1538862742,0,7
1538864674,0,1
1538866586,1,3
1538872357,1,2
1538876684,0,10
1538878599,9,14
1538880507,16,4
1538882443,11,4
1538884336,21,2
1538886273,10,0
1538888212,1,0
1538890094,1,0
1538892175,0,4
1538894425,0,3
1538896353,0,9
1538898262,3,1
1538900192,12,0
1538902129,14,0
1538904017,3,0
1538905940,6,0
1538907863,2,1
1538909776,1,0
1538914596,6,0
1538916509,1,0
1538918432,8,0
1538920369,2,0
1538924203,0,1
1538928109,2,1
1538929949,1,0
1538935955,0,10
1538937858,0,13
1538939799,4,9
1538941709,4,2
1538945559,0,1
1538953279,0,1
1538959216,0,1
1538961394,1,0
1538963297,14,0
1538965224,12,9
1538967152,1,16
1538969080,0,14
1538970984,0,18
1538972905,0,10
1538974876,0,1
1538976762,0,1
1538984430,0,3
1538986359,0,9
1538988261,0,16
1538990200,1,4
1538992125,0,6
1538994036,0,2
1538995961,2,0
1538997860,4,1
1538999794,4,6
1539001715,4,1
1539004597,0,8
1539006738,0,2
1539008675,9,0
1539010581,11,0
1539014428,0,2
1539016358,0,1
1539026190,0,4
1539028113,0,4
1539031953,1,0
1539037692,1,0
1539043465,6,0
1539045398,3,0
1539047320,1,1
1539049234,0,11
1539051157,1,9
1539053054,0,6
1539055003,0,1
1539064573,2,0
1539068905,1,0
1539074675,2,0
1539076584,0,1
1539082337,0,2
1539084282,0,4
1539086187,1,3
1539088092,0,5
1539095073,0,9
1539096972,0,11
1539099159,6,0
1539101067,7,0
1539102972,3,0
1539104918,4,0
1539106815,2,0
1539108762,17,0
1539110675,34,0
1539112592,19,0
1539114508,2,0
1539116658,3,0
1539118569,5,1
1539124590,0,1
1539128443,1,0
1539130363,0,9
1539132266,1,0
1539134183,0,1
1539136127,1,1
1539141865,4,0
1539143779,12,0
1539145717,1,0
1539149564,1,0
1539151473,0,2
1539153405,0,1
1539161064,0,2
1539172586,0,1
1539178369,2,0
1539180511,11,0
1539182443,9,0
1539184786,6,6
1539186730,0,4
1539188685,0,6
1539190576,0,2
1539192504,0,2
1539194484,0,19
1539196373,11,33
1539198265,3,16
1539200178,3,4
1539202123,0,2
1539204017,0,7
1539205963,3,1
1539215562,2,1
1539217476,0,1
1539223480,0,1
1539227299,0,4
1539229240,0,8
1539231145,0,4
1539233057,0,1
1539235006,0,1
1539238833,1,0
1539248480,8,0
1539252267,2,0
1539254180,5,0
1539266159,0,12
1539268091,4,8
1539270077,1,8
1539281568,0,2
1539283458,0,10
1539285388,0,5
1539293075,2,3
1539294972,2,0
1539298875,7,0
1539300761,1,1
1539302682,0,1
1539308416,1,0
1539314183,1,0
1539318026,13,0
1539319963,3,0
1539321882,1,0
1539323779,2,0
1539325714,7,1
1539331721,1,0
1539333635,1,3
1539335559,0,5
1539339402,8,5
1539341553,2,2
1539343451,1,0
1539345388,1,0
1539351392,1,0
1539353432,0,3
1539355484,7,1
1539357395,6,1
1539359303,1,0
1539367000,1,0
1539368907,5,0
1539372750,31,0
1539374708,50,0
1539380425,3,4
1539384796,0,7
1539386935,8,1
1539388830,1,0
1539392663,1,0
1539394601,0,1
1539400337,1,1
1539404189,0,10
1539406095,0,6
1539408036,0,1
1539409970,0,1
1539411890,0,8
1539419570,0,2
1539425324,0,6
1539427241,17,4
1539429145,4,0
1539431080,0,1
1539433011,0,1
1539438761,2,1
1539442581,0,13
1539446671,2,1
1539448605,13,0
1539450523,70,0
1539452438,0,1
1539454359,0,4
1539456272,0,1
1539460123,0,66
1539465876,0,2
1539467778,0,1
1539471666,0,1
1539473562,0,7
1539475467,5,1
1539479339,1,1
1539487040,0,1
1539488896,1,0
1539490835,3,0
1539494677,3,0
1539496614,1,0
1539501416,2,0
1539507371,8,0
1539509309,3,0
1539513160,0,9
1539515082,0,12
1539524675,0,2
1539528533,5,0
1539534279,2,4
1539536171,3,84
1539538112,8,12
1539543881,5,0
1539555401,4,0
1539561197,0,1
1539563068,0,4
1539566898,0,1
1539574576,0,1
1539576501,11,3
1539582279,0,4
1539586102,2,0
1539588016,4,2
1539594035,1,11
1539595953,3,0
1539597911,12,0
1539601714,11,0
1539603630,6,0
1539609391,11,0
1539613214,5,0
1539615239,0,5
1539622105,0,2
1539624028,4,11
