DateTime,AddedIPs,RemovedIPs
1539636998,1,2
1539640858,2,2
1539642761,2,0
1539644682,2,0
1539650481,0,2
1539652361,0,1
1539654273,2,2
1539658092,3,1
1539661953,1,3
1539663872,0,2
1539667695,1,0
1539669665,0,2
1539673476,1,1
1539675397,0,1
1539679231,1,0
1539683086,1,0
1539684986,2,2
1539686916,1,1
1539688825,2,0
1539690738,3,0
1539692682,0,1
1539694592,0,1
1539696503,1,1
1539698459,1,0
1539700345,3,0
1539702386,2,1
1539704422,2,2
1539706637,0,1
1539708752,1,2
1539710669,2,1
1539712857,1,0
1539714737,0,2
1539716699,1,4
1539718587,1,0
1539720517,0,1
1539722428,3,0
1539724605,1,2
1539726495,2,0
1539728414,1,1
1539730595,1,2
1539732495,1,1
1539734431,0,1
1539736342,2,0
1539738285,2,2
1539744018,1,1
1539745947,2,1
1539749804,0,1
1539753613,0,1
1539757494,1,0
1539759376,0,1
1539764207,5,0
1539766345,0,1
1539768261,1,0
1539770213,0,1
1539772096,0,2
1539774057,0,1
1539775947,0,1
1539779793,1,1
1539781722,1,1
1539785549,1,1
1539787470,0,2
1539789511,1,0
1539791561,0,1
1539793467,3,0
1539795393,2,2
1539797306,1,0
1539800197,5,2
1539802098,3,1
1539805946,1,0
1539807858,3,11
1539810994,1,2
1539812897,1,3
1539814835,2,2
1539818675,1,3
1539820592,1,1
1539822513,2,2
1539824452,1,2
1539826360,1,0
1539828263,4,0
1539830188,0,1
1539832106,2,1
1539834264,1,1
1539838102,1,0
1539843860,0,2
1539845798,2,0
1539849886,0,5
1539851786,1,0
1539853707,1,1
1539855633,0,1
1539861396,1,1
1539863301,1,0
1539865238,0,2
1539867151,1,0
1539869064,1,0
1539870992,1,1
1539872904,0,1
1539876847,2,2
1539878682,1,0
1539880573,2,2
1539882770,1,2
1539884657,1,0
1539886613,0,2
1539888527,2,2
1539890443,1,1
1539894281,0,1
1539900054,1,3
1539901973,2,0
1539906060,1,0
1539908193,2,1
1539910132,1,2
1539912023,2,0
1539913956,1,2
1539915865,2,3
1539917821,1,0
1539919700,0,2
1539921713,1,0
1539923547,1,0
1539925510,0,1
1539927400,0,1
1539931224,0,1
1539933149,1,0
1539935064,0,1
1539936997,0,1
1539938903,0,1
1539944683,1,0
1539946578,0,1
1539948776,2,0
1539950927,0,1
1539952833,1,0
1539954760,1,3
1539958608,0,1
1539960505,2,1
1539962441,0,1
1539964623,1,1
1539966745,1,0
1539968669,2,3
1539970600,1,0
1539972537,2,0
1539974441,2,3
1539976370,2,1
1539980202,1,0
1539982128,1,0
1539984054,3,0
1539985966,1,2
1539987881,2,3
1539989776,2,1
1539991718,2,4
1539993671,1,0
1539995569,1,0
1539997486,14,2
1540001328,0,1
1540005175,2,1
1540007062,1,0
1540009223,1,2
1540011136,0,4
1540013066,1,0
1540014996,0,1
1540019088,1,0
1540020984,2,0
1540022914,1,1
1540024846,0,2
1540026772,1,0
1540028667,2,0
1540030601,0,1
1540032504,0,1
1540034426,1,2
1540036349,1,1
1540038275,1,0
1540040196,1,2
1540044079,1,0
1540045955,0,2
1540047881,1,2
1540049802,1,0
1540051764,0,2
1540053633,0,1
1540055556,1,1
1540057477,1,1
1540059394,1,0
1540061311,0,1
1540063225,0,1
1540065173,1,0
1540068991,1,1
1540070909,1,1
1540072921,1,0
1540074751,2,2
1540076713,2,1
1540078596,1,0
1540080524,1,0
1540082450,1,4
1540084354,2,14
1540086270,4,0
1540090106,1,0
1540092046,5,4
1540093953,3,0
1540095872,2,0
1540097809,3,0
1540101714,2,0
1540103577,1,0
1540105734,0,1
1540107868,0,2
1540109802,3,0
1540111706,1,1
1540115802,0,4
1540117701,1,1
1540119686,0,1
1540123493,1,0
1540125383,3,1
1540127381,2,0
1540129237,1,0
1540131166,2,2
1540134861,2,0
1540136917,2,3
1540139333,0,1
1540141274,2,0
1540143152,1,1
1540145097,1,1
1540147006,1,0
1540148923,0,2
1540150838,2,1
1540152760,1,0
1540156602,3,0
1540158493,3,0
1540160434,0,2
1540164272,2,3
1540166177,0,1
1540168117,3,2
1540170989,1,2
1540172934,0,2
1540176766,0,1
1540178663,2,3
1540180601,1,2
1540182520,0,3
1540184516,1,1
1540188284,1,1
1540190235,0,1
1540194136,4,0
1540195947,2,2
1540197875,2,2
1540199828,0,1
1540201705,2,0
1540207482,1,0
1540209698,2,2
1540211555,0,4
1540213484,0,1
1540215397,0,3
1540217310,1,1
1540219226,1,2
1540221160,1,0
1540223071,3,1
1540224995,0,1
1540226931,1,0
1540228832,1,1
1540230748,2,1
1540232675,1,0
1540234610,1,0
1540236502,1,2
1540238474,0,1
1540240354,4,0
1540242289,0,3
1540244203,3,0
1540246125,0,2
1540250185,3,1
1540252101,1,3
1540254025,1,2
1540255943,0,1
1540257861,1,0
1540261703,1,1
1540263646,2,1
1540265559,0,3
1540269415,0,1
1540271319,1,0
1540273243,0,1
1540275174,1,1
1540279472,0,2
1540281513,2,1
1540283578,2,4
1540285473,1,0
1540287387,1,1
1540289327,1,0
1540293152,0,2
1540295072,0,1
1540296999,0,1
1540300821,1,2
1540302747,0,1
1540304681,3,0
1540306598,0,1
1540308526,0,3
1540312355,0,3
1540314526,0,2
1540316437,0,1
1540318361,0,2
1540320264,4,2
1540322206,2,1
1540324122,2,0
1540326019,1,1
1540327967,2,1
1540329867,3,3
1540331784,0,1
1540333701,1,1
1540335702,0,3
1540337570,2,1
1540339489,4,0
1540343326,1,0
1540347414,0,1
1540349306,0,3
1540351220,2,0
1540355072,0,1
1540357010,2,1
1540358938,1,0
1540361084,1,1
1540367093,1,1
1540369247,1,2
1540371148,0,1
1540373066,0,1
1540375004,2,2
1540377053,2,0
1540379086,3,1
1540381226,2,1
1540383231,2,0
1540385077,0,1
1540387021,1,0
1540389147,3,2
1540391057,4,1
1540392997,1,0
1540394904,1,0
1540396902,2,0
1540398751,1,0
1540400737,4,0
1540404506,1,1
1540406427,1,2
1540408344,0,3
1540410278,0,1
1540412197,3,0
1540414104,1,2
1540416028,1,2
1540420009,4,1
1540422115,2,1
1540423941,1,2
1540426040,2,4
1540428020,3,0
1540429940,3,0
1540431880,1,1
1540433799,0,1
