DateTime,AddedIPs,RemovedIPs
1539831135,5,5
1539833082,22,1
1539835290,5,4
1539837149,2,242
1539839064,2,5
1539841251,3,24
1539843158,2,1
1539845086,4,1
1539847000,8,5
1539848904,5,84
1539850831,4,5
1539852763,2,4
1539854668,3,6
1539856590,4,2
1539858506,1,326
1539860478,4,28
1539862356,98,6
1539864299,6,4
1539866194,5,1
1539868108,3,2
1539870026,4,848
1539871956,3,158
1539873876,7,4
1539875791,4,5
1539877697,1,1074
1539879642,2,0
1539881546,5,16
1539883476,4,2
1539885380,6,61
1539887561,6,4
1539889488,61,4
1539891381,5,2
1539893307,1,5
1539895215,4,3
1539897165,4,5
1539899062,2,8
1539900996,5,28
1539902924,23,3
1539904847,3,71
1539906775,1,2
1539908685,4,7
1539910580,3,6
1539912525,6,55
1539914504,2,2
1539916360,3,2
1539918268,1,30
1539920175,1,4
1539922111,1,4
1539924040,4,3
1539925969,2,0
1539927859,2,4
1539929814,3,3
1539931724,4,4
1539933635,1004,8
1539935571,2,4
1539937476,5,5
1539939418,10,1
1539941318,344,2
1539943279,7,4
1539945150,3,1
1539947127,0,3
1539949212,8,5
1539951396,6,4
1539953300,4,4
1539955218,101,3
1539957163,7,3
1539959063,8,6
1539960998,64,4
1539962895,6,3
1539965130,4,0
1539966991,5,5
1539968893,7,4
1539971059,1,5
1539972986,1,4
1539974913,3,45
1539976825,0,5
1539978739,2,4
1539980686,2,2
1539982583,6,3
1539984509,2,6
1539986456,5,2
1539988346,3,3
1539990286,2,5
1539992187,4,1
1539994102,7,4
1539996024,3,2
1539997951,2,4
1539999878,2,4
1540001782,4,1
1540003706,4,2
1540005621,1,0
1540007539,3,2
1540009477,5,4
1540011384,35,81
1540013296,5,1
1540015284,3,1
1540017190,2,4
1540019089,3,2
1540020984,2,993
1540022915,2,5
1540024847,2,3
1540026772,2,367
1540028668,1,4
1540030601,91,5
1540032504,4,2
1540034426,5,3
1540036350,5,7
1540038275,1,6
1540040196,4,3
1540042114,5,8
1540044079,8,13
1540045956,3,7
1540047881,4,43
1540049802,4,5
1540051765,4,3
1540053633,6,5
1540055556,2,9
1540057478,6,0
1540059394,3,1
1540061312,1,3
1540063226,1,1
1540065174,3,2
1540067160,3,2
1540068992,1,6
1540070909,3,2
1540072922,5,5
1540074752,4,24
1540076716,281,2
1540078596,78,4
1540080525,5,7
1540082450,2,4
1540084354,2,2
1540086270,4,2
1540088203,5,4
1540090107,4,4
1540092047,2,1
1540093953,2,3
1540095872,1,4
1540097809,196,39
1540099715,4,5
1540101714,17,3
1540103577,7,4
1540105734,3,3
1540107869,2,3
1540109802,114,1
1540111707,6,1
1540113867,6,3
1540115802,2,118
1540117702,74,1
1540119687,3,6
1540121555,5,5
1540123493,0,3
1540125383,1169,2
1540127382,638,100
1540129238,51,4
1540131167,2,6
1540133059,2,3
1540134861,1,2
1540136917,1,1
1540139333,3,3
1540141276,3,3
1540143152,3,4
1540145099,4,3
1540147006,1,2
1540148933,4,1
1540150838,1,2
1540152761,4,1
1540154663,3,2
1540156603,4,1
1540158494,44,11
1540160435,2,1
1540162369,15,1
1540164273,0,36
1540166178,85,2
1540168118,4,3
1540170990,3,3
1540172934,3,4
1540174815,0,4
1540176766,6,3
1540178663,1,4
1540180601,1,1
1540182520,22,173
1540184519,218,1
1540186364,2,4
1540188284,1,17
1540190235,2,10
1540192137,3,1
1540194137,2,2
1540195948,1,87
1540197876,5,4
1540199829,2,4
1540201706,2,3
1540203629,6,44
1540205540,172,24
1540207483,850,2
1540209698,1186,1
1540211555,1067,521
1540213485,1093,446
1540215398,422,20
1540217310,2,2
1540219226,5,1
1540221160,3,2
1540223072,6,1
1540224995,2,2
1540226932,2,3
1540228833,0,2
1540230749,4,4
1540232675,2,3
1540234611,0,2
1540236502,4,1
1540238474,71,3
1540240354,0,4
1540242289,109,4
1540244204,547,44
1540246125,2,0
1540248025,1,250
1540250185,2,1
1540252102,3,59
1540254025,5,4
1540255944,1,2
1540257861,1,2
1540259799,4,4
1540261703,1,1
1540263650,3,2
1540265559,3,1
1540267479,4,1
1540269416,2,181
1540271319,4,50
1540273244,1,1
1540275175,4,2
1540277657,22,1
1540279472,1,2
1540281513,2,2
1540283579,1,2
1540285473,1,2
1540287388,1,1
1540289327,1,4
1540291220,5,29
1540293152,3,541
1540295073,2,910
1540297000,222,1029
1540298906,3,1112
1540300821,3,852
1540302748,3,60
1540304682,13,1
1540306598,2,5
1540308526,1,2
1540310489,0,3
1540312355,2,2
1540314526,21,2
1540316437,3,2
1540318362,1,4
1540320267,0,1
1540322207,2,2
1540324123,5,3
1540326020,2,1
1540329867,0,1917
1540331784,1,4
1540333701,4,21
1540335706,2,3
1540337570,0,5
1540339489,1,3
1540341407,21,5
1540343326,5,1
1540345503,1,5
1540347414,1,3
1540349306,5,2
1540351220,32,5
1540353137,3,1
1540355073,0,3
1540357011,159,5
1540358938,3,1
1540361084,2,5
1540363014,3,2
1540365150,1,63
1540367093,5,2
1540369247,2,2
1540371149,294,4
1540373067,27,2
1540375004,4,4
1540377053,4,4
1540379087,5,4
1540381226,3,1
1540383231,4,284
1540385078,2,2
1540387022,801,4
1540389147,659,6
1540391057,457,7
1540392997,4,2
1540394904,3,6
1540396904,1,0
1540398752,4,2
1540400737,5,22
1540402596,2,4
1540404507,4,1
1540406428,1,95
1540408345,23,2
1540410279,2,4
1540412198,4,3
1540414104,4,0
1540416028,1,1
1540417961,0,12
1540420009,1094,3
1540422116,1036,32
1540423941,1199,0
1540426041,1447,1
1540428021,702,5
1540429940,4,2
1540431881,4,1
1540433800,4,1
1540435964,1,4
1540437882,1,5
1540439803,255,21
1540441951,1,1
1540443891,3,2
1540446049,4,2
1540447968,4,1
1540449893,1,1
1540451809,2,0
1540453717,1,5
1540455656,3,2
1540457563,3,1
1540459485,0,1
1540461408,3,4
1540463320,2,5
1540465305,3,4
1540467410,6,2
1540469337,3,3
1540471240,51,1
1540473155,825,606
1540475081,127,652
1540477002,0,628
1540478921,5,6
1540480995,10,2
1540484192,4,5
1540486104,1,2
1540487951,690,4
1540490210,2487,2
1540492363,3,1
1540494267,2,1
1540496189,0,1
1540498119,2,2
1540500031,0,2
1540501969,90,2
1540503863,155,0
1540505796,0,633
1540507700,1,727
1540509703,0,805
1540511546,2,880
1540513488,2,903
1540515402,1,2
1540517325,0,3
1540519310,7,2
1540521153,1,3
1540523070,4,0
1540526934,0,1
1540528866,4,1
1540530767,3,24
1540532902,0,4
1540534827,2,2
1540536766,112,1
1540538683,0,1
1540540605,2,1
1540542526,64,3
1540544505,25,0
1540546348,1,0
1540548281,251,1
1540550434,0,1
1540552591,5,1
1540554509,3,3
1540556446,1,4
1540558357,6,12
1540560267,5,984
1540562200,2,4
1540564345,2,1
1540566278,3,3
1540568449,3,1
1540570401,4,1
1540572291,5,1
1540574209,1,938
1540576123,4,3167
1540578050,1,867
1540579963,2,3
1540581856,5,1
1540583801,2,0
1540585950,6,2
1540587874,21,27
1540590042,2,244
1540591945,5,0
1540593859,7,2
1540596015,5,2
1540598183,397,3
1540600115,2,2
1540602097,1,2
1540603962,4,0
1540605888,3,4
1540607811,5,5
1540609732,7,2
1540611647,2,0
1540613580,5,1
1540615481,3,158
1540617399,3,2
1540619306,1,0
1540621233,2,3
1540623164,1,21
1540625058,1,0
1540627029,3,2
1540629149,4,87
1540631056,3,1
1540633230,1,118
1540635155,93,179
1540637092,2,2
1540639126,3,4
1540641144,2,4
1540643120,859,0
1540644985,1180,6
1540646924,1129,6
1540648891,1191,2
1540650753,1311,2
1540652675,44,1
1540654597,2,2
1540656569,4,1
1540658672,5,4
1540660600,23,3
1540662632,3,4
1540664669,2,1
1540666578,5,0
1540668499,0,1
1540670487,2,3
1540672346,1,4
1540674534,5,34
1540676678,78,1
1540678590,0,6
1540680501,4,17
1540682450,2,3
1540684347,53,386
1540686288,1,5
1540688493,2,2
1540690602,3,5
1540692526,0,2
