DateTime,Entries,UniqueIPs
1539831135,3525,3525
1539833082,3546,3546
1539835290,3547,3547
1539837149,3307,3307
1539839064,3304,3304
1539841251,3283,3283
1539843158,3284,3284
1539845086,3287,3287
1539847000,3290,3290
1539848904,3211,3211
1539850831,3210,3210
1539852763,3208,3208
1539854668,3205,3205
1539856590,3207,3207
1539858506,2882,2882
1539860478,2858,2858
1539862356,2950,2950
1539864299,2952,2952
1539866194,2956,2956
1539868108,2957,2957
1539870026,2113,2113
1539871956,1958,1958
1539873876,1961,1961
1539875791,1960,1960
1539877697,887,887
1539879642,889,889
1539881546,878,878
1539883476,880,880
1539885380,825,825
1539887561,827,827
1539889488,884,884
1539891381,887,887
1539893307,883,883
1539895215,884,884
1539897165,883,883
1539899062,877,877
1539900996,854,854
1539902924,874,874
1539904847,806,806
1539906775,805,805
1539908685,802,802
1539910580,799,799
1539912525,750,750
1539914504,750,750
1539916360,751,751
1539918268,722,722
1539920175,719,719
1539922111,716,716
1539924040,717,717
1539925969,719,719
1539927859,717,717
1539929814,717,717
1539931724,717,717
1539933635,1713,1713
1539935571,1711,1711
1539937476,1711,1711
1539939418,1720,1720
1539941318,2062,2062
1539943279,2065,2065
1539945150,2067,2067
1539947127,2064,2064
1539949212,2067,2067
1539951396,2069,2069
1539953300,2069,2069
1539955218,2167,2167
1539957163,2171,2171
1539959063,2173,2173
1539960998,2233,2233
1539962895,2236,2236
1539965130,2240,2240
1539966991,2240,2240
1539968893,2243,2243
1539971059,2239,2239
1539972986,2236,2236
1539974913,2194,2194
1539976825,2189,2189
1539978739,2187,2187
1539980686,2187,2187
1539982583,2190,2190
1539984509,2186,2186
1539986456,2189,2189
1539988346,2189,2189
1539990286,2186,2186
1539992187,2189,2189
1539994102,2192,2192
1539996024,2193,2193
1539997951,2191,2191
1539999878,2189,2189
1540001782,2192,2192
1540003706,2194,2194
1540005621,2195,2195
1540007539,2196,2196
1540009477,2197,2197
1540011384,2151,2151
1540013296,2155,2155
1540015284,2157,2157
1540017190,2155,2155
1540019089,2156,2156
1540020984,1165,1165
1540022915,1162,1162
1540024847,1161,1161
1540026772,796,796
1540028668,793,793
1540030601,879,879
1540032504,881,881
1540034426,883,883
1540036350,881,881
1540038275,876,876
1540040196,877,877
1540042114,874,874
1540044079,869,869
1540045956,865,865
1540047881,826,826
