DateTime,Entries,UniqueIPs
1539833083,3634,3634
1539835296,3634,3634
1539837149,3396,3396
1539839065,3395,3395
1539841251,3377,3377
1539843159,3377,3377
1539845086,3379,3379
1539847001,3379,3379
1539848905,3299,3299
1539850832,3297,3297
1539852763,3297,3297
1539854668,3296,3296
1539856591,3299,3299
1539858506,2974,2974
1539860478,2950,2950
1539862357,3005,3005
1539864299,3004,3004
1539866195,3011,3011
1539868108,3013,3013
1539870026,2170,2170
1539871956,2016,2016
1539873876,2019,2019
1539875791,2019,2019
1539877698,946,946
1539879643,948,948
1539881546,938,938
1539883476,940,940
1539885380,885,885
1539887561,888,888
1539889489,945,945
1539891381,952,952
1539893308,948,948
1539895215,948,948
1539897165,947,947
1539899062,938,938
1539900997,916,916
1539902924,935,935
1539904847,867,867
1539906775,865,865
1539908686,862,862
1539910580,859,859
1539912525,809,809
1539914505,809,809
1539916369,811,811
1539918268,782,782
1539920175,781,781
1539922112,779,779
1539924040,781,781
1539925969,783,783
1539927859,778,778
1539929815,776,776
1539931725,776,776
1539933635,1767,1767
1539935571,1767,1767
1539937476,1766,1766
1539939419,1774,1774
1539941318,2113,2113
1539943280,2117,2117
1539945150,2118,2118
1539947127,2118,2118
1539949212,2126,2126
1539951396,2129,2129
1539953301,2126,2126
1539955218,2225,2225
1539957164,2228,2228
1539959063,2229,2229
1539960998,2290,2290
1539962896,2292,2292
1539965131,2295,2295
1539966991,2298,2298
1539968893,2298,2298
1539971060,2298,2298
1539972986,2297,2297
1539974914,2255,2255
1539976826,2250,2250
1539978739,2251,2251
1539980686,2253,2253
1539982583,2257,2257
1539984509,2255,2255
1539986460,2262,2262
1539988347,2264,2264
1539990287,2262,2262
1539992189,2266,2266
1539994102,2272,2272
1539996024,2274,2274
1539997952,2275,2275
1539999879,2275,2275
1540001782,2278,2278
1540003707,2279,2279
1540005621,2281,2281
1540007539,2280,2280
1540009477,2281,2281
1540011385,2238,2238
1540013296,2243,2243
1540015287,2246,2246
1540017191,2246,2246
1540019089,2245,2245
1540020984,1256,1256
1540022915,1253,1253
1540024847,1254,1254
1540026772,887,887
1540028668,885,885
1540030602,973,973
1540032505,978,978
1540034426,979,979
1540036351,971,971
1540038275,966,966
1540040196,967,967
1540042115,962,962
1540044081,958,958
1540045957,953,953
1540047882,912,912
1540049802,915,915
1540051765,917,917
1540053634,915,915
1540055557,909,909
1540057478,917,917
1540059394,917,917
1540061312,915,915
1540063226,914,914
1540065174,912,912
1540067160,912,912
1540068992,906,906
1540070909,905,905
1540072922,904,904
1540074752,886,886
1540076719,1160,1160
1540078596,1234,1234
1540080526,1233,1233
1540082451,1231,1231
1540084354,1233,1233
1540086271,1238,1238
1540088203,1239,1239
1540090107,1243,1243
1540092047,1244,1244
1540093953,1244,1244
1540095873,1241,1241
1540097809,1394,1394
1540099716,1393,1393
1540101714,1406,1406
1540103577,1408,1408
1540105735,1408,1408
1540107869,1407,1407
1540109803,1520,1520
1540111707,1521,1521
1540113867,1524,1524
1540115802,1406,1406
1540117702,1478,1478
1540119688,1475,1475
1540121555,1473,1473
1540123494,1471,1471
1540125384,2634,2634
1540127382,3169,3169
1540129238,3215,3215
1540131167,3212,3212
1540133060,3211,3211
1540134862,3211,3211
1540136918,3209,3209
1540139334,3208,3208
1540141279,3210,3210
1540143153,3207,3207
1540145100,3208,3208
1540147007,3210,3210
1540148933,3212,3212
1540150839,3211,3211
1540152761,3214,3214
1540154664,3215,3215
1540156603,3218,3218
1540158494,3252,3252
1540160435,3253,3253
1540162370,3263,3263
1540164273,3227,3227
1540166178,3307,3307
1540168118,3307,3307
1540170991,3302,3302
1540172935,3296,3296
1540174816,3290,3290
1540176767,3290,3290
1540178664,3287,3287
1540180601,3288,3288
1540182521,3136,3136
1540184521,3351,3351
1540186365,3349,3349
1540188285,3335,3335
1540190236,3325,3325
1540192138,3327,3327
1540194137,3328,3328
1540195948,3241,3241
1540197876,3242,3242
1540199829,3240,3240
1540201706,3239,3239
1540203638,3199,3199
1540205540,3347,3347
1540207483,4193,4193
1540209699,5377,5377
1540211556,5918,5918
1540213485,6568,6568
1540215400,6978,6978
1540217311,6978,6978
1540219227,6984,6984
1540221161,6984,6984
1540223072,6987,6987
1540224996,6989,6989
1540226932,6986,6986
1540228834,6982,6982
1540230749,6982,6982
1540232676,6980,6980
1540234611,6976,6976
1540236503,6980,6980
1540238475,7047,7047
1540240355,7043,7043
1540242290,7150,7150
1540244205,7653,7653
1540246126,7654,7654
1540248026,7406,7406
1540250186,7408,7408
1540252102,7353,7353
1540254026,7356,7356
1540255945,7355,7355
1540257862,7357,7357
1540259800,7357,7357
1540261704,7357,7357
1540263653,7356,7356
1540265560,7358,7358
1540267480,7361,7361
1540269416,7182,7182
1540271320,7137,7137
1540273244,7136,7136
1540275175,7137,7137
1540277658,7158,7158
1540279473,7156,7156
1540281514,7157,7157
1540283579,7156,7156
1540285474,7155,7155
1540287388,7156,7156
1540289328,7153,7153
1540291221,7129,7129
1540293153,6588,6588
1540295073,5682,5682
1540297001,4875,4875
1540298906,3768,3768
1540300821,2909,2909
1540302748,2855,2855
1540304682,2866,2866
1540306598,2862,2862
1540308526,2861,2861
1540310491,2858,2858
1540312355,2858,2858
1540314527,2881,2881
1540316437,2882,2882
1540318362,2879,2879
1540320267,2876,2876
1540322207,2875,2875
1540324123,2878,2878
1540326020,2880,2880
1540327968,2880,2880
1540329868,969,969
1540331785,967,967
1540333701,951,951
1540335708,949,949
1540337571,943,943
1540339490,942,942
1540341407,955,955
1540343327,959,959
1540345504,952,952
1540347414,966,966
1540349307,968,968
1540351220,996,996
1540353138,996,996
1540355073,992,992
1540357011,1147,1147
1540358939,1149,1149
1540361084,1146,1146
1540363015,1146,1146
1540365150,1085,1085
1540367094,1089,1089
1540369248,1090,1090
1540371149,1380,1380
1540373067,1407,1407
1540375004,1406,1406
1540377053,1406,1406
1540379087,1406,1406
1540381226,1409,1409
1540383231,1128,1128
1540385078,1130,1130
1540387022,1926,1926
1540389147,2577,2577
1540391058,3027,3027
1540392998,3028,3028
1540394904,3024,3024
1540396905,3026,3026
1540398752,3029,3029
1540400738,3008,3008
1540402596,3007,3007
1540404507,3010,3010
1540406428,2917,2917
1540408345,2939,2939
1540410279,2936,2936
1540412198,2936,2936
1540414104,2941,2941
1540416028,2942,2942
1540417961,2931,2931
1540420010,4021,4021
1540422116,5025,5025
1540423941,6222,6222
1540426041,7666,7666
1540428022,8362,8362
1540429941,8364,8364
1540431881,8367,8367
1540433800,8354,8354
1540435964,8352,8352
1540437883,8348,8348
1540439803,8582,8582
1540441952,8582,8582
1540443892,8582,8582
1540446050,8583,8583
1540447969,8588,8588
1540449894,8587,8587
1540451810,8589,8589
1540453717,8584,8584
1540455658,8583,8583
1540457563,8587,8587
1540459485,8585,8585
1540461409,8585,8585
1540463320,8582,8582
1540465309,8580,8580
1540467411,8581,8581
1540469337,8582,8582
1540471241,8630,8630
1540473155,8850,8850
1540475082,8324,8324
1540477002,7717,7717
1540478922,7715,7715
1540480996,7728,7728
1540484193,7723,7723
1540486104,7721,7721
1540487953,8408,8408
1540490210,10891,10891
1540492364,10891,10891
1540494267,10893,10893
1540496190,10891,10891
1540498121,10891,10891
1540500033,10888,10888
1540501970,10975,10975
1540503864,11128,11128
1540505796,10497,10497
1540507700,9771,9771
1540509703,8966,8966
1540511547,8087,8087
1540513489,7187,7187
1540515403,7186,7186
1540517325,7183,7183
1540519312,7188,7188
1540521154,7187,7187
1540523071,7189,7189
1540526935,7188,7188
1540528867,7191,7191
1540530767,7170,7170
1540532903,7167,7167
1540534827,7163,7163
1540536767,7274,7274
1540538684,7274,7274
1540540606,7275,7275
1540542527,7337,7337
1540544508,7360,7360
1540546348,7361,7361
1540548281,7612,7612
1540550435,7610,7610
1540552592,7614,7614
1540554510,7614,7614
1540556447,7608,7608
1540558358,7602,7602
1540560267,6624,6624
1540562201,6604,6604
1540564345,6603,6603
1540566280,6600,6600
1540568450,6602,6602
1540570402,6605,6605
1540572292,6610,6610
1540574209,5673,5673
1540576124,2513,2513
1540578050,1648,1648
1540579964,1646,1646
1540581857,1650,1650
1540583801,1653,1653
1540585951,1656,1656
1540587875,1649,1649
1540590043,1409,1409
1540591945,1413,1413
1540593860,1417,1417
1540596016,1421,1421
1540598184,1815,1815
1540600115,1816,1816
1540602098,1815,1815
1540603962,1819,1819
1540605889,1845,1845
1540607811,1845,1845
1540609733,1851,1851
1540611647,1854,1854
1540613581,1860,1860
1540615482,1706,1706
1540617400,1708,1708
1540619306,1709,1709
1540621233,1710,1710
1540623164,1689,1689
1540625058,1689,1689
1540627029,1690,1690
1540629149,1607,1607
1540631056,1609,1609
1540633231,1493,1493
1540635156,1406,1406
1540637092,1407,1407
1540639126,1406,1406
1540641145,1404,1404
1540643121,2265,2265
1540644985,3439,3439
1540646924,4563,4563
1540648892,5753,5753
1540650753,7059,7059
1540652676,7102,7102
1540654598,7102,7102
1540656570,7106,7106
1540658673,7105,7105
1540660601,7125,7125
1540662633,7124,7124
1540664670,7125,7125
1540666578,7130,7130
1540668500,7127,7127
1540670490,7126,7126
1540672347,7128,7128
1540674535,7099,7099
1540676679,7176,7176
1540678591,7171,7171
1540680511,7158,7158
1540682451,7156,7156
1540684347,6822,6822
1540686289,6817,6817
1540688495,6817,6817
1540690602,6816,6816
1540692526,6787,6787
1540694420,6782,6782
1540696361,6780,6780
1540698282,6783,6783
1540700190,6693,6693
1540702118,6685,6685
1540704027,6676,6676
1540705943,6847,6847
1540707876,6863,6863
1540710080,7154,7154
1540711957,7165,7165
1540713870,7166,7166
1540715807,7252,7252
1540717952,7253,7253
1540719883,7254,7254
1540721785,7351,7351
1540723704,7640,7640
1540725618,7720,7720
1540727555,7722,7722
1540729478,6960,6960
1540731383,5854,5854
1540733321,4840,4840
1540735273,3797,3797
1540737148,2766,2766
1540739089,2722,2722
1540741010,2719,2719
1540742948,2718,2718
1540744839,2715,2715
1540746774,2667,2667
1540748923,2666,2666
1540750842,2665,2665
1540752764,2662,2662
1540754700,2663,2663
1540756580,2661,2661
1540758513,2663,2663
1540760485,2661,2661
1540762364,2607,2607
1540764338,2609,2609
1540766427,2624,2624
1540768593,2627,2627
1540770528,2581,2581
1540774350,2582,2582
1540776298,2583,2583
1540778209,2583,2583
1540780127,2585,2585
1540782079,3314,3314
1540783972,4206,4206
1540785888,4204,4204
1540788038,4208,4208
1540789954,4197,4197
1540791871,4172,4172
1540793813,4171,4171
1540795745,3561,3561
1540797637,3581,3581
1540799563,3580,3580
1540801487,3475,3475
1540803693,3473,3473
1540805567,3473,3473
1540807484,3451,3451
1540809396,3306,3306
1540811346,3304,3304
