DateTime,Entries,UniqueIPs
1539837149,748,748
1539839065,737,737
1539841251,737,737
1539843159,735,735
1539845087,733,733
1539847001,731,731
1539848906,730,730
1539850832,730,730
1539852764,726,726
1539854669,722,722
1539856591,720,720
1539858507,719,719
1539860479,722,722
1539862357,728,728
1539864300,724,724
1539866195,732,732
1539868108,738,738
1539870027,705,705
1539871957,676,676
1539873876,660,660
1539875792,634,634
1539877698,605,605
1539879643,567,567
1539881547,539,539
1539883476,520,520
1539885380,496,496
1539887562,473,473
1539889490,466,466
1539891381,471,471
1539893308,464,464
1539895215,468,468
1539897165,473,473
1539899062,473,473
1539900997,461,461
1539902924,449,449
1539904847,451,451
1539906776,443,443
1539908686,429,429
1539910581,427,427
1539912525,430,430
1539914506,433,433
1539916369,446,446
1539918269,469,469
1539920175,486,486
1539922112,480,480
1539924040,492,492
1539925969,502,502
1539927859,513,513
1539929815,537,537
1539931725,533,533
1539933635,548,548
1539935571,543,543
1539937476,544,544
1539939419,543,543
1539941318,543,543
1539943280,555,555
1539945150,555,555
1539947128,553,553
1539949213,547,547
1539951397,544,544
1539953301,537,537
1539955218,527,527
1539957164,533,533
1539959064,530,530
1539960998,528,528
1539962896,524,524
1539965132,524,524
1539966991,516,516
1539968894,516,516
1539971060,512,512
1539972986,512,512
1539974914,527,527
1539976826,535,535
1539978739,543,543
1539980687,557,557
1539982583,565,565
1539984509,569,569
1539986462,563,563
1539988348,557,557
1539990288,555,555
1539992190,553,553
1539994104,554,554
1539996024,568,568
1539997952,577,577
1539999879,570,570
1540001782,570,570
1540003707,549,549
1540005621,536,536
1540007539,537,537
1540009478,528,528
1540011385,515,515
1540013297,507,507
1540015289,490,490
1540017191,485,485
1540019089,474,474
1540020985,479,479
1540022915,478,478
1540024847,486,486
1540026773,494,494
1540028668,489,489
1540030602,483,483
1540032505,485,485
1540034427,475,475
1540036351,473,473
1540038276,471,471
1540040197,501,501
1540042115,518,518
1540044088,544,544
1540045957,568,568
1540047882,581,581
1540049803,582,582
1540051765,581,581
1540053634,579,579
1540055557,569,569
1540057478,565,565
1540059395,568,568
1540061312,554,554
1540063227,545,545
1540065174,545,545
1540067161,535,535
1540068992,533,533
1540070910,531,531
1540072922,536,536
1540074752,545,545
1540076722,545,545
1540078597,550,550
1540080527,552,552
1540082451,549,549
1540084355,553,553
1540086271,584,584
1540088203,595,595
1540090107,620,620
1540092047,617,617
1540093954,620,620
1540095873,631,631
1540097810,635,635
1540099716,637,637
1540101715,638,638
1540103578,630,630
1540105735,633,633
1540107869,630,630
1540109803,628,628
1540111707,628,628
1540113868,623,623
1540115803,623,623
1540117702,625,625
1540119688,625,625
1540121556,630,630
1540123495,632,632
1540125384,617,617
1540127382,590,590
1540129238,568,568
1540131167,553,553
1540133060,539,539
1540134862,542,542
1540136919,548,548
1540139334,558,558
1540141279,566,566
1540143153,573,573
1540145102,584,584
1540147007,600,600
1540148933,605,605
1540150839,598,598
1540152762,606,606
1540154664,608,608
1540156603,607,607
1540158494,604,604
1540160436,597,597
1540162370,593,593
1540164274,599,599
1540166178,589,589
1540168118,590,590
1540170071,594,594
1540171958,569,569
1540174042,543,543
1540176032,507,507
1540177934,511,511
1540179863,524,524
1540181773,535,535
1540183691,549,549
1540185877,569,569
1540187786,568,568
1540189703,572,572
1540191680,577,577
1540193550,574,574
1540195487,581,581
1540197382,605,605
1540199390,626,626
1540201247,670,670
1540203160,688,688
1540205051,707,707
1540207218,701,701
1540209158,697,697
1540211076,698,698
1540213273,698,698
1540215401,693,693
1540217311,687,687
1540219227,685,685
1540221161,678,678
1540223073,672,672
1540224996,673,673
1540226933,689,689
1540228835,690,690
1540230749,690,690
1540232676,681,681
1540234612,661,661
1540236503,663,663
1540238475,656,656
1540240355,653,653
1540242290,659,659
1540244205,665,665
1540246126,668,668
1540248026,667,667
1540250186,660,660
1540252103,665,665
1540254026,659,659
1540255945,644,644
1540257862,634,634
1540259800,633,633
1540261704,635,635
1540263658,631,631
1540265560,603,603
1540267480,584,584
1540269417,571,571
1540271320,543,543
1540273245,540,540
1540275176,541,541
1540277658,530,530
1540279474,528,528
1540281514,526,526
1540283579,489,489
1540285474,458,458
1540287389,414,414
1540289328,388,388
1540291221,360,360
1540293153,361,361
1540295074,368,368
1540297001,368,368
1540298907,370,370
1540300822,371,371
1540302748,367,367
1540304682,359,359
1540306599,353,353
1540308527,345,345
1540310491,343,343
1540312356,309,309
1540314527,294,294
1540316438,283,283
1540318362,275,275
1540320267,274,274
1540322207,274,274
1540324124,274,274
1540326020,272,272
1540327968,265,265
1540329868,257,257
1540331785,250,250
1540333702,248,248
1540335710,242,242
1540337571,240,240
1540339490,239,239
1540341408,243,243
1540343327,243,243
1540345505,246,246
1540347415,253,253
1540349307,265,265
1540351220,284,284
1540353138,336,336
1540355073,375,375
1540357011,403,403
1540358939,431,431
1540361085,456,456
1540363015,461,461
1540365150,493,493
1540367094,502,502
1540369248,505,505
1540371150,501,501
1540373067,496,496
1540375005,493,493
1540377054,487,487
1540379087,490,490
1540381227,502,502
1540383232,509,509
1540385078,514,514
1540387023,516,516
1540389148,521,521
1540391058,520,520
1540392998,517,517
1540394905,519,519
1540396905,521,521
1540398752,529,529
1540400739,532,532
1540402597,531,531
1540404508,532,532
1540406428,535,535
1540408345,542,542
1540410280,555,555
