DateTime,Entries,UniqueIPs
1539829140,958,958
1539831137,957,957
1539833084,954,954
1539835316,956,956
1539837150,970,970
1539839066,997,997
1539841252,1039,1039
1539843161,1067,1067
1539845088,1105,1105
1539847002,1153,1153
1539848907,1209,1209
1539850834,1245,1245
1539852765,1286,1286
1539854670,1334,1334
1539856593,1411,1411
1539858508,1492,1492
1539860481,1536,1536
1539862358,1558,1558
1539864301,1610,1610
1539866196,1666,1666
1539868109,1720,1720
1539870028,1786,1786
1539871958,1868,1868
1539873878,1937,1937
1539875793,1977,1977
1539877699,2038,2038
1539879645,2105,2105
1539881548,2161,2161
1539883477,2226,2226
1539885381,2281,2281
1539887563,2334,2334
1539889495,2378,2378
1539891382,2431,2431
1539893309,2482,2482
1539895217,2521,2521
1539897167,2565,2565
1539899064,2623,2623
1539900998,2688,2688
1539902925,2739,2739
1539904849,2790,2790
1539906777,2825,2825
1539908687,2858,2858
1539910582,2901,2901
1539912527,2910,2910
1539914507,2930,2930
1539916371,2938,2938
1539918270,2952,2952
1539920177,2957,2957
1539922113,2974,2974
1539924041,2971,2971
1539925971,2967,2967
1539927861,2949,2949
1539929816,2920,2920
1539931726,2899,2899
1539933637,2859,2859
1539935573,2807,2807
1539937477,2770,2770
1539939420,2725,2725
1539941319,2711,2711
1539943282,2674,2674
1539945151,2648,2648
1539947129,2640,2640
1539949214,2648,2648
1539951398,2619,2619
1539953302,2578,2578
1539955220,2537,2537
1539957175,2515,2515
1539959065,2469,2469
1539960999,2455,2455
1539962898,2440,2440
1539965133,2416,2416
1539966992,2411,2411
1539968895,2402,2402
1539971061,2360,2360
1539972987,2345,2345
1539974915,2331,2331
1539976827,2322,2322
1539978741,2314,2314
1539980688,2316,2316
1539982585,2326,2326
1539984510,2346,2346
1539986503,2339,2339
1539988349,2333,2333
1539990291,2310,2310
1539992192,2315,2315
1539994104,2337,2337
1539996025,2335,2335
1539997953,2366,2366
1539999880,2399,2399
1540001793,2434,2434
1540003708,2472,2472
1540005632,2519,2519
1540007540,2568,2568
1540009479,2584,2584
1540011386,2620,2620
1540013298,2667,2667
1540015291,2663,2663
1540017192,2659,2659
1540019091,2646,2646
1540020986,2645,2645
1540022916,2643,2643
1540024849,2649,2649
1540026774,2640,2640
1540028670,2603,2603
1540030604,2564,2564
1540032506,2524,2524
1540034428,2479,2479
1540036353,2433,2433
1540038277,2397,2397
1540040198,2366,2366
1540042116,2332,2332
1540044089,2313,2313
1540045958,2340,2340
1540047883,2366,2366
1540049804,2399,2399
1540051767,2423,2423
1540053635,2413,2413
1540055558,2449,2449
1540057479,2469,2469
1540059396,2485,2485
1540061314,2493,2493
1540063228,2503,2503
1540065176,2504,2504
1540067162,2510,2510
1540068993,2508,2508
1540070911,2495,2495
1540072924,2491,2491
1540074754,2498,2498
1540076723,2503,2503
1540078598,2499,2499
1540080528,2513,2513
1540082452,2515,2515
1540084356,2512,2512
1540086272,2516,2516
1540088204,2511,2511
1540090109,2515,2515
1540092049,2514,2514
1540093955,2501,2501
