DateTime,Entries,UniqueIPs
1539770666,1430,1430
1539772607,1427,1427
1539774538,1428,1428
1539776441,1427,1427
1539778362,1429,1429
1539780290,1434,1434
1539782196,1434,1434
1539784111,1434,1434
1539786046,1433,1433
1539787974,1430,1430
1539790146,1436,1436
1539792110,1434,1434
1539793969,1435,1435
1539795914,1435,1435
1539797804,1437,1437
1539799727,1048,1048
1539801643,856,856
1539803553,716,716
1539805484,505,505
1539807431,275,275
1539809555,179,179
1539811483,181,181
1539813394,182,182
1539815313,180,180
1539819153,179,179
1539821090,181,181
1539822982,178,178
1539824916,179,179
1539826826,177,177
1539829141,175,175
1539831138,177,177
1539835317,178,178
1539837152,177,177
1539839067,155,155
1539841254,156,156
1539843163,156,156
1539845089,156,156
1539847003,159,159
1539848909,159,159
1539850835,158,158
1539852766,159,159
1539854671,158,158
1539856594,157,157
1539858509,158,158
1539860482,174,174
1539862359,175,175
1539864302,176,176
1539866197,173,173
1539868110,175,175
1539870029,173,173
1539871959,171,171
1539873879,173,173
1539875794,173,173
1539877700,173,173
1539881549,175,175
1539883478,174,174
1539885382,174,174
1539887564,167,167
1539889502,169,169
1539891383,168,168
1539893311,171,171
1539895217,171,171
1539897168,172,172
1539899065,173,173
1539901000,171,171
1539902926,172,172
1539904850,173,173
1539906778,170,170
1539908689,171,171
1539910584,168,168
1539912528,166,166
1539914512,165,165
1539918271,164,164
1539920178,166,166
1539922114,165,165
1539927862,165,165
1539929817,165,165
1539931727,164,164
1539933638,162,162
1539935574,162,162
1539937478,166,166
1539939422,167,167
1539941321,168,168
1539943283,168,168
1539945153,168,168
1539947131,155,155
1539949215,153,153
1539951399,151,151
1539953313,152,152
1539955221,152,152
1539957176,149,149
1539959066,149,149
1539961001,146,146
1539962899,145,145
1539965135,143,143
1539966994,144,144
1539968896,143,143
1539971062,140,140
1539972988,139,139
1539974917,137,137
1539976829,134,134
1539978742,134,134
1539980689,129,129
1539982586,130,130
1539984512,130,130
1539986536,132,132
1539988350,132,132
1539990293,133,133
1539992193,134,134
1539994106,135,135
1539996026,135,135
1539997954,133,133
1539999889,132,132
1540001794,131,131
1540003709,130,130
1540005634,129,129
1540007542,129,129
1540009481,128,128
1540011387,129,129
1540013299,129,129
1540015293,130,130
1540017193,133,133
1540019093,133,133
1540020988,133,133
1540022918,128,128
1540024850,124,124
1540026775,123,123
1540028672,122,122
1540030605,122,122
1540032507,117,117
1540034429,121,121
1540036354,120,120
1540038278,118,118
1540040199,115,115
1540042118,117,117
1540044092,118,118
1540045960,119,119
1540047885,119,119
1540049805,118,118
1540051768,121,121
1540053636,122,122
1540055573,124,124
1540057481,123,123
1540059398,125,125
1540061315,128,128
1540063229,127,127
1540065178,128,128
1540067164,131,131
1540068995,132,132
1540070912,132,132
1540072925,133,133
1540074755,133,133
1540076725,131,131
1540078599,130,130
1540080529,130,130
1540082453,129,129
1540084357,128,128
1540086273,129,129
1540090110,130,130
1540092050,130,130
1540093956,130,130
1540097812,132,132
1540099719,133,133
1540101717,131,131
1540103580,130,130
1540105751,129,129
1540107872,126,126
1540109805,126,126
1540111710,127,127
1540113870,127,127
1540115806,713,713
1540117705,714,714
1540121558,715,715
1540123498,714,714
1540125386,715,715
1540129241,715,715
1540131170,716,716
1540133065,715,715
1540135216,714,714
1540137134,712,712
1540141285,712,712
1540145108,713,713
1540147019,714,714
1540152772,713,713
1540156606,714,714
1540158497,711,711
1540160441,710,710
1540162373,711,711
1540164276,713,713
1540166181,715,715
1540171961,717,717
1540174062,720,720
1540176034,719,719
1540177937,720,720
1540179866,721,721
1540181775,722,722
1540185879,726,726
1540187789,725,725
1540189705,724,724
1540191691,724,724
1540193552,723,723
1540195491,729,729
