DateTime,Entries,UniqueIPs
1539837152,982,982
1539839068,966,966
1539841254,959,959
1539843163,956,956
1539845089,956,956
1539847004,951,951
1539848910,947,947
1539850835,941,941
1539852766,935,935
1539854671,937,937
1539856594,929,929
1539858510,926,926
1539860482,930,930
1539862360,938,938
1539864302,939,939
1539866198,948,948
1539868111,954,954
1539870029,920,920
1539871959,889,889
1539873879,867,867
1539875794,837,837
1539877700,805,805
1539879646,764,764
1539881549,734,734
1539883479,714,714
1539885383,692,692
1539887564,665,665
1539889506,655,655
1539891384,659,659
1539893311,646,646
1539895218,654,654
1539897168,655,655
1539899065,659,659
1539901000,646,646
1539902927,627,627
1539904850,625,625
1539906778,615,615
1539908689,600,600
1539910584,598,598
1539912529,603,603
1539914515,608,608
1539916372,619,619
1539918272,644,644
1539920178,661,661
1539922115,652,652
1539924043,665,665
1539925972,676,676
1539927868,696,696
1539929818,723,723
1539931728,722,722
1539933638,738,738
1539935574,733,733
1539937479,734,734
1539939422,737,737
1539941321,727,727
1539943284,742,742
1539945153,740,740
1539947131,735,735
1539949216,728,728
1539951399,720,720
1539953313,714,714
1539955221,704,704
1539957176,712,712
1539959066,710,710
1539961001,711,711
1539962900,706,706
1539965136,706,706
1539966994,698,698
1539968896,697,697
1539971063,690,690
1539972989,695,695
1539974917,710,710
1539976829,715,715
1539978742,720,720
1539980689,733,733
1539982586,735,735
1539984512,740,740
1539986540,730,730
1539988351,728,728
1539990294,730,730
1539992195,734,734
1539994107,739,739
1539996027,755,755
1539997954,765,765
1539999889,754,754
1540001794,753,753
1540003710,733,733
1540005635,722,722
1540007542,722,722
1540009481,711,711
1540011387,700,700
1540013299,691,691
1540015293,669,669
1540017194,660,660
1540019093,649,649
1540020988,652,652
1540022919,653,653
1540024850,663,663
1540026775,670,670
1540028672,666,666
1540030605,660,660
1540032508,663,663
1540034429,654,654
1540036354,654,654
1540038278,653,653
1540040199,683,683
1540042118,697,697
1540044092,723,723
1540045960,747,747
1540047885,760,760
1540049805,768,768
1540051768,765,765
1540053636,765,765
1540055573,755,755
1540057481,751,751
1540059398,750,750
1540061315,739,739
1540063229,730,730
1540065178,729,729
1540067164,721,721
1540068995,722,722
1540070913,720,720
1540072925,721,721
1540074755,735,735
1540076725,734,734
1540078599,739,739
1540080529,739,739
1540082454,734,734
1540084357,737,737
1540086274,771,771
1540088206,779,779
1540090110,804,804
1540092050,800,800
1540093956,804,804
1540095876,817,817
1540097813,819,819
1540099719,822,822
1540101717,822,822
1540103580,813,813
1540105752,815,815
