DateTime,AddedIPs,RemovedIPs
1539819634,1,7
1539821568,6,2
1539823465,22,1
1539825558,6,5
1539827535,3,6
1539829494,3,0
1539831382,1,2
1539833298,4,3
1539835321,2,4
1539837154,3,1
1539839070,4,3
1539841256,2,2
1539843165,3,2
1539845091,3,4
1539847006,0,5
1539848918,4,0
1539850837,0,4
1539852769,3,9
1539854673,1,11
1539856596,9,3
1539858512,1,2
1539860485,5,4
1539862362,4,4
1539864305,9,8
1539866200,5,2
1539868123,2,1
1539870032,7,4
1539871961,6,3
1539873881,2,1
1539875796,7,1
1539877702,1,4
1539879649,1,12
1539881561,3,1
1539883481,6,2
1539885385,2,4
1539887566,2,0
1539889510,2,2
1539891386,2,5
1539893314,2,5
1539895220,3,4
1539897170,5,8
1539899067,1,5
1539901002,3,3
1539902929,5,4
1539904852,1,0
1539906781,4,4
1539908692,0,5
1539910586,0,3
1539912531,14,9
1539914536,2,2
1539916374,3,2
1539918274,5,3
1539920180,3,3
1539922117,1,3
1539924045,1,5
1539925974,2,2
1539927870,1,0
1539929820,4,5
1539931730,2,2
1539933640,0,3
1539935576,3,3
1539937481,2,1
1539939424,5,3
1539941323,4,5
1539943286,3,5
1539945155,5,3
1539947133,4,6
1539949218,3,8
1539951401,4,5
1539953315,1,3
1539955223,6,1
1539957178,6,6
1539959068,4,4
1539961003,3,5
1539962903,2,5
1539965139,1,2
1539966996,1,2
1539968898,1,5
1539971064,2,3
1539972991,6,2
1539974919,6,4
1539976831,2,2
1539978744,4,1
1539980691,3,3
1539982588,1,7
1539984514,21,2
1539986543,1,3
1539988353,3,7
1539990298,3,4
1539992202,2,1
1539994115,3,4
1539996029,1,3
1539997956,4,0
1539999898,3,16
1540001797,3,1
1540003711,0,3
1540005637,4,1
1540007544,1,3
1540009483,4,2
1540011390,0,1
1540013301,2,2
1540015295,3,1
1540017196,1,4
1540019095,7,2
1540020990,5,1
1540022921,0,2
1540024852,1,2
1540026777,4,5
1540028675,6,1
1540030615,3,6
1540032510,1,2
1540034432,4,4
1540036356,5,4
1540038281,1,3
1540040202,3,1
1540042120,0,6
1540044094,1,6
1540045962,3,3
1540047887,3,1
1540049807,4,1
1540051771,2,0
1540053638,0,1
1540055576,2,1
1540057483,4,2
1540059400,2,7
1540061317,0,5
1540063231,5,3
1540065180,2,6
1540067167,2,3
1540068997,5,2
1540070915,1,2
1540072928,3,2
1540074758,6,3
1540076727,1,45
1540078602,2,3
1540080531,3,3
1540082456,2,0
1540084359,3,6
1540086276,0,4
1540088208,3,4
1540090112,1,0
1540092053,2,5
1540095878,7,3
1540097815,9,0
1540099721,3,2
1540101720,2,2
1540103582,1,1
1540105754,2,9
1540107874,2,6
1540109808,4,1
1540113874,3,4
1540115809,3078,3
1540117708,880,1
1540119695,3,2
1540121561,4,4
1540123503,5,1
1540125390,8,1
1540127387,0,2
1540129244,0,3
1540133068,2,3
1540135219,3,2
1540137146,2,1
1540139342,2,0
1540143159,0,1
1540145111,0,1
1540147022,2,1
1540148938,0,3
1540150845,1,4
1540152775,3,1
1540154669,2,3
1540156614,1,2
1540160444,0,4
1540162376,0,1
1540164279,1,0
1540166184,3,3
1540168124,2,1
1540170102,2,1
1540171964,3,1
1540174067,2,1
1540176037,2,1
1540177939,3,2
1540179868,0,1
1540181778,4,3
1540183697,2,0
1540185882,4,3
1540187792,3,2
1540189708,5,1
1540191696,0,2
1540193555,3,1
1540195495,0,3
1540197387,8,0
1540199395,1,2
1540201258,1,397
1540203166,3,391
1540205062,7,1
1540207223,3,7
1540209164,5,105
1540211089,7,2784
1540213280,2,274
1540215406,6,0
1540217316,6,0
1540219232,8,3
1540221166,2,2
1540223077,7,2
1540225001,4,2
1540226947,0,1
1540228839,9,1
1540230754,8,6
1540232681,6,3
1540234617,6,5
1540236507,7,1
1540238483,6,3
1540240360,18,2
1540242295,4,3
1540244217,15,0
1540246130,4,2
1540248031,8,1
1540250191,10,1
1540252107,13,3
1540254031,5,2
1540255968,5,1
1540257867,2,5
1540259811,10,6
1540261709,7,0
1540263690,6,0
1540265565,8,4
1540267489,1,4
1540269421,8,6
