DateTime,Entries,UniqueIPs
1539837154,1883,1883
1539839070,1861,1861
1539841256,1837,1837
1539843165,1807,1807
1539845091,1795,1795
1539847006,1790,1790
1539848918,1778,1778
1539850837,1771,1771
1539852768,1746,1746
1539854673,1738,1738
1539856596,1722,1722
1539858511,1721,1721
1539860484,1717,1717
1539862361,1720,1720
1539864304,1703,1703
1539866200,1699,1699
1539868123,1704,1704
1539870031,1691,1691
1539871961,1687,1687
1539873881,1659,1659
1539875796,1650,1650
1539877702,1642,1642
1539879649,1650,1650
1539881561,1641,1641
1539883481,1634,1634
1539885384,1626,1626
1539887566,1629,1629
1539889510,1632,1632
1539891385,1605,1605
1539893313,1593,1593
1539895219,1581,1581
1539897170,1568,1568
1539899067,1553,1553
1539901002,1558,1558
1539902928,1556,1556
1539904852,1561,1561
1539906780,1544,1544
1539908692,1548,1548
1539910586,1548,1548
1539912531,1528,1528
1539914536,1528,1528
1539916374,1530,1530
1539918273,1513,1513
1539920180,1511,1511
1539922116,1501,1501
1539924044,1510,1510
1539925974,1514,1514
1539927870,1527,1527
1539929820,1541,1541
1539931729,1532,1532
1539933640,1526,1526
1539935576,1516,1516
1539937481,1515,1515
1539939424,1529,1529
1539941323,1520,1520
1539943286,1509,1509
1539945155,1505,1505
1539947133,1518,1518
1539949218,1510,1510
1539951401,1528,1528
1539953315,1508,1508
1539955223,1504,1504
1539957178,1512,1512
1539959068,1522,1522
1539961003,1522,1522
1539962902,1532,1532
1539965139,1537,1537
1539966996,1535,1535
1539968898,1533,1533
1539971064,1545,1545
1539972990,1545,1545
1539974918,1536,1536
1539976831,1538,1538
1539978744,1548,1548
1539980691,1574,1574
1539982588,1568,1568
1539984514,1580,1580
1539986543,1579,1579
1539988352,1567,1567
1539990297,1573,1573
1539992202,1554,1554
1539994115,1560,1560
1539996029,1547,1547
1539997956,1555,1555
1539999898,1558,1558
1540001797,1562,1562
1540003711,1582,1582
1540005636,1606,1606
1540007544,1623,1623
1540009483,1643,1643
1540011389,1640,1640
1540013301,1635,1635
1540015295,1618,1618
1540017196,1630,1630
1540019095,1639,1639
1540020990,1645,1645
1540022921,1652,1652
1540024852,1655,1655
1540026777,1657,1657
1540028675,1672,1672
1540030614,1673,1673
1540032510,1690,1690
1540034431,1676,1676
1540036356,1683,1683
1540038280,1673,1673
1540040201,1673,1673
1540042120,1679,1679
1540044094,1670,1670
1540045962,1662,1662
1540047887,1665,1665
1540049807,1664,1664
1540051771,1651,1651
1540053638,1655,1655
1540055575,1654,1654
1540057483,1650,1650
1540059400,1651,1651
1540061317,1662,1662
1540063231,1671,1671
1540065180,1667,1667
1540067166,1666,1666
1540068997,1656,1656
1540070914,1642,1642
1540072927,1647,1647
1540074757,1665,1665
1540076727,1657,1657
1540078601,1678,1678
1540080531,1666,1666
1540082456,1670,1670
1540084359,1662,1662
1540086275,1666,1666
1540088207,1670,1670
1540090112,1662,1662
1540092053,1637,1637
1540093958,1617,1617
1540095877,1573,1573
1540097815,1574,1574
1540099721,1578,1578
1540101719,1579,1579
1540103582,1561,1561
1540105754,1566,1566
1540107874,1561,1561
1540109807,1553,1553
1540111712,1555,1555
1540113874,1545,1545
1540115808,1541,1541
1540117707,1552,1552
1540119694,1547,1547
1540121560,1544,1544
1540123503,1538,1538
1540125389,1550,1550
1540127387,1534,1534
1540129244,1520,1520
1540131173,1520,1520
1540133068,1532,1532
1540135218,1521,1521
1540137145,1531,1531
1540139342,1534,1534
1540141289,1524,1524
1540143158,1529,1529
1540145111,1526,1526
1540147021,1532,1532
1540148938,1540,1540
1540150844,1532,1532
1540152774,1539,1539
1540154669,1533,1533
1540156614,1544,1544
1540158499,1547,1547
1540160444,1534,1534
1540162375,1532,1532
1540164279,1524,1524
1540166183,1518,1518
1540168124,1529,1529
1540170102,1535,1535
1540171963,1539,1539
1540174066,1544,1544
1540176037,1549,1549
1540177939,1557,1557
1540179868,1568,1568
1540181778,1564,1564
1540183697,1571,1571
1540185882,1555,1555
1540187791,1565,1565
1540189707,1570,1570
1540191695,1567,1567
1540193554,1563,1563
1540195494,1570,1570
1540197386,1560,1560
1540199394,1559,1559
1540201257,1552,1552
1540203166,1538,1538
1540205061,1524,1524
1540207223,1533,1533
1540209163,1544,1544
1540211088,1540,1540
1540213279,1559,1559
1540215406,1569,1569
1540217316,1567,1567
1540219231,1565,1565
1540221166,1572,1572
1540223077,1567,1567
1540225001,1571,1571
1540226947,1572,1572
1540228839,1577,1577
1540230754,1587,1587
1540232680,1588,1588
1540234616,1580,1580
1540236507,1586,1586
1540238482,1581,1581
1540240359,1610,1610
1540242295,1602,1602
1540244217,1591,1591
1540246130,1607,1607
1540248031,1629,1629
1540250190,1646,1646
1540252107,1686,1686
1540254031,1699,1699
1540255967,1705,1705
1540257866,1717,1717
1540259811,1730,1730
1540261708,1728,1728
1540263690,1728,1728
1540265564,1715,1715
