DateTime,Entries,UniqueIPs
1539734438,652,652
1539736345,649,649
1539738287,647,647
1539740177,643,643
1539744020,642,642
1539747870,641,641
1539749807,640,640
1539751713,638,638
1539753615,637,637
1539755558,634,634
1539757495,633,633
1539759377,633,633
1539761316,631,631
1539764210,632,632
1539766346,634,634
1539768263,637,637
1539770215,637,637
1539772098,636,636
1539774073,636,636
1539775949,636,636
1539777887,635,635
1539779795,638,638
1539781725,641,641
1539783618,644,644
1539785560,643,643
1539787472,645,645
1539789513,647,647
1539791563,649,649
1539793469,648,648
1539797308,652,652
1539800198,75,75
1539802100,81,81
1539804021,84,84
1539805948,84,84
1539807859,85,85
1539810079,90,90
1539811955,90,90
1539813874,90,90
1539815811,89,89
1539819635,90,90
1539821568,89,89
1539823465,92,92
1539825558,91,91
1539827535,89,89
1539829494,86,86
1539835322,87,87
1539843166,86,86
1539845092,85,85
1539847006,84,84
1539850838,84,84
1539852769,81,81
1539854674,80,80
1539858512,81,81
1539860485,82,82
1539862362,82,82
1539864305,84,84
1539866200,82,82
1539868123,80,80
1539870032,78,78
1539873881,79,79
1539875797,79,79
1539877703,78,78
1539879650,80,80
1539881561,81,81
1539883481,79,79
1539885385,78,78
1539887567,75,75
1539889510,77,77
1539891386,74,74
1539893314,75,75
1539895220,70,70
1539897170,70,70
1539899068,67,67
1539901002,65,65
1539904852,66,66
1539906781,66,66
1539908692,66,66
1539910587,64,64
1539912532,62,62
1539914537,62,62
1539916375,63,63
1539918274,62,62
1539920180,64,64
1539922117,64,64
1539924045,67,67
1539927871,68,68
1539929821,70,70
1539931730,73,73
1539933641,75,75
1539935576,78,78
1539937481,81,81
1539939424,84,84
1539941323,86,86
1539943287,87,87
1539945155,88,88
1539947133,89,89
1539949219,88,88
1539951402,86,86
1539953316,89,89
1539955224,89,89
1539957179,88,88
1539959069,90,90
1539961003,89,89
1539962903,91,91
1539965139,89,89
1539966996,92,92
1539968899,90,90
1539971065,88,88
1539972991,86,86
1539974919,87,87
1539976832,87,87
1539978744,83,83
1539980691,79,79
1539982588,80,80
1539984514,80,80
1539986543,79,79
1539988353,79,79
1539990299,78,78
1539992202,78,78
1539994116,78,78
1539996030,78,78
1539997956,78,78
1540001797,77,77
1540003712,78,78
1540005637,78,78
1540007544,79,79
1540009483,76,76
1540011390,77,77
1540015296,77,77
1540017196,77,77
1540019096,74,74
1540020991,72,72
1540022921,65,65
1540024853,61,61
1540026777,59,59
1540028675,58,58
1540030615,59,59
1540032510,54,54
1540034432,57,57
1540036356,55,55
1540038281,54,54
1540040202,52,52
1540042120,51,51
1540044094,53,53
1540045962,53,53
1540047888,51,51
1540049808,49,49
1540051771,49,49
1540053639,46,46
1540055576,48,48
1540057484,47,47
1540059401,49,49
1540061317,52,52
1540063232,57,57
1540065181,60,60
1540067167,66,66
1540068997,67,67
1540070915,67,67
1540072928,67,67
1540074758,68,68
1540076728,67,67
1540078602,68,68
1540080532,67,67
1540082456,68,68
1540084359,67,67
1540086276,68,68
1540090112,67,67
1540092054,67,67
1540093959,68,68
1540097815,69,69
1540101720,69,69
1540103583,70,70
1540105755,73,73
1540109808,73,73
1540111713,74,74
1540113874,73,73
1540115809,658,658
1540117708,658,658
1540119695,656,656
1540123504,655,655
1540125390,657,657
1540127388,659,659
1540129245,657,657
1540131174,658,658
1540133068,656,656
1540135219,659,659
1540137146,657,657
1540139342,658,658
1540141290,658,658
1540143159,661,661
