DateTime,AddedIPs,RemovedIPs
1539708753,2,1
1539710672,1,1
1539712883,1,0
1539714739,5,2
1539716724,112,0
1539718590,187,0
1539720519,240,1
1539722431,158,0
1539724608,2,0
1539726498,1,1
1539728417,1,1
1539730598,2,0
1539732497,2,0
1539734440,0,6
1539736345,1,0
1539738288,1,0
1539740178,3,1
1539742124,1,0
1539744020,2,0
1539745949,3,0
1539747870,1,2
1539749807,3,0
1539753615,0,1
1539755558,1,0
1539757496,2,0
1539764211,6,2
1539766347,1,4
1539768263,0,1
1539770215,1,3
1539772099,2,3
1539774075,3,0
1539775949,4,2
1539777887,3,1
1539779795,2,1
1539781726,2,1
1539783619,3,3
1539785560,3,1
1539787472,2,0
1539789513,3,0
1539791563,2,1
1539793469,3,1
1539795395,0,1
1539797308,1,1
1539800199,4,1
1539802100,5,37
1539804021,3,160
1539805948,0,232
1539807859,3,224
1539810086,0,46
1539811955,0,1
1539813875,1,0
1539815811,0,2
1539817733,1,2
1539819635,1,0
1539821569,2,1
1539823465,2,2
1539825559,1,1
1539827535,2,1
1539829495,3,3
1539831383,6,0
1539833298,3,1
1539835323,1,0
1539837155,0,1
1539839071,2,1
1539841257,1,0
1539843166,2,0
1539845092,3,1
1539847006,2,0
1539848919,4,1
1539850838,1,2
1539852769,2,1
1539854675,2,0
1539856597,1,1
1539858512,1,1
1539860486,16,1
1539866201,0,1
1539868124,3,0
1539870032,1,1
1539871962,0,4
1539873882,1,1
1539875797,1,0
1539877712,1,2
1539879650,0,1
1539881562,3,0
1539883482,1,2
1539885385,0,3
1539887567,0,2
1539889511,3,2
1539891386,2,1
1539893314,1,0
1539895220,1,2
1539897171,0,1
1539899069,0,1
1539902929,1,0
1539904853,1,0
1539906781,0,2
1539908693,1,2
1539910587,0,1
1539912532,1,0
1539914538,0,1
1539916375,1,0
1539918274,1,1
1539920181,2,2
1539924045,1,1
1539927871,0,3
1539929821,2,1
1539931730,0,3
1539933641,2,4
1539935577,0,2
1539937482,1,2
1539939425,0,1
1539941324,0,3
1539943288,0,1
1539945156,0,3
1539947134,2,14
1539949219,0,2
1539951402,1,2
1539953316,1,0
1539955224,2,1
1539959069,0,4
1539961004,1,1
1539962903,0,1
1539965140,0,2
1539966996,1,2
1539968899,0,3
1539971065,0,2
1539972991,1,1
1539974919,0,2
1539976833,0,3
1539978745,1,0
1539980692,0,3
1539982589,0,3
1539984515,1,1
1539986544,3,0
1539988353,0,2
1539990299,1,2
1539992203,2,3
1539994116,0,1
1539996030,1,3
1539997957,1,4
1539999899,1,1
1540001798,2,2
1540003712,0,4
1540005637,0,5
1540007545,0,4
1540009484,1,3
1540011390,0,1
1540013302,2,2
1540015296,0,1
1540017197,2,2
1540019096,3,0
1540020991,6,3
1540022922,1,2
1540024853,1,1
1540026778,0,1
1540030615,2,0
1540032511,4,1
1540034432,2,1
1540036357,1,0
1540038281,2,0
1540040202,0,2
1540042120,3,0
1540044095,1,0
1540045963,1,0
1540049808,2,0
1540051772,3,1
1540055576,0,1
1540059401,5,1
1540061318,3,0
1540063232,3,0
1540065181,1,0
1540067167,3,0
1540068998,5,0
1540070915,1,1
1540072928,2,2
1540074758,1,0
1540076728,0,1
1540078602,1,2
1540080532,3,1
1540082457,0,1
1540084360,0,2
1540086276,2,2
1540088208,0,1
1540090113,7,0
1540093959,1,0
1540095878,1,0
1540097816,2,0
1540099722,3,2
1540101720,0,1
1540103583,0,2
1540105755,5,3
1540107875,0,2
1540109808,1,0
1540111713,2,0
1540115809,4,1
1540119696,0,1
1540121561,1,1
1540123504,1,0
1540125390,0,1
1540127388,1,1
1540129245,1,0
1540131174,0,2
1540133069,1,0
1540135221,0,3
1540137147,2,1
1540141291,2,0
1540145113,1,1
1540147023,1,2
1540152776,0,1
1540154670,1,2
1540156615,1,2
1540158500,3,3
1540162376,4,1
1540164280,3,0
1540166184,1,0
1540170103,0,1
1540171965,4,0
1540174069,4,0
1540176038,0,1
1540177948,2,1
1540181779,1,1
1540183698,0,1
1540185883,1,3
1540189709,2,1
1540191696,0,1
1540193555,0,4
1540195496,2,0
1540197388,0,2
1540201258,4,4
1540203167,1,0
1540205063,2,0
1540215407,5,2
1540217317,2,0
1540219232,1,2
1540221167,0,1
1540223078,1,0
1540226948,3,2
1540228840,0,3
1540230755,3,1
1540232681,1,2
1540234617,1,2
1540236508,3,0
1540238484,3,0
1540240360,1,0
1540242296,0,2
1540244218,1,0
1540246132,0,1
1540248032,1,1
1540250191,1,3
1540252108,1,0
1540257867,1,0
1540261709,0,1
1540263691,1,0
1540265565,0,1
1540269422,0,1
1540271325,1,0
1540273250,1,0
1540277663,1,0
1540279479,1,0
1540281526,1,2
1540283585,1,1
1540285480,0,1
1540287394,2,4
1540289335,1,2
1540291227,0,2
1540293158,1,1
1540298912,0,1
1540300827,0,1
1540302753,0,3
1540304689,2,0
1540306609,1,2
1540308540,0,6
1540312361,1,1
1540314532,1,6
1540318374,2,3
1540320273,1,2
1540322213,0,3
1540324129,1,2
1540326026,1,7
1540327974,0,1
1540329873,0,4
1540331791,0,2
1540333707,2,2
1540335721,1,4
1540341413,0,4
1540343333,2,2
1540345525,3,1
1540349312,0,4
1540351226,1,1
1540353143,1,2
1540355078,0,3
1540358944,1,1
1540363020,3,1
1540365157,0,1
1540367099,5,2
1540369254,0,1
1540371155,4,2
1540373073,0,2
1540375020,2,1
1540377059,3,1
1540379098,0,1
1540381232,1,2
1540383238,2,0
1540385084,0,1
1540387029,0,2
1540389162,3,1
1540391064,0,1
1540393014,0,1
1540394910,3,0
1540396916,1,2
1540398758,0,1
1540400747,2,1
1540404524,1,1
1540406435,4,0
1540408352,1,1
1540410290,2,1
1540412205,1,2
1540414110,1,0
1540416039,2,1
1540417968,2,0
1540420015,2,3
1540422123,1,1
1540428033,0,1
1540429946,0,2
1540431897,3,5
1540435970,3,0
1540437889,1,0
1540439809,2,2
1540441958,2,0
1540443899,2,0
1540446056,2,0
1540447979,1,0
1540449900,2,2
1540451817,1,0
1540453724,0,1
1540457570,0,1
1540461417,0,1
1540463337,0,2
1540465318,3,0
1540467418,1,1
1540469344,0,1
1540473162,0,1
1540475089,0,4
1540477008,5,0
1540478929,0,2
1540481003,1,0
1540483303,0,3
1540485150,6,1
1540487138,1,3
1540489251,2,2
1540491180,3,1
1540493067,2,2
1540495238,1,0
1540497151,1,4
1540499079,99,0
1540502905,2,0
1540504931,0,3
1540506755,1,2
1540508936,2,0
1540514908,3,0
1540516833,1,2
1540518766,2,0
1540520681,3,0
1540522601,0,4
1540524505,0,1
1540526502,2,0
1540528363,2,1
1540530276,0,1
1540532453,2,0
1540534372,3,1
1540536285,2,1
1540538212,0,1
1540540130,0,1
1540542028,2,0
1540543948,4,0
1540547785,1,0
1540549955,3,0
1540552144,1,4
1540554052,1,0
1540556459,1,1
1540558363,1,0
1540564353,1,3
1540566326,2,0
1540568471,2,0
1540570408,2,1
1540572301,3,1
1540574221,1,0
1540576130,1,2
1540578058,1,1
1540579971,1,0
1540581883,1,2
1540583809,2,1
1540585956,1,95
1540587881,1,0
1540590049,1,1
1540591953,2,0
1540593867,2,0
1540596024,2,2
1540598202,2,0
1540600121,0,1
1540602105,2,1
1540603968,0,1
1540605956,1,0
1540607822,0,1
1540611653,2,0
1540613588,1,0
1540615488,0,3
1540617408,1,0
1540619312,2,0
1540621249,0,1
1540623175,1,1
1540625076,2,0
1540627037,2,3
1540629156,1,1
1540631063,2,2
1540633238,1,1
1540635161,0,1
1540637100,0,1
1540639132,1,0
1540641152,0,1
1540643149,0,1
1540644991,2,0
1540648910,1,0
1540650761,0,2
1540652693,1,3
1540654604,1,1
1540656578,2,3
1540658680,2,0
1540660607,0,1
1540662640,0,1
1540664676,0,1
1540668506,0,3
1540670515,0,2
1540672352,0,1
1540674541,1,2
1540676685,0,2
1540678608,1,1
1540680518,1,2
1540684354,1,1
1540686295,0,2
1540688514,0,1
1540690608,0,2
1540694432,2,1
1540698288,1,1
1540700196,1,3
1540702123,2,1
1540704033,1,1
1540705951,1,2
1540707883,0,2
1540710088,1,0
1540711971,0,5
1540713878,0,4
1540715813,3,2
1540717958,0,2
1540719890,0,2
1540721795,2,2
1540723711,0,2
1540725624,0,1
1540731388,0,1
1540733327,0,1
1540735295,0,1
1540737155,1,3
1540739113,0,2
1540741016,0,1
1540742955,1,4
1540744854,1,1
1540746780,2,1
1540748931,1,2
1540750848,0,1
1540752770,4,0
1540754706,0,1
1540756586,0,2
1540758519,0,1
1540760494,0,1
1540762371,2,0
1540764345,1,1
1540766432,1,0
1540768604,1,2
1540770534,2,1
1540772433,4,0
1540774356,1,2
1540776304,1,0
1540778226,1,0
1540780135,0,2
1540782110,0,1
1540783979,3,0
1540785902,0,3
1540788055,0,1
1540789960,3,3
1540791887,0,1
1540793819,0,2
1540795752,2,2
1540797645,0,3
1540799570,0,4
1540801495,1,2
1540803701,0,5
1540805573,4,0
1540807491,3,2
1540809403,2,0
1540811353,1,1
