DateTime,AddedIPs,RemovedIPs
1539708754,0,1
1539712884,3,1
1539714740,4,0
1539716725,4,2
1539718590,1,1
1539720520,3,0
1539722431,3,3
1539724609,4,3
1539726498,4,2
1539728417,0,4
1539730598,4,0
1539732498,3,3
1539734441,1,5
1539736345,4,3
1539738289,4,0
1539740178,4,0
1539742124,3,1
1539744021,4,5
1539745949,4,2
1539747870,4,2
1539749807,3,1
1539751714,2,1
1539753615,6,2
1539755559,2,1
1539757496,5,2
1539759378,2,2
1539761317,3,0
1539764211,2,3
1539766347,2,1
1539768264,2,1
1539770216,0,2
1539772100,4,4
1539777888,1,2
1539779795,2,2
1539781726,1,2
1539783619,3,6
1539785560,2,0
1539789513,2,1
1539791564,5,0
1539793470,3,3
1539795395,2,0
1539797309,2,0
1539800199,5,6
1539802100,1,2
1539804021,2,3
1539805948,1,2
1539807860,1,3
1539810091,1,6
1539811955,2,1
1539813875,4,3
1539815811,0,2
1539817733,2,2
1539819635,5,4
1539821569,4,1
1539823465,0,4
1539825559,1,4
1539827536,1,4
1539829495,0,4
1539831383,0,4
1539833299,1,2
1539835323,2,6
1539837155,0,2
1539839071,2,2
1539841257,4,7
1539843166,2,4
1539845092,2,3
1539847007,1,0
1539848919,0,3
1539850838,1,3
1539852770,6,1
1539854675,1,2
1539856607,1,0
1539858513,1,4
1539860486,1,0
1539862363,3,0
1539864306,2,1
1539866201,3,2
1539868124,2,1
1539870033,1,3
1539871962,1,2
1539873882,1,0
1539875797,0,2
1539877713,0,5
1539879651,1,3
1539881562,0,2
1539883482,0,1
1539885386,0,4
1539887567,0,3
1539889511,1,1
1539891386,0,1
1539893315,5,1
1539895221,2,2
1539897171,2,0
1539899069,0,4
1539901003,2,2
1539902930,4,1
1539904853,2,3
1539906782,0,3
1539908693,2,4
1539910588,3,0
1539912532,0,1
1539914539,1,1
1539916375,1,0
1539918274,2,0
1539920181,1,1
1539922118,0,2
1539924046,0,1
1539925975,0,2
1539927871,1,3
1539929821,2,2
1539931730,2,3
1539935577,1,0
1539937482,1,1
1539939425,2,6
1539941324,1,1
1539943288,2,1
1539945156,1,1
1539947134,0,1
1539949219,2,4
1539951402,0,1
1539953316,1,4
1539955224,1,1
1539957179,1,1
1539959069,0,1
1539961004,2,1
1539962904,3,0
1539965141,0,1
1539966997,3,0
1539968899,2,0
1539972992,2,0
1539974920,1,0
1539976833,1,1
1539978745,2,3
1539980692,0,3
1539982591,3,1
1539984515,0,2
1539986544,3,0
1539988354,2,4
1539990301,2,4
1539992203,2,0
1539994116,1,0
1539996030,0,3
1539997957,7,2
1539999899,1,1
1540003712,3,3
1540005638,1,0
1540007545,3,1
1540009485,1,0
1540011391,4,0
1540013302,1,0
1540015296,2,1
1540017197,2,3
1540019096,2,1
1540020991,1,0
1540022922,1,2
1540024854,3,2
1540026778,1,0
1540028676,1,1
1540030616,1,3
1540032511,5,0
1540036357,0,2
1540038282,4,0
1540040203,0,1
1540042121,0,1
1540044095,0,1
1540045963,1,0
1540047888,0,2
1540049809,3,3
1540051772,1,0
1540053640,4,4
1540055577,1,1
1540057484,1,0
1540059401,2,2
1540061318,1,1
1540063233,2,1
1540065181,0,2
1540067168,1,0
1540068998,4,3
1540070916,1,0
1540072929,1,3
1540074768,1,2
1540076728,2,2
1540078602,1,2
1540080533,0,1
1540082457,2,0
1540084360,0,7
1540086276,3,1
1540088209,1,0
1540090113,1,3
1540092054,3,1
1540093959,6,3
1540095879,1,1
1540097816,1,4
1540099722,3,1
1540101721,2,2
1540103583,0,2
1540105755,1,2
1540107875,1,1
1540109809,0,2
1540111714,2,2
1540113875,3,1
1540115810,2,1
1540117709,0,4
1540119696,3,2
1540121562,2,0
1540123505,2,1
1540125391,3,3
1540127388,3,0
1540129245,1,0
1540131174,2,1
1540133069,3,0
1540137147,0,3
1540139343,1,4
1540141291,1,2
1540143160,2,1
1540145113,1,2
1540147023,1,1
1540148939,0,1
1540150846,2,1
1540152776,1,1
1540154670,3,3
1540156615,0,2
1540158500,1,0
