DateTime,AddedIPs,RemovedIPs
1538785244,0,2
1538787177,0,1
1538789142,0,1
1538791032,0,1
1538794908,1,1
1538798680,0,1
1538808774,1,3
1538810676,1,1
1538812613,0,1
1538814512,1,0
1538816506,0,1
1538820313,0,1
1538829886,0,1
1538831793,0,1
1538833970,1,1
1538835884,0,1
1538837801,1,0
1538841691,2,0
1538847385,1,0
1538849361,3,0
1538851236,0,2
1538853162,0,1
1538858905,1,1
1538860844,0,1
1538862751,0,1
1538866595,1,0
1538868511,1,0
1538872365,1,0
1538878608,1,0
1538880521,1,1
1538890112,1,0
1538892185,1,0
1538894442,0,1
1538896379,0,1
1538902138,1,1
1538909786,1,0
1538921308,0,1
1538923226,0,1
1538925140,1,1
1538927064,0,2
1538932832,1,0
1538935504,0,2
1538937397,1,2
1538939321,1,0
1538945080,2,0
1538954663,0,1
1538966180,0,2
1538968129,1,0
1538975814,0,1
1538977730,0,1
1538983720,1,0
1538987543,1,0
1538989463,1,0
1538993553,2,0
1538995486,0,1
1539001245,1,0
1539012989,0,1
1539014966,1,0
1539018746,2,0
1539024529,0,1
1539032894,1,7
1539038684,1,0
1539044454,3,0
1539054128,0,1
1539055974,1,0
1539059816,0,1
1539069637,0,1
1539073773,0,1
1539075887,2,1
1539078043,1,0
1539079962,0,2
1539087638,0,1
1539089562,1,0
1539101558,0,1
1539105396,1,1
1539109258,1,1
1539111153,1,0
1539118895,0,1
1539122686,1,0
1539124597,0,1
1539130371,0,1
1539132274,1,2
1539134191,1,0
1539141873,0,1
1539145725,2,0
1539151494,1,0
1539157264,3,0
1539161073,1,1
1539163022,0,2
1539166855,1,0
1539174535,1,0
1539178378,1,0
1539190587,1,1
1539196383,0,1
1539198273,1,1
1539202130,1,0
1539204031,1,0
1539205979,3,0
1539207871,1,0
1539209792,1,1
1539217484,1,0
1539219686,0,1
1539221593,1,1
1539231153,0,2
1539237041,0,1
1539238842,3,0
1539242694,0,2
1539244588,2,0
1539246525,1,1
1539252275,0,1
1539262111,0,1
1539264049,0,1
1539266167,2,1
1539268100,2,0
1539270106,2,0
1539273927,1,0
1539277722,0,1
1539279630,1,0
1539281576,1,0
1539285395,0,1
1539287326,0,1
1539289227,1,0
1539291162,1,2
1539293084,0,2
1539294979,1,1
1539296923,1,1
1539300769,1,0
1539304594,0,1
1539306533,0,1
1539312288,1,0
1539318049,1,0
1539325721,0,2
1539327695,2,1
1539329568,2,1
1539331739,1,2
1539335567,1,0
1539345396,1,0
1539351416,1,1
1539353440,0,1
1539355498,3,2
1539357403,1,2
1539359312,0,1
1539361249,1,0
1539363167,1,0
1539365080,0,1
1539368915,1,1
1539374719,2,0
1539376595,0,2
1539382370,0,1
1539384805,1,1
1539386943,1,1
1539390789,1,0
1539394609,4,0
1539398454,0,1
1539400355,1,0
1539404197,1,1
1539413815,0,2
1539415699,0,1
1539419577,0,1
1539421476,1,1
1539423380,2,0
1539425334,1,0
1539431088,0,1
1539434912,1,0
1539438769,0,1
1539440786,0,1
1539442589,0,2
1539444772,0,1
1539446692,1,0
1539448613,1,2
1539454367,1,1
1539460135,0,1
1539471712,0,1
1539473594,0,1
1539477426,0,1
1539479348,0,1
1539481251,2,2
1539487048,0,1
1539488903,0,1
1539492755,2,0
1539500510,4,0
1539502370,0,1
1539508348,0,1
1539510290,0,3
1539512222,1,0
1539519903,1,0
1539521804,0,1
1539531410,2,0
1539533356,1,1
1539535252,1,1
1539539096,1,0
1539541022,1,1
1539542927,1,1
1539544850,1,0
1539550603,1,0
1539560717,1,0
1539566446,0,1
1539568398,0,1
1539570406,1,0
1539579900,0,2
1539583735,4,0
1539587556,0,4
1539591561,3,0
1539597394,0,1
1539599316,1,0
1539601306,1,0
1539605138,1,1
1539618762,0,3
1539622624,0,1
1539624526,0,1
1539626489,2,1
1539630533,2,2
1539636307,0,1
1539638188,1,0
1539640118,1,0
1539642271,1,0
1539648036,0,1
1539661481,1,0
1539669150,0,4
1539676901,0,1
1539681160,1,0
1539684989,0,1
1539686920,0,2
1539688830,1,0
1539698486,0,1
1539704426,1,0
1539712885,0,2
1539716727,1,2
1539724610,3,0
1539726499,0,1
1539728418,1,0
1539730600,0,1
1539732499,1,0
1539757497,1,0
1539766348,1,0
1539768266,0,1
1539772102,1,0
1539777889,1,1
1539779796,2,0
1539781727,3,0
1539783620,1,0
1539789514,0,1
1539802102,0,1
1539804022,1,0
1539805949,2,0
1539807861,1,3
1539810095,1,3
1539817734,1,0
1539819637,0,2
1539821570,1,0
1539823467,1,0
1539825560,1,0
1539833300,2,0
1539839072,1,0
1539845094,1,1
1539852771,0,1
1539858514,1,1
1539864308,0,1
1539866202,2,1
1539868126,0,2
1539870034,0,1
1539871963,2,0
1539877714,0,1
1539885387,1,0
1539889512,1,0
1539891388,0,2
1539893316,1,0
1539895222,0,1
1539897172,1,2
1539901004,3,0
1539904854,0,1
1539908694,0,1
1539910589,0,2
1539916376,0,1
1539920182,0,2
1539925976,0,1
1539931732,1,1
1539943290,0,1
1539945157,1,0
1539951403,2,1
1539953318,1,1
1539957180,0,1
1539959079,1,1
1539965142,1,0
1539968900,1,0
1539971066,0,1
1539974921,2,0
1539978746,1,1
1539982593,0,1
1539984516,1,0
1539986545,0,2
1539988363,1,0
1539990304,1,0
1539992204,1,1
1539997958,1,0
1539999900,2,0
1540001799,1,0
1540009486,1,0
1540017198,2,1
1540024855,1,0
1540032512,0,1
1540038283,0,2
1540042122,1,0
1540044096,0,1
1540045964,1,1
1540047889,1,0
1540049810,0,1
1540053641,1,1
1540055578,0,1
1540059412,1,0
1540061319,0,2
1540065183,0,1
1540067169,1,0
1540072930,2,1
1540074769,0,1
1540076729,0,1
1540078604,0,1
1540084361,1,1
1540086278,0,2
1540088210,1,1
1540093961,1,0
1540095880,0,1
1540103584,1,2
1540107876,1,0
1540109810,2,1
1540129247,0,1
1540133070,0,1
1540135223,0,1
1540139344,1,1
1540145115,0,1
1540147024,1,0
1540152777,0,1
1540158502,0,2
1540160446,1,0
1540170105,0,1
1540171967,1,0
1540176053,0,1
1540179870,0,1
1540187794,2,0
1540189710,0,1
1540195498,0,3
1540207225,2,0
1540215408,2,0
1540226957,1,1
1540234619,1,0
1540242297,0,1
1540246133,0,1
1540252109,1,0
1540257869,0,1
1540263693,1,0
1540273251,0,2
1540275182,1,0
1540279481,1,0
1540283587,1,0
1540287395,2,0
1540289336,1,0
1540293160,1,2
1540297018,1,0
1540300828,2,1
1540302755,0,1
1540304691,1,0
1540314534,2,1
1540316453,3,0
1540320274,1,1
1540326027,1,0
1540331793,1,0
1540333708,1,0
1540335724,1,0
1540339496,0,1
1540349314,0,1
1540353144,2,0
1540357017,1,0
1540363022,0,1
1540365159,1,1
1540369255,1,0
1540371156,0,1
1540373074,2,2
1540377061,0,2
1540379100,1,1
1540381234,1,0
1540383240,0,1
1540385085,2,0
1540387031,0,2
1540389164,2,0
1540391066,0,1
1540396918,2,0
1540400749,1,2
1540402603,0,3
1540406436,0,1
1540408353,1,0
1540412206,0,2
1540414111,3,0
1540416041,1,0
1540417969,1,0
1540420017,1,2
1540422125,3,1
1540428034,2,0
1540429948,1,0
1540435972,1,0
1540437890,0,1
1540439810,0,1
1540441960,1,0
1540443901,0,1
1540446058,1,0
1540451819,2,1
1540453725,1,0
1540455667,0,1
1540457571,2,0
1540459493,0,2
1540465320,0,1
1540469346,0,1
1540471248,1,1
1540475091,0,1
1540477010,0,1
1540483305,0,2
1540487140,0,1
1540489255,1,0
1540491182,1,0
1540493068,1,0
1540495239,0,1
1540497153,1,0
1540499081,1,0
1540501005,1,3
1540506756,0,1
1540508947,0,4
1540512992,1,0
1540514909,0,3
1540516834,0,1
1540520682,0,1
1540534374,0,1
1540536286,2,0
1540538214,0,1
1540540131,0,1
1540543949,0,2
1540549956,1,0
1540556460,1,0
1540558365,0,1
1540560275,2,1
1540574222,0,1
1540578059,0,1
1540579972,0,1
1540583811,0,1
1540585958,1,1
1540587882,0,1
1540600123,0,1
1540603969,1,0
1540609740,2,0
1540617409,1,0
1540621251,2,0
1540623178,0,2
1540625078,1,0
1540629157,1,0
1540633240,1,0
1540644993,1,0
1540646942,0,2
1540648912,1,0
1540650763,1,0
1540652695,1,0
1540654605,1,0
1540668507,1,0
1540670519,0,1
1540674542,1,0
1540686306,1,0
1540690609,0,1
1540696369,1,2
1540698289,1,0
1540702125,0,1
1540704035,0,1
1540705952,1,0
1540707884,0,1
1540710089,0,1
1540713880,0,2
1540717960,0,1
1540719891,1,0
1540721796,1,1
1540727563,1,0
1540731390,0,1
1540737156,0,1
1540739116,2,0
1540741018,0,1
1540744856,0,1
1540748932,2,0
1540754707,0,1
1540758521,1,0
1540760507,1,1
1540762372,1,0
1540768605,2,0
1540772435,1,1
1540776306,2,0
1540780136,1,0
1540782114,1,0
1540783980,0,1
1540785942,0,1
1540788057,2,0
1540789962,1,0
1540791889,0,1
1540803703,2,0
1540807494,2,2
1540809405,1,0
1540811354,1,0
