DateTime,AddedIPs,RemovedIPs
1539837157,5,16
1539839072,10,13
1539841258,12,19
1539843168,5,25
1539845094,12,20
1539847008,10,16
1539848920,9,13
1539850840,25,9
1539852771,30,13
1539854676,16,9
1539856608,8,13
1539858514,14,13
1539860488,11,16
1539862364,13,14
1539864309,10,9
1539866203,9,7
1539868126,4,16
1539870034,18,7
1539871964,16,13
1539873883,9,10
1539875799,8,5
1539877714,12,14
1539879652,15,16
1539881563,7,13
1539883483,10,8
1539885387,13,14
1539887569,6,16
1539889513,9,7
1539891388,8,9
1539893316,10,25
1539895222,12,13
1539897172,11,14
1539899070,8,8
1539901004,9,7
1539902941,9,14
1539904855,10,5
1539906783,15,6
1539908694,18,7
1539910590,10,8
1539912534,11,9
1539914540,9,7
1539916376,9,5
1539918276,7,9
1539920182,12,16
1539922119,9,16
1539924047,10,10
1539925976,11,10
1539927873,10,12
1539929823,11,5
1539931732,12,8
1539933643,17,11
1539935578,10,12
1539937483,16,27
1539939426,14,28
1539941325,7,14
1539943290,8,9
1539945157,20,15
1539947136,12,8
1539949221,13,13
1539951404,10,10
1539953318,14,8
1539955226,19,9
1539957181,12,19
1539959079,11,9
1539961015,16,8
1539962905,15,6
1539965142,19,15
1539966998,10,12
1539968901,15,9
1539971067,12,12
1539972993,10,12
1539974921,11,7
1539976835,14,9
1539978746,13,15
1539980693,13,8
1539982594,10,15
1539984517,9,2
1539986545,9,15
1539988363,18,8
1539990304,11,9
1539992204,20,12
1539994118,12,13
1539996032,16,15
1539997958,12,9
1539999900,11,13
1540001799,11,10
1540003714,13,6
1540005639,14,9
1540007546,12,10
1540009486,8,9
1540011392,10,9
1540013303,24,13
1540015298,14,10
1540017198,10,7
1540019098,15,16
1540020993,14,14
1540022923,6,11
1540024855,9,14
1540026780,9,12
1540028677,16,11
1540030617,12,16
1540032512,12,13
1540034434,15,13
1540036358,13,10
1540038283,10,11
1540040204,14,10
1540042122,7,22
1540044097,12,12
1540045965,11,10
1540047890,9,17
1540049810,11,16
1540051773,8,11
1540053641,13,12
1540055578,10,9
1540057486,15,16
1540059413,15,11
1540061319,14,15
1540063234,12,18
1540065183,12,16
1540067169,13,13
1540069000,3,10
1540070917,7,9
1540072930,5,10
1540074769,11,18
1540076730,13,11
1540078604,12,19
1540080534,7,11
1540082458,16,15
1540084361,6,12
1540086278,11,14
1540088210,10,10
1540090114,17,15
1540092056,10,12
1540093961,11,9
1540095880,15,8
1540097818,9,10
1540099723,9,21
1540101722,8,15
1540103585,14,11
1540105758,10,16
1540107877,10,13
1540109811,12,7
1540111715,10,12
1540113876,14,12
1540115811,9,16
1540117710,11,11
1540119698,11,13
1540121563,15,16
1540123506,16,11
1540125392,11,12
1540127390,7,12
1540129247,15,5
1540131176,13,10
1540133071,8,13
1540135223,13,8
1540137148,14,9
1540139344,17,10
1540141293,17,13
1540143161,15,13
1540145117,10,12
1540147025,5,16
1540148941,8,7
1540150847,12,13
1540152778,14,16
1540154681,8,8
1540156617,10,8
1540158502,11,4
1540160447,11,10
1540162378,13,11
1540164281,13,12
1540166187,11,10
1540168126,16,12
1540170105,9,11
1540171967,5,9
1540174071,15,12
1540176053,11,13
1540177950,8,10
1540179871,6,11
1540181780,13,16
1540183700,8,12
1540185885,11,12
1540187795,8,9
1540189711,16,15
1540191698,13,7
1540193557,16,7
1540195499,15,10
1540197389,11,12
1540199397,7,7
1540201260,9,9
1540203169,11,12
1540205064,11,12
1540207226,19,15
1540209166,10,18
1540211091,10,9
1540213283,8,13
1540215408,14,12
1540217318,16,15
1540219234,16,8
1540221168,13,11
1540223080,11,10
1540225003,13,16
1540226957,5,19
1540228842,9,12
1540230756,16,14
1540232683,12,9
1540234619,10,7
1540236510,12,12
1540238487,19,16
1540240362,15,5
1540242298,19,13
1540244222,15,8
1540246133,13,12
1540248034,5,13
1540250193,20,13
1540252110,14,15
1540254033,14,14
1540255970,6,11
1540257869,15,4
1540259814,18,11
1540261711,14,11
1540263694,13,10
1540265567,15,8
1540267494,12,10
1540269433,6,11
1540271327,17,6
1540273252,16,12
1540275183,12,15
1540277665,21,12
1540279481,23,19
1540281528,14,21
1540283587,23,10
1540285481,18,9
1540287396,17,9
1540289337,15,13
1540291228,6,10
1540293160,19,17
1540295080,14,11
1540297018,19,9
1540298924,11,9
1540300829,12,12
1540302755,10,16
1540304691,21,16
1540306611,14,13
1540308542,14,14
1540310502,12,13
1540312363,10,6
1540314534,17,5
1540316454,14,12
1540318376,16,16
1540320275,15,6
1540322214,16,13
1540324130,16,17
1540326027,18,16
1540327975,21,13
1540329875,9,15
1540331793,12,10
1540333708,23,7
1540335725,16,15
1540337578,10,20
1540339497,10,13
1540341414,9,13
1540343334,15,14
1540345529,8,17
1540347422,13,14
1540349314,15,11
1540351227,11,21
1540353144,10,12
1540355080,9,11
1540357018,7,9
1540358955,11,12
1540361097,16,17
1540363022,12,16
1540365159,21,28
1540367101,21,15
1540369255,18,19
1540371157,17,14
1540373074,14,16
1540375022,18,17
1540377061,12,8
1540379101,12,17
1540381234,20,16
1540383240,18,23
1540385086,24,11
1540387031,13,12
1540389164,16,12
1540391066,27,22
1540393024,22,14
1540394912,22,14
1540396918,19,12
1540398760,15,11
1540400749,16,16
1540402604,16,15
1540404525,21,15
1540406437,22,13
1540408354,12,14
1540410294,14,17
1540412206,12,17
1540414112,12,23
1540416041,12,14
1540417970,10,11
1540420017,13,20
1540422125,17,19
1540423949,15,8
1540426054,23,11
1540428035,11,14
1540429948,12,12
1540431898,12,7
1540433809,20,15
1540435972,13,17
1540437891,13,13
1540439811,9,12
1540441960,15,9
1540443901,17,9
1540446058,14,13
1540447981,11,14
1540449902,9,9
1540451819,13,19
1540453726,15,23
1540455668,10,16
1540457572,18,17
1540459494,7,14
1540461419,14,17
1540463339,6,13
1540465320,14,11
1540467419,5,17
1540469347,7,17
1540471249,5,20
1540473164,7,12
1540475091,8,17
1540477010,12,25
1540478931,17,15
1540481005,8,21
1540483305,13,24
1540485152,9,17
1540487141,8,14
1540489255,9,18
1540491182,3,19
1540493069,14,23
1540495240,8,14
1540497153,5,14
1540499081,11,14
1540501005,8,17
1540502907,4,8
1540504933,10,10
1540506757,8,15
1540508948,11,18
1540511089,18,21
1540512992,10,14
1540514910,10,14
1540516834,14,8
1540518768,11,13
1540520683,16,20
1540522602,11,10
1540524507,18,12
1540526505,16,10
1540528365,18,12
1540530278,15,18
1540532454,19,13
1540534374,7,13
1540536287,15,6
1540538214,14,13
1540540132,18,15
1540542030,10,13
1540543950,10,17
1540545884,6,8
1540547786,18,17
1540549956,5,13
1540552146,14,12
1540554054,13,4
1540556461,16,8
1540558365,16,8
1540560275,31,8
1540562211,16,9
1540564354,12,12
1540566329,34,14
1540568472,50,4
1540570410,17,12
1540572302,22,12
1540574222,24,7
1540576131,30,4
1540578059,15,8
1540579972,11,15
1540581884,40,7
1540583811,13,5
1540585958,12,10
1540587883,7,9
1540590050,7,5
1540591954,9,14
1540593869,11,10
1540596027,7,15
1540598204,7,13
1540600123,4,12
1540602107,5,14
1540603969,6,10
1540605960,10,10
1540607833,8,16
1540609740,10,14
1540611654,9,14
1540613589,7,16
1540615490,3,16
1540617409,4,13
1540619315,7,16
1540621251,3,14
1540623179,9,12
1540625078,11,16
1540627039,10,14
1540629157,3,16
1540631064,6,8
1540633240,2,12
1540635163,3,12
1540637101,8,11
1540639134,13,8
1540641154,11,14
1540643151,9,15
1540644993,10,13
1540646943,14,37
1540648912,18,15
1540650763,9,12
1540652696,16,32
1540654605,23,37
1540656580,7,29
1540658681,15,23
1540660608,20,24
1540662642,6,29
1540664678,10,16
1540666598,8,16
1540668507,17,41
1540670519,12,15
1540672354,17,9
1540674542,12,7
1540676686,10,8
1540678610,19,12
1540680519,8,7
1540682462,9,7
1540684356,6,6
1540686306,11,3
1540688516,13,4
1540690609,12,6
1540692556,6,11
1540694434,8,10
1540696369,5,10
1540698290,9,8
1540700198,12,7
1540702125,12,2
1540704035,12,3
1540705953,9,4
1540707885,13,7
1540710090,19,12
1540711973,15,8
1540713880,5,6
1540715815,10,6
1540717960,7,5
1540719891,8,4
1540721796,16,4
1540723713,11,14
1540725626,10,7
1540727563,18,9
1540729485,13,8
1540731390,11,11
1540733328,14,15
1540735300,16,18
1540737156,14,8
1540739117,12,15
1540741018,12,21
1540742956,22,7
1540744857,6,11
1540746781,5,21
1540748932,19,7
1540750850,9,9
1540752772,13,11
1540754708,21,16
1540756588,15,12
1540758521,12,14
1540760508,16,14
1540762373,14,9
1540764347,13,17
1540766440,14,12
1540768605,18,13
1540770536,15,6
1540772435,14,11
1540774357,5,8
1540776306,19,12
1540778228,12,10
1540780137,17,4
1540782114,14,11
1540783981,8,6
1540785943,6,4
1540788057,8,15
1540789962,8,13
1540791889,10,8
1540793821,18,15
1540795753,16,10
1540797647,15,13
1540799572,19,15
1540801497,18,10
1540803703,15,9
1540805575,18,8
1540807495,14,10
1540809405,9,11
1540811354,11,11
