DateTime,AddedIPs,RemovedIPs
1539521806,0,1
1539523721,0,1
1539525705,0,1
1539527578,1,1
1539529532,0,1
1539531412,1,0
1539533358,3,0
1539535254,0,1
1539537156,1,1
1539539098,2,0
1539541024,1,0
1539542928,0,2
1539544852,1,0
1539546769,1,1
1539548687,2,0
1539550605,0,1
1539552523,1,0
1539554536,1,1
1539556431,0,1
1539560721,1,0
1539562619,2,0
1539566448,2,2
1539568400,1,1
1539570408,4,0
1539572242,1,1
1539574123,1,1
1539576115,0,1
1539579902,1,1
1539581791,0,1
1539585652,1,1
1539587558,2,0
1539589489,0,1
1539593575,1,0
1539595480,2,2
1539601319,0,2
1539603164,1,0
1539605140,0,1
1539608939,1,0
1539612774,0,1
1539614673,0,1
1539616849,1,0
1539618765,2,2
1539620680,0,2
1539622626,0,1
1539624527,1,2
1539626491,1,0
1539628608,0,1
1539632446,0,2
1539634366,2,1
1539636309,2,1
1539638190,1,0
1539640124,0,1
1539642274,0,1
1539646111,1,1
1539648039,0,1
1539649970,0,1
1539653803,2,2
1539655720,1,2
1539657630,1,2
1539659577,1,2
1539663419,1,1
1539665311,1,2
1539667233,1,0
1539669152,2,0
1539671098,0,1
1539673003,1,2
1539674913,2,1
1539678888,1,1
1539681162,0,2
1539683091,3,0
1539686922,2,0
1539688832,2,0
1539690744,1,1
1539694597,1,0
1539696509,2,1
1539698489,1,0
1539700350,1,0
1539702394,0,1
1539704427,0,1
1539706641,0,1
1539712888,1,1
1539718593,1,0
1539720523,1,1
1539722434,1,3
1539724612,0,1
1539732501,0,1
1539734453,1,1
1539744023,0,1
1539745952,0,1
1539747873,2,0
1539749810,1,0
1539751718,0,1
1539753620,1,1
1539755562,1,2
1539757499,2,0
1539759381,2,1
1539761320,1,2
1539765162,1,1
1539768972,0,2
1539770913,0,1
1539773067,0,1
1539774992,0,2
1539776902,0,1
1539780764,1,1
1539782681,0,5
1539784586,0,1
1539786500,1,0
1539792546,3,0
1539800202,1,0
1539802103,1,0
1539805951,0,2
1539807863,0,1
1539810098,3,1
1539813894,2,0
1539815814,0,1
1539817736,1,0
1539819639,2,2
1539821572,2,0
1539823468,1,0
1539829498,1,0
1539831386,1,0
1539833301,0,1
1539835326,1,2
1539837158,0,1
1539839074,1,0
1539841260,1,2
1539845095,0,1
1539847010,1,3
1539850841,1,1
1539852773,3,0
1539854678,1,0
1539864310,1,0
1539868128,1,1
1539871965,1,0
1539873885,4,0
1539875802,2,0
1539877715,1,1
1539879653,2,2
1539885388,0,1
1539887570,2,0
1539889515,2,1
1539891399,2,0
1539893317,2,0
1539895224,0,2
1539897174,1,1
1539899072,0,1
1539901006,0,1
1539902943,0,1
1539904856,0,1
1539906785,0,1
1539908696,0,1
1539910591,1,1
1539914543,0,1
1539916378,0,1
1539918278,1,0
1539924049,0,2
1539925978,3,1
1539927874,1,1
1539933644,1,1
1539937485,0,1
1539939428,0,3
1539943292,2,1
1539945159,1,0
1539949222,2,0
1539951405,0,1
1539955227,0,1
1539957182,0,1
1539959080,0,1
1539961017,1,5
1539962906,2,1
1539965143,1,0
1539967000,2,0
1539968902,1,1
1539971068,1,0
1539972995,0,1
1539974923,0,1
1539976836,3,1
1539978748,1,3
1539980695,2,1
1539982595,2,1
1539984518,1,1
1539986547,2,0
1539990332,1,0
1539996034,1,0
1539997960,2,1
1540005641,1,1
1540007548,1,0
1540011393,2,2
1540013305,2,2
1540015300,1,0
1540017210,1,0
1540019100,2,1
1540022925,1,0
