DateTime,AddedIPs,RemovedIPs
1539837158,39,52
1539839073,43,45
1539841259,43,69
1539843168,40,37
1539845095,22,26
1539847009,30,80
1539848921,21,43
1539850841,26,58
1539852772,30,42
1539854677,38,42
1539856609,39,62
1539858515,93,65
1539860489,121,66
1539862365,87,39
1539864309,68,81
1539866203,72,65
1539868127,47,53
1539870035,56,45
1539871965,85,56
1539873884,81,51
1539875801,96,66
1539877715,66,54
1539879653,60,57
1539881564,44,84
1539883484,55,28
1539885388,42,45
1539887570,46,47
1539889514,67,41
1539891398,53,36
1539893317,102,66
1539895223,63,27
1539897173,59,47
1539899071,61,27
1539901005,36,38
1539902941,37,45
1539904855,48,42
1539906784,44,41
1539908695,40,38
1539910590,29,41
1539912534,35,39
1539914542,40,49
1539916377,22,35
1539918277,27,61
1539920183,25,40
1539922120,43,49
1539924048,19,49
1539925978,23,47
1539927874,35,60
1539929824,31,34
1539931733,28,29
1539933643,39,32
1539935579,25,29
1539937484,83,40
1539939427,84,37
1539941326,74,39
1539943291,133,37
1539945158,92,49
1539947137,76,49
1539949222,83,54
1539951405,68,58
1539953319,56,50
1539955227,58,49
1539957181,56,46
1539959080,57,80
1539961016,48,86
1539962906,53,67
1539965143,45,80
1539966999,65,33
1539968902,49,47
1539971067,41,40
1539972994,82,49
1539974922,61,47
1539976836,80,51
1539978747,115,42
1539980694,84,69
1539982595,1042,54
1539984518,60,62
1539986546,60,51
1539988364,53,48
1539990321,63,58
1539992206,52,47
1539994119,34,37
1539996033,45,32
1539997959,34,37
1539999902,126,28
1540001800,176,47
1540003715,145,39
1540005640,1101,28
1540007547,71,46
1540009487,75,42
1540011393,67,19
1540013304,64,24
1540015299,267,27
1540017209,27,26
1540019099,34,26
1540020994,29,34
1540022924,28,56
1540024856,25,48
1540026781,33,53
1540028678,27,49
1540030618,41,50
1540032513,33,33
1540034435,30,51
1540036359,32,47
1540038284,47,47
1540040205,44,34
1540042123,32,55
1540044098,49,41
1540045965,36,42
1540047891,28,37
1540049811,31,43
1540051774,47,44
1540053642,30,62
1540055579,54,43
1540057487,39,26
1540059414,25,74
1540061320,24,56
1540063235,39,79
1540065184,38,68
1540067170,31,420
1540069001,22,637
1540070918,42,44
1540072931,47,46
1540074770,24,43
1540076731,26,54
1540078605,44,40
1540080535,24,36
1540082459,43,40
1540084362,63,36
1540086279,41,115
1540088211,40,188
1540090115,39,135
1540092056,33,1135
1540093962,28,80
1540095881,27,77
1540097819,31,85
1540099724,32,63
1540101723,58,437
1540103586,30,34
1540105759,39,57
1540107877,56,44
1540109811,35,40
1540111716,31,37
1540113877,36,42
1540115812,1114,33
1540117711,46,36
1540119699,30,44
1540121564,28,31
1540123508,32,52
1540125393,81,36
1540127391,32,46
1540129248,21,43
1540131177,43,37
1540133072,37,38
1540135224,57,39
1540137149,50,51
1540139345,42,53
1540141294,38,33
1540143162,32,39
1540145118,32,31
1540147025,32,29
1540148941,48,33
1540150848,43,48
1540152779,56,38
1540154682,43,33
1540156618,45,34
1540158503,28,32
1540160448,43,47
1540162379,36,21
1540164282,33,43
1540166188,75,37
1540168127,1862,31
1540170106,1968,80
1540171968,1826,33
1540174072,854,47
1540176054,30,57
1540177951,35,34
1540179872,39,29
1540181781,21,25
1540183701,66,26
1540185886,44,32
1540187796,30,47
1540189712,35,39
1540191699,159,31
1540193558,23,44
1540195503,20,41
1540197390,34,34
1540199399,45,34
1540201261,43,443
1540203170,36,324
1540205066,33,37
1540207227,29,39
1540209167,31,97
1540211100,36,495
1540213284,70,31
1540215410,33,28
1540217320,62,34
1540219236,42,39
1540221169,29,48
1540223081,23,61
1540225004,26,39
1540226958,25,40
1540228843,42,35
1540230758,37,34
1540232684,48,44
1540234620,29,43
1540236511,45,30
1540238501,36,40
1540240363,46,61
1540242299,183,41
1540244231,790,29
1540246134,40,46
1540248035,30,39
1540250194,51,36
1540252111,40,31
1540254034,34,1372
1540255971,39,1973
1540257870,30,1739
1540259814,26,1297
1540261712,27,23
1540263695,27,55
1540265568,29,44
1540267496,42,32
1540269434,28,56
1540271328,24,53
1540273253,36,41
1540275184,32,45
1540277666,36,154
1540279482,21,117
1540281529,28,36
1540283588,44,40
1540285482,30,44
1540287397,36,54
1540289337,34,35
1540291229,21,44
1540293161,28,36
1540295081,38,35
1540297019,27,52
1540298925,45,72
1540300830,63,44
1540302756,37,35
1540304693,46,71
1540306612,35,42
1540308543,1361,33
1540310503,596,29
1540312364,29,29
1540314534,31,49
1540316455,49,53
1540318377,34,55
1540320276,37,39
1540322215,41,49
1540324131,50,38
1540326028,48,38
1540327976,61,189
1540329876,37,1022
1540331794,54,35
1540333709,45,45
1540335726,35,42
1540337579,27,44
1540339497,44,43
1540341415,33,40
1540343335,34,42
1540345530,59,31
1540347432,49,35
1540349315,34,33
1540351228,44,25
1540353145,52,34
1540355090,34,38
1540357019,38,24
1540358956,32,34
1540361098,37,38
1540363023,51,37
1540365160,33,36
1540367102,31,31
1540369256,35,37
1540371158,24,45
1540373075,35,37
1540375023,37,33
1540377062,32,38
1540379114,34,26
1540381235,40,52
1540383241,40,35
1540385087,34,46
1540387032,22,36
1540389165,48,69
1540391067,44,47
1540393025,45,36
1540394913,33,202
1540396919,216,24
1540398761,48,32
1540400750,61,26
1540402605,111,46
1540404526,98,35
1540406438,75,23
1540408354,88,51
1540410295,51,31
1540412207,77,33
1540414113,88,54
1540416042,804,29
1540417971,51,42
1540420018,33,39
1540422127,38,32
1540423950,38,20
1540426055,42,41
1540428036,37,30
1540429949,36,38
1540431899,29,42
1540433819,28,50
1540435973,32,35
1540437892,36,37
1540439812,38,44
1540441961,36,47
1540443902,47,28
1540446059,36,37
1540447982,38,22
1540449903,38,48
1540451820,26,29
1540453727,23,29
1540455669,32,25
1540457573,28,19
1540459495,26,32
1540461420,63,35
1540463340,94,34
1540465321,37,46
1540467420,26,33
1540469348,33,30
1540471250,33,35
1540473174,31,26
1540475092,22,34
1540477011,28,40
1540478932,34,40
1540481006,33,950
1540483306,33,1060
1540485153,35,43
1540487149,45,48
1540489256,36,72
1540491183,34,72
1540493070,40,59
1540495248,83,84
1540497154,44,43
1540499082,37,53
1540501006,34,39
1540502909,41,865
1540504934,30,42
1540506758,24,29
1540508948,27,36
1540511090,35,47
1540512993,32,37
1540514911,49,39
1540516835,29,39
1540518769,17,29
1540520684,29,43
1540522603,36,42
1540524507,26,37
1540526506,31,35
1540528366,39,32
1540530279,25,53
1540532455,40,53
1540534375,20,51
1540536288,26,41
1540538215,38,35
1540540132,25,30
1540542031,26,38
1540543950,35,31
1540545885,76,33
1540547787,53,61
1540549957,31,78
1540552147,35,42
1540554054,27,34
1540556462,67,106
1540558366,34,33
1540560276,35,36
1540562212,42,27
1540564355,38,38
1540566338,42,41
1540568473,33,28
1540570411,47,29
1540572303,29,39
1540574223,33,35
1540576132,37,43
1540578060,49,45
1540579973,42,43
1540581885,72,84
1540583812,43,35
1540585959,65,53
1540587884,42,25
1540590051,56,39
1540591955,47,20
1540593870,52,35
1540596027,36,32
1540598204,43,39
1540600124,25,39
1540602108,29,32
1540603970,43,22
1540605961,29,26
1540607834,45,31
1540609741,26,29
1540611655,32,41
1540613590,32,31
1540615491,22,36
1540617410,909,36
1540619316,26,30
1540621252,46,21
1540623180,19,26
1540625079,28,36
1540627039,32,24
1540629158,38,50
1540631065,22,21
1540633241,35,99
1540635164,25,34
1540637102,27,22
1540639134,33,39
1540641155,42,46
1540643152,51,37
1540644994,44,25
1540646944,33,36
1540648913,24,41
1540650764,23,36
1540652697,25,35
1540654606,36,25
1540656581,36,51
1540658682,33,47
1540660609,46,32
1540662643,26,43
1540664678,32,61
1540666599,29,29
1540668508,36,38
1540670521,29,38
