DateTime,Entries,UniqueIPs
1539837158,3465,3465
1539839073,3463,3463
1539841259,3437,3437
1539843168,3440,3440
1539845095,3436,3436
1539847009,3386,3386
1539848921,3364,3364
1539850841,3332,3332
1539852772,3320,3320
1539854677,3316,3316
1539856609,3293,3293
1539858515,3321,3321
1539860489,3376,3376
1539862365,3424,3424
1539864309,3411,3411
1539866203,3418,3418
1539868127,3412,3412
1539870035,3423,3423
1539871965,3452,3452
1539873884,3482,3482
1539875801,3512,3512
1539877715,3524,3524
1539879653,3527,3527
1539881564,3487,3487
1539883484,3514,3514
1539885388,3511,3511
1539887570,3510,3510
1539889514,3536,3536
1539891398,3553,3553
1539893317,3589,3589
1539895223,3625,3625
1539897173,3637,3637
1539899071,3671,3671
1539901005,3669,3669
1539902941,3661,3661
1539904855,3667,3667
1539906784,3670,3670
1539908695,3672,3672
1539910590,3660,3660
1539912534,3656,3656
1539914542,3647,3647
1539916377,3634,3634
1539918277,3600,3600
1539920183,3585,3585
1539922120,3579,3579
1539924048,3549,3549
1539925978,3525,3525
1539927874,3500,3500
1539929824,3497,3497
1539931733,3496,3496
1539933643,3503,3503
1539935579,3499,3499
1539937484,3542,3542
1539939427,3589,3589
1539941326,3624,3624
1539943291,3720,3720
1539945158,3763,3763
1539947137,3790,3790
1539949222,3819,3819
1539951405,3829,3829
1539953319,3835,3835
1539955227,3844,3844
1539957181,3854,3854
1539959080,3831,3831
1539961016,3793,3793
1539962906,3779,3779
1539965143,3744,3744
1539966999,3776,3776
1539968902,3778,3778
1539971067,3779,3779
1539972994,3812,3812
1539974922,3826,3826
1539976836,3855,3855
1539978747,3928,3928
1539980694,3943,3943
1539982595,4931,4931
1539984518,4929,4929
1539986546,4938,4938
1539988364,4943,4943
1539990321,4948,4948
1539992206,4953,4953
1539994119,4950,4950
1539996033,4963,4963
1539997959,4960,4960
1539999902,5058,5058
1540001800,5187,5187
1540003715,5293,5293
1540005640,6366,6366
1540007547,6391,6391
1540009487,6424,6424
1540011393,6472,6472
1540013304,6512,6512
1540015299,6752,6752
1540017209,6753,6753
1540019099,6761,6761
1540020994,6756,6756
1540022924,6728,6728
1540024856,6705,6705
1540026781,6685,6685
1540028678,6663,6663
1540030618,6654,6654
1540032513,6654,6654
1540034435,6633,6633
1540036359,6618,6618
1540038284,6618,6618
1540040205,6628,6628
1540042123,6605,6605
1540044098,6613,6613
1540045965,6607,6607
1540047891,6598,6598
1540049811,6586,6586
1540051774,6589,6589
1540053642,6557,6557
1540055579,6568,6568
1540057487,6581,6581
1540059414,6532,6532
1540061320,6500,6500
1540063235,6460,6460
1540065184,6430,6430
1540067170,6041,6041
1540069001,5426,5426
1540070918,5424,5424
1540072931,5425,5425
1540074770,5406,5406
1540076731,5378,5378
1540078605,5382,5382
1540080535,5370,5370
1540082459,5373,5373
1540084362,5400,5400
1540086279,5326,5326
1540088211,5178,5178
1540090115,5082,5082
1540092056,3980,3980
1540093962,3928,3928
1540095881,3878,3878
1540097819,3824,3824
1540099724,3793,3793
1540101723,3414,3414
1540103586,3410,3410
