DateTime,AddedIPs,RemovedIPs
1539837158,12,23
1539839074,20,21
1539841260,18,35
1539843169,9,17
1539845096,6,13
1539847010,13,17
1539848922,11,19
1539850842,10,12
1539852783,17,17
1539854678,7,20
1539856610,7,28
1539858516,28,28
1539860490,50,21
1539862366,30,18
1539864310,19,20
1539866204,17,19
1539868128,24,19
1539870036,18,13
1539871966,28,15
1539873885,20,17
1539875802,13,19
1539877716,26,17
1539879653,11,19
1539881565,21,22
1539883485,23,6
1539885389,22,18
1539887571,18,23
1539889515,21,21
1539891399,19,14
1539893318,37,19
1539895224,38,9
1539897174,22,20
1539899072,18,27
1539901006,13,18
1539902943,16,25
1539904856,19,25
1539906786,21,26
1539908696,15,21
1539910591,15,20
1539912535,27,16
1539914544,13,13
1539916378,15,21
1539918278,13,24
1539920188,13,15
1539922128,14,19
1539924049,15,21
1539925979,4,18
1539927875,8,15
1539929825,5,10
1539931733,11,5
1539933644,11,13
1539935580,10,19
1539937485,30,21
1539939428,30,20
1539941327,30,12
1539943292,57,16
1539945159,29,19
1539947138,31,26
1539949223,35,21
1539951405,28,19
1539953320,28,14
1539955228,35,23
1539957182,29,22
1539959081,32,32
1539961017,27,12
1539962907,19,20
1539965144,26,32
1539967000,48,22
1539968902,11,19
1539971068,22,22
1539972995,19,18
1539974923,24,23
1539976836,15,22
1539978748,26,16
1539980695,39,30
1539982596,35,45
1539984519,29,20
1539986547,34,23
1539988365,26,18
1539990333,26,13
1539992207,29,19
1539994125,21,15
1539996034,24,15
1539997960,25,19
1539999903,106,20
1540001801,160,9
1540003715,129,22
1540005641,84,14
1540007548,57,22
1540009488,57,15
1540011394,44,6
1540013305,43,3
1540015300,25,8
1540017211,14,8
1540019100,26,13
1540020995,15,10
1540022925,19,16
1540024857,19,26
1540026782,13,15
1540028679,16,34
1540030619,17,30
1540032514,10,20
1540034436,20,25
1540036360,15,23
1540038285,19,28
1540040206,8,27
1540042124,18,28
1540044109,15,19
1540045966,13,23
1540047892,22,17
1540049812,20,25
1540051775,21,20
1540053643,12,49
