DateTime,AddedIPs,RemovedIPs
1539833302,9,4
1539835327,5,10
1539837159,7,8
1539839075,13,6
1539841261,10,8
1539843170,4,1
1539845096,2,7
1539847011,7,15
1539848923,6,3
1539850843,1,8
1539852784,7,7
1539854679,3,5
1539856610,4,2
1539858517,4,10
1539860491,12,4
1539862368,10,4
1539864312,7,9
1539866205,3,8
1539868129,5,8
1539870037,6,4
1539871966,4,3
1539873886,5,4
1539875803,7,5
1539877716,6,3
1539879654,5,2
1539881566,3,6
1539883485,5,4
1539885389,5,4
1539887571,4,5
1539889516,1,6
1539891400,7,1
1539893319,5,3
1539895225,2,3
1539897175,7,7
1539899073,14,9
1539901007,8,5
1539902944,3,3
1539904857,6,4
1539906787,22,14
1539908697,3,7
1539910592,4,5
1539912536,3,7
1539914544,7,6
1539916379,5,9
1539918279,3,9
1539920189,5,5
1539922129,6,3
1539924050,1,5
1539925979,4,14
1539927875,8,12
1539929826,3,1
1539931744,1,2
1539933645,2,5
1539935581,3,7
1539937486,4,2
1539939429,2,5
1539941328,5,6
1539943293,8,4
1539945160,14,2
1539947139,5,12
1539949223,12,12
1539951406,3,6
1539953320,11,5
1539955228,7,6
1539957183,8,2
1539959081,8,8
1539961018,4,2
1539962907,10,8
1539965144,14,6
1539967001,9,3
1539968903,5,3
1539971069,9,3
1539972997,6,6
1539974924,2,2
1539976837,2,5
1539978749,9,5
1539980696,8,4
1539982596,4,4
1539984519,6,18
1539986549,4,5
1539988365,10,5
1539990334,6,3
1539992207,7,3
1539994126,8,23
1539996035,7,5
1539997961,11,6
1539999904,6,4
1540001802,5,5
1540003716,8,6
1540005642,11,4
1540007549,6,6
1540009489,2,4
1540011394,5,4
1540013306,12,1
1540015301,13,10
1540017213,4,3
1540019101,1,2
1540020996,10,2
1540022926,6,5
1540024858,3,1
1540026782,7,3
1540028680,5,4
1540030620,8,17
1540032515,13,8
1540034436,4,5
1540036361,17,9
1540038285,19,5
1540040207,10,9
1540042125,4,7
1540044111,6,11
1540045967,3,6
1540047892,5,7
1540049813,14,12
1540051776,3,10
1540053644,7,9
1540055583,9,6
1540057488,7,6
1540059415,6,7
1540061323,9,2
1540063243,4,2
1540065186,4,12
1540067172,8,7
1540069012,8,4
1540070920,5,5
1540072933,7,4
1540074772,6,9
1540076733,8,5
1540078606,8,6
1540080537,5,8
1540082461,7,6
1540084364,1,12
1540086280,7,5
1540088213,5,6
1540090126,2,9
1540092058,6,10
1540093963,3,4
1540095883,3,3
1540097820,10,4
1540099726,4,12
1540101725,1,11
1540103587,8,5
1540105761,6,1
1540107879,3,11
1540109813,6,8
1540111717,4,5
1540113879,7,9
1540115814,9,8
1540117713,3,9
1540119700,3,11
1540121565,5,3
1540123510,3,34
1540125395,7,3
1540127394,6,6
1540129250,5,6
1540131179,6,7
1540133073,9,3
1540135226,1,15
1540137151,9,2
1540139347,5,6
1540141297,7,10
1540143164,1,6
1540145119,4,5
1540147027,5,8
1540148943,5,6
1540150850,4,5
1540152780,4,2
1540154684,3,10
1540156620,4,4
1540158504,5,3
1540160449,4,9
1540162381,1,5
1540164284,8,10
1540166189,29,9
1540168129,7,4
1540170108,5,5
1540171970,2,3
1540174074,3,7
1540176056,7,4
1540177952,6,5
1540179873,5,4
1540181783,3,0
1540183703,4,9
1540185888,4,3
1540187797,5,6
1540189713,6,7
1540191701,6,6
1540193561,6,4
1540195532,8,5
1540197392,5,5
1540199401,2,8
1540201263,2,4
1540203172,4,9
1540205067,4,5
1540207228,4,3
1540209169,2,3
1540211102,0,5
1540213287,3,6
1540215413,8,6
1540217321,8,4
1540219237,6,8
1540221171,4,1
1540223082,9,9
1540225006,4,5
1540226960,2,6
1540228844,3,4
1540230759,3,2
1540232686,2,5
1540234622,4,6
1540236512,1,2
1540238503,4,6
1540240365,6,1
1540242301,6,3
1540244240,3,6
1540246146,3,5
1540248039,3,4
1540250196,3,6
1540252117,4,28
1540254036,1,4
1540255972,4,7
1540257872,2,4
1540259816,4,4
1540261713,3,5
1540263699,5,7
1540265570,3,5
1540267498,9,4
1540269436,1,7
1540271330,3,5
1540273254,3,6
1540275185,3,8
1540277667,0,7
1540279484,1,5
1540281532,2,8
1540283590,3,6
1540285484,4,3
1540287398,7,2
1540289339,5,3
1540291231,0,3
1540293163,2,3
1540295083,10,3
1540297021,1,0
1540298926,2,4
1540300831,2,4
1540302757,3,7
1540304695,3,7
1540306614,1,4
1540308544,29,6
1540310505,5,9
1540312365,4,4
1540314537,6,2
1540316456,3,4
1540318379,3,2
1540320277,5,3
1540322217,7,1
1540324133,3,5
1540326030,1,4
