DateTime,Entries,UniqueIPs
1539653805,86,86
1539657642,89,89
1539659579,87,87
1539661484,85,85
1539663421,83,83
1539667235,84,84
1539671100,82,82
1539673004,81,81
1539674915,80,80
1539678890,82,82
1539683093,83,83
1539684994,83,83
1539686923,83,83
1539688834,84,84
1539690745,87,87
1539692688,86,86
1539694598,85,85
1539696511,85,85
1539698491,87,87
1539700352,90,90
1539702396,91,91
1539704432,91,91
1539706643,90,90
1539708758,89,89
1539710676,90,90
1539712890,90,90
1539714745,86,86
1539716730,75,75
1539718595,76,76
1539720525,75,75
1539722436,78,78
1539724615,77,77
1539726513,79,79
1539728423,78,78
1539730603,77,77
1539732503,77,77
1539734455,76,76
1539736350,78,78
1539738297,79,79
1539744025,79,79
1539745954,81,81
1539749812,80,80
1539753622,79,79
1539757501,80,80
1539759382,79,79
1539761321,78,78
1539763293,83,83
1539765163,82,82
1539768974,83,83
1539770914,81,81
1539773068,80,80
1539774994,79,79
1539776904,78,78
1539778840,77,77
1539780766,78,78
1539782683,77,77
1539784588,76,76
1539786502,75,75
1539788488,75,75
1539790605,74,74
1539794421,77,77
1539796370,77,77
1539798269,80,80
1539800204,83,83
1539802105,85,85
1539805953,87,87
1539807864,79,79
1539810100,78,78
1539811961,79,79
1539813896,78,78
1539815815,78,78
1539819640,76,76
1539821573,76,76
1539823470,76,76
1539825572,77,77
1539827540,80,80
1539829499,80,80
1539831388,77,77
1539833303,79,79
1539839076,80,80
1539845097,79,79
1539847011,80,80
1539850843,76,76
1539852784,75,75
1539854680,76,76
1539856611,75,75
1539860491,77,77
1539862368,76,76
1539864313,76,76
1539866206,75,75
1539868129,77,77
1539870037,76,76
1539871967,76,76
1539875804,77,77
1539877722,76,76
1539879655,75,75
1539881566,76,76
1539885390,75,75
1539887572,75,75
1539889516,75,75
1539895226,74,74
1539897175,73,73
1539899074,73,73
1539901007,73,73
1539904858,73,73
1539906788,75,75
1539910593,74,74
1539912537,76,76
1539914545,74,74
1539916380,74,74
1539918280,74,74
1539920189,74,74
1539922129,76,76
1539924051,75,75
1539927876,74,74
1539931745,74,74
1539935581,73,73
1539937486,71,71
1539943294,72,72
1539947140,70,70
1539949224,71,71
1539953321,73,73
1539955229,71,71
1539957184,70,70
1539959082,72,72
1539961018,72,72
1539965145,74,74
1539968904,74,74
1539971070,76,76
1539972997,75,75
1539974925,75,75
1539976838,76,76
1539980696,77,77
1539982597,78,78
1539984520,82,82
1539986550,81,81
1539988366,81,81
1539990335,80,80
1539992208,81,81
1539994126,82,82
1539996035,85,85
1539997961,94,94
1540001802,93,93
1540005642,94,94
1540007558,95,95
1540009489,93,93
1540011395,89,89
1540013306,90,90
1540015302,90,90
1540017213,91,91
1540019101,92,92
1540020996,94,94
1540022926,94,94
1540024858,92,92
1540026783,93,93
1540028680,94,94
1540030620,94,94
1540032516,93,93
1540034437,91,91
1540036361,91,91
1540038286,92,92
1540040208,90,90
1540044111,91,91
1540045968,87,87
1540047893,87,87
1540049829,88,88
1540051776,85,85
1540053644,84,84
1540055584,84,84
1540057489,83,83
1540059422,83,83
1540061324,82,82
1540063244,81,81
1540065187,82,82
1540069013,82,82
1540070920,82,82
1540072933,83,83
1540074773,83,83
1540076734,84,84
1540078607,85,85
1540080538,85,85
1540082461,82,82
1540084364,70,70
1540086281,74,74
1540088213,75,75
1540090136,76,76
1540092059,77,77
1540093964,80,80
1540095883,82,82
1540097821,85,85
1540101725,86,86
1540103588,86,86
1540105761,85,85
1540107880,83,83
1540109813,86,86
1540111718,86,86
1540115814,82,82
1540117713,81,81
1540119701,80,80
1540123510,81,81
1540125395,83,83
1540127395,85,85
1540129251,86,86
1540131179,86,86
1540133074,87,87
1540135226,88,88
1540137152,87,87
1540139348,86,86
1540141298,87,87
1540143164,87,87
1540145120,87,87
1540147028,88,88
1540148944,86,86
1540150851,87,87
1540152781,89,89
1540156621,92,92
1540158505,96,96
1540160450,94,94
1540164285,94,94
1540166190,93,93
1540168130,94,94
1540170109,94,94
1540171971,91,91
1540176057,91,91
1540177953,92,92
1540179874,89,89
1540181784,86,86
1540183703,87,87
1540187798,87,87
1540189714,86,86
1540193562,89,89
1540195536,90,90
1540197393,92,92
1540199401,91,91
1540201263,92,92
1540203173,91,91
1540205068,92,92
1540207229,93,93
1540209170,92,92
1540211103,91,91
1540213288,89,89
1540215413,86,86
1540217322,86,86
1540219238,85,85
1540221172,86,86
1540223083,88,88
1540225007,86,86
1540226961,87,87
1540228845,87,87
1540230760,88,88
1540232686,89,89
1540234623,90,90
1540236513,89,89
1540238504,87,87
1540240366,91,91
1540242302,89,89
1540244241,92,92
1540246147,89,89
1540250197,91,91
1540252117,90,90
1540254037,88,88
1540255973,87,87
1540257872,88,88
1540261714,88,88
1540263700,88,88
1540265570,85,85
1540269437,84,84
1540271330,84,84
1540273255,83,83
1540275186,83,83
1540279484,81,81
1540281532,82,82
1540283590,79,79
1540285485,80,80
1540287399,80,80
1540289340,80,80
1540293163,78,78
1540295083,77,77
1540297022,76,76
1540300832,74,74
1540302758,73,73
1540304695,75,75
1540306614,74,74
1540308545,71,71
1540312366,68,68
1540314537,66,66
1540316457,65,65
1540318389,64,64
1540320278,65,65
1540322218,66,66
1540324133,68,68
1540326031,68,68
1540327978,69,69
1540329878,69,69
1540331796,69,69
1540333711,69,69
1540335732,66,66
1540337581,67,67
1540339500,70,70
1540343338,71,71
1540347445,71,71
1540349317,68,68
1540351230,70,70
1540355092,69,69
1540357021,70,70
1540358958,71,71
1540361102,71,71
1540367112,72,72
1540369258,71,71
1540371160,70,70
1540373077,69,69
1540375035,69,69
1540377064,71,71
1540379151,73,73
1540381237,73,73
1540383243,75,75
1540385089,76,76
1540387035,77,77
1540389167,78,78
1540391069,81,81
1540393027,82,82
1540394916,83,83
1540396934,85,85
1540398763,86,86
1540400764,90,90
1540404529,91,91
1540406440,90,90
1540408357,87,87
1540410301,86,86
1540412215,90,90
1540414115,89,89
1540416044,88,88
1540417973,87,87
1540420020,90,90
1540422129,91,91
1540423952,90,90
1540426058,88,88
1540428038,91,91
1540429952,94,94
1540431902,94,94
1540433822,93,93
1540435977,92,92
1540437900,91,91
1540443904,92,92
1540446061,93,93
1540447984,94,94
1540449906,96,96
1540451823,99,99
1540453729,101,101
1540455673,100,100
1540459497,100,100
1540461422,100,100
1540463342,101,101
1540465324,100,100
1540467423,101,101
1540469350,101,101
1540471252,99,99
1540473177,96,96
1540475095,95,95
1540477013,97,97
1540478934,96,96
1540481009,96,96
1540483309,94,94
1540485155,93,93
1540487152,90,90
1540491185,88,88
1540493072,88,88
1540495251,88,88
1540497156,87,87
1540499084,86,86
1540501008,87,87
1540502911,85,85
1540506760,82,82
1540508951,80,80
1540512995,77,77
1540514913,76,76
1540516837,75,75
1540520686,76,76
1540522605,79,79
1540524509,81,81
1540526509,81,81
1540528368,96,96
1540530281,96,96
1540532457,94,94
1540534377,93,93
1540536290,91,91
1540538217,92,92
1540540135,90,90
1540542033,90,90
1540545889,89,89
1540547789,89,89
1540549960,89,89
1540552151,88,88
1540554057,87,87
1540556464,88,88
1540562214,89,89
1540564362,90,90
1540568476,92,92
1540570413,93,93
1540574227,92,92
1540576134,90,90
1540578063,89,89
1540579975,87,87
1540583814,87,87
1540585971,87,87
1540587886,85,85
1540590055,86,86
1540591957,86,86
1540593872,86,86
1540596032,88,88
1540598206,89,89
1540600126,87,87
1540602111,86,86
1540603972,84,84
1540605973,86,86
1540609753,85,85
1540611667,89,89
1540613592,72,72
1540615493,71,71
1540621254,71,71
1540625081,70,70
1540627042,69,69
1540629161,67,67
1540631067,68,68
1540633243,67,67
1540635166,67,67
1540637104,65,65
1540639137,66,66
1540641157,66,66
1540643155,65,65
1540646950,66,66
1540648915,64,64
1540650767,61,61
1540652699,62,62
1540654608,61,61
1540656583,61,61
1540658684,60,60
1540660611,62,62
1540664680,62,62
1540666601,62,62
1540668511,63,63
1540670525,62,62
1540672357,63,63
1540674546,65,65
1540676699,66,66
1540678623,65,65
1540680523,65,65
1540682471,62,62
1540684359,64,64
1540686309,67,67
1540688520,68,68
1540690613,68,68
1540692559,69,69
1540694440,71,71
1540700202,72,72
1540702128,74,74
1540705956,75,75
1540707888,73,73
1540713897,75,75
1540715818,74,74
1540719894,76,76
1540721799,75,75
1540725629,75,75
1540727566,76,76
1540733331,75,75
1540735308,78,78
1540737160,78,78
1540739122,78,78
1540742959,77,77
1540744860,79,79
1540746785,80,80
1540750853,81,81
1540754711,81,81
1540756604,80,80
1540758524,81,81
1540760511,82,82
1540762375,80,80
1540764351,78,78
1540768608,79,79
1540770540,77,77
1540772438,74,74
1540774361,75,75
1540776310,76,76
1540778231,75,75
1540780140,74,74
1540782118,75,75
1540783985,74,74
1540788061,71,71
1540789965,71,71
1540791900,70,70
1540793824,69,69
1540795757,68,68
1540797650,68,68
1540799575,67,67
1540801500,61,61
1540803707,60,60
1540805578,59,59
1540807499,59,59
1540809408,60,60
1540811357,59,59
