DateTime,Entries,UniqueIPs
1539837160,691,691
1539839076,686,686
1539841262,687,687
1539843171,687,687
1539845098,686,686
1539847012,687,687
1539848924,690,690
1539850844,688,688
1539852785,687,687
1539854680,684,684
1539856612,686,686
1539858518,686,686
1539860492,691,691
1539862369,696,696
1539864316,691,691
1539866206,701,701
1539868130,712,712
1539870038,681,681
1539871968,652,652
1539873887,634,634
1539875804,608,608
1539877722,579,579
1539879655,540,540
1539881567,512,512
1539883487,492,492
1539885391,467,467
1539887573,443,443
1539889517,436,436
1539891401,440,440
1539893320,435,435
1539895226,439,439
1539897176,445,445
1539899074,447,447
1539901008,435,435
1539902945,424,424
1539904858,426,426
1539906789,418,418
1539908698,403,403
1539910593,403,403
1539912537,404,404
1539914546,405,405
1539916380,418,418
1539918280,441,441
1539920190,458,458
1539922130,451,451
1539924051,465,465
1539925980,475,475
1539927876,487,487
1539929827,510,510
1539931745,505,505
1539933646,519,519
1539935582,513,513
1539937487,514,514
1539939430,513,513
1539941329,512,512
1539943295,523,523
1539945161,523,523
1539947140,520,520
1539949225,516,516
1539951407,515,515
1539953322,507,507
1539955230,500,500
1539957184,505,505
1539959083,502,502
1539961019,500,500
1539962909,497,497
1539965146,497,497
1539967002,492,492
1539968904,491,491
1539971070,485,485
1539972998,486,486
1539974925,499,499
1539976838,507,507
1539978750,512,512
1539980697,524,524
1539982598,530,530
1539984521,534,534
1539986551,524,524
1539988372,522,522
1539990336,518,518
1539992209,517,517
1539994127,518,518
1539996036,532,532
1539997962,539,539
1539999905,534,534
1540001803,532,532
1540003717,510,510
1540005643,499,499
1540007558,499,499
1540009490,489,489
1540011395,476,476
1540013307,466,466
1540015302,450,450
1540017215,443,443
1540019102,434,434
1540020997,439,439
1540022927,439,439
1540024859,446,446
1540026783,453,453
1540028681,448,448
1540030621,443,443
1540032516,443,443
1540034437,434,434
1540036362,432,432
1540038287,430,430
1540040208,461,461
1540042126,479,479
1540044112,507,507
1540045968,531,531
1540047894,544,544
1540049830,544,544
1540051777,543,543
1540053645,541,541
1540055584,531,531
1540057490,529,529
1540059422,531,531
1540061325,520,520
1540063244,511,511
1540065187,513,513
1540067173,508,508
1540069013,503,503
1540070921,501,501
1540072934,506,506
1540074773,513,513
1540076734,514,514
1540078608,517,517
1540080538,518,518
1540082462,514,514
