DateTime,AddedIPs,RemovedIPs
1540367787,9,0
1540368760,9,38
1540369714,10,12
1540370674,8,10
1540371638,13,7
1540372583,16,9
1540373559,6,17
1540374267,5,0
1540374990,8,11
1540375707,7,0
1540376437,7,12
1540377376,14,7
1540378092,3,13
1540379070,19,3
1540379804,6,14
1540380758,9,6
1540381715,10,7
1540382706,6,8
1540383640,7,9
1540384351,6,6
1540385069,4,11
1540386043,5,5
1540387010,7,9
1540387957,12,7
1540388665,10,3
1540389384,4,8
1540390107,8,6
1540390839,9,9
1540391784,9,6
1540392735,6,7
1540393465,12,0
1540394176,6,8
1540394894,20,4
1540395858,10,11
1540396842,13,2
1540397786,18,6
1540398739,14,14
1540399449,8,15
1540400170,10,0
1540401139,14,13
1540402112,12,18
1540403071,19,14
1540404036,15,15
1540405003,8,15
1540405958,13,9
1540406919,12,17
1540407862,7,14
1540408571,12,12
1540409290,13,12
1540410262,9,15
1540410967,6,0
1540411725,8,19
1540412669,19,12
1540413638,32,11
1540414594,14,12
1540415555,14,7
1540416514,13,10
1540417477,6,21
1540418435,12,16
1540419382,8,10
1540420340,9,11
1540421051,13,12
1540422072,11,7
1540422984,10,17
1540423688,8,7
1540424413,11,0
1540425128,12,12
1540425883,3,10
1540426570,8,12
1540427565,17,16
1540428268,8,11
1540428987,4,0
1540429710,4,16
1540430426,13,10
1540431156,19,15
1540431871,14,0
1540432838,12,27
1540433790,3,14
1540434739,8,16
1540435456,14,8
1540436167,10,0
1540436900,5,13
1540437639,5,4
1540438352,4,12
1540439068,4,10
1540439793,7,7
1540440585,8,12
1540441474,10,12
1540442429,8,7
1540443144,3,6
1540443874,2,0
1540444832,4,7
1540445552,5,10
1540446518,7,6
1540447483,5,12
1540448435,15,16
1540449398,16,5
1540450356,17,8
1540451321,14,6
1540452273,14,7
1540453230,17,5
1540454196,8,19
1540455140,8,0
1540456095,6,17
1540457055,14,10
1540458038,3,25
1540458984,9,16
1540459947,14,0
1540460901,8,10
1540461883,5,9
1540462835,11,10
1540463800,6,17
1540464773,5,8
1540465722,8,6
1540466446,6,11
1540467400,2,13
1540468354,9,7
1540469326,3,8
1540470253,11,6
1540471218,9,5
1540472197,2,10
1540473143,5,5
1540473849,7,15
1540474572,8,2
1540475548,4,5
1540476254,5,9
1540476991,5,5
1540477939,10,9
1540478650,4,9
1540479373,4,8
1540480090,1,7
1540480840,10,14
1540481808,7,5
1540482762,9,13
1540483752,3,13
1540484680,11,11
1540485637,16,10
1540486366,6,10
1540487078,2,16
1540487823,11,12
1540488746,12,18
1540489697,14,12
1540490674,8,13
1540491615,19,19
1540492342,9,0
1540493050,6,12
1540493807,9,6
1540494765,14,14
1540495716,19,19
1540496678,14,5
1540497638,8,5
1540498606,10,14
1540499554,12,55
1540500520,14,14
1540501464,6,13
1540502420,16,13
1540503400,6,10
1540504359,3,14
1540505323,7,16
1540506273,5,4
1540507231,10,17
