DateTime,AddedIPs,RemovedIPs
1540367787,49,38
1540368760,46,59
1540369714,66,50
1540370674,34,43
1540371638,39,72
1540372583,85,86
1540373559,82,64
1540374267,55,31
1540374990,36,54
1540375707,52,30
1540376437,23,90
1540377376,90,77
1540378092,55,105
1540379070,140,67
1540379804,57,50
1540380758,56,52
1540381715,48,65
1540382706,69,45
1540383640,46,55
1540384351,50,48
1540385069,28,61
1540386043,63,58
1540387010,49,31
1540387957,45,50
1540388665,40,38
1540389384,34,36
1540390107,59,41
1540390839,47,43
1540391784,43,57
1540392735,58,57
1540393465,57,54
1540394176,61,40
1540394894,59,58
1540395858,49,41
1540396842,55,58
1540397786,60,41
1540398739,48,55
1540399449,44,92
1540400170,92,59
1540401139,75,47
1540402112,41,47
1540403071,61,62
1540404036,53,93
1540405003,81,99
1540405958,93,90
1540406919,86,53
1540407862,57,57
1540408571,54,49
1540409290,55,63
1540410262,55,68
1540410967,62,49
1540411725,49,70
1540412669,77,58
1540413638,85,83
1540414594,45,46
1540415555,38,71
1540416514,66,59
1540417477,47,38
1540418435,54,85
1540419382,75,54
1540420340,51,50
1540421051,58,73
1540422072,63,59
1540422984,54,31
1540423688,38,23
1540424413,31,52
1540425128,49,45
1540425883,25,138
1540426570,94,117
1540427565,170,34
1540428268,46,106
1540428987,97,51
1540429710,50,31
1540430426,43,36
1540431156,49,42
1540431871,32,47
1540432838,46,56
1540433790,38,70
1540434739,77,55
1540435456,52,80
1540436167,70,40
1540436900,45,72
1540437639,62,34
1540438352,35,48
1540439068,47,36
1540439793,40,61
1540440585,41,51
1540441474,49,40
1540442429,38,39
1540443144,34,41
1540443874,35,83
1540444832,93,56
1540445552,59,60
1540446518,66,30
1540447483,32,48
1540448435,53,48
1540449398,55,70
1540450356,57,33
1540451321,43,38
1540452273,44,36
1540453230,48,70
1540454196,60,77
1540455140,70,44
1540456095,29,54
1540457055,64,47
1540458038,44,60
1540458984,61,52
1540459947,56,47
1540460901,46,31
1540461883,42,62
1540462835,63,48
1540463800,52,47
1540464773,40,30
1540465722,43,64
1540466446,61,51
1540467400,49,55
1540468354,56,71
1540469326,69,35
1540470253,53,63
1540471218,55,65
1540472197,58,48
1540473143,50,37
1540473849,38,56
1540474572,59,55
1540475548,56,45
1540476254,41,80
1540476991,77,43
1540477939,56,31
1540478650,28,44
1540479373,36,61
1540480090,53,21
1540480840,39,71
1540481808,65,69
1540482762,76,78
1540483752,68,41
1540484680,51,54
1540485637,60,54
1540486366,41,49
1540487078,39,58
1540487823,61,36
1540488746,60,42
1540489697,48,50
1540490674,39,75
1540491615,83,66
1540492342,48,60
1540493050,61,88
1540493807,68,73
1540494765,90,39
1540495716,42,48
1540496678,43,60
1540497638,52,62
1540498606,61,50
1540499554,40,66
1540500520,63,74
1540501464,56,61
1540502420,85,64
1540503400,43,44
1540504359,29,34
1540505323,28,176
