DateTime,Entries,UniqueIPs
1540367787,8315,8315
1540368760,8302,8302
1540369714,8318,8318
1540370674,8309,8309
1540371638,8276,8276
1540372583,8275,8275
1540373559,8293,8293
1540374267,8317,8317
1540374990,8299,8299
1540375707,8321,8321
1540376437,8254,8254
1540377376,8267,8267
1540378092,8217,8217
1540379070,8290,8290
1540379804,8297,8297
1540380758,8301,8301
1540381715,8284,8284
1540382706,8308,8308
1540383640,8299,8299
1540384351,8301,8301
1540385069,8268,8268
1540386043,8273,8273
1540387010,8291,8291
1540387957,8286,8286
1540388665,8288,8288
1540389384,8286,8286
1540390107,8304,8304
1540390839,8308,8308
1540391784,8294,8294
1540392735,8295,8295
1540393465,8298,8298
1540394176,8319,8319
1540394894,8320,8320
1540395858,8328,8328
1540396842,8325,8325
1540397786,8344,8344
1540398739,8337,8337
1540399449,8289,8289
1540400170,8322,8322
1540401139,8350,8350
1540402112,8344,8344
1540403071,8343,8343
1540404036,8303,8303
1540405003,8285,8285
1540405958,8288,8288
1540406919,8321,8321
1540407862,8321,8321
1540408571,8326,8326
1540409290,8318,8318
1540410262,8305,8305
1540410967,8318,8318
1540411725,8297,8297
1540412669,8316,8316
1540413638,8318,8318
1540414594,8317,8317
1540415555,8284,8284
1540416514,8291,8291
1540417477,8300,8300
1540418435,8269,8269
1540419382,8290,8290
1540420340,8291,8291
1540421051,8276,8276
1540422072,8280,8280
1540422984,8303,8303
1540423688,8318,8318
1540424413,8297,8297
1540425128,8301,8301
1540425883,8188,8188
1540426570,8165,8165
1540427565,8301,8301
1540428268,8241,8241
1540428987,8287,8287
1540429710,8306,8306
1540430426,8313,8313
1540431156,8320,8320
1540431871,8305,8305
1540432838,8295,8295
1540433790,8263,8263
1540434739,8285,8285
1540435456,8257,8257
1540436167,8287,8287
1540436900,8260,8260
1540437639,8288,8288
1540438352,8275,8275
1540439068,8286,8286
1540439793,8265,8265
1540440585,8255,8255
1540441474,8264,8264
1540442429,8263,8263
1540443144,8256,8256
1540443874,8208,8208
1540444832,8245,8245
1540445552,8244,8244
1540446518,8280,8280
1540447483,8264,8264
1540448435,8269,8269
1540449398,8254,8254
1540450356,8278,8278
1540451321,8283,8283
1540452273,8291,8291
1540453230,8269,8269
1540454196,8252,8252
1540455140,8278,8278
1540456095,8253,8253
1540457055,8270,8270
1540458038,8254,8254
1540458984,8263,8263
1540459947,8272,8272
1540460901,8287,8287
1540461883,8267,8267
1540462835,8282,8282
1540463800,8287,8287
1540464773,8297,8297
1540465722,8276,8276
1540466446,8286,8286
1540467400,8280,8280
1540468354,8265,8265
1540469326,8299,8299
1540470253,8289,8289
1540471218,8279,8279
1540472197,8289,8289
1540473143,8302,8302
1540473849,8284,8284
1540474572,8288,8288
1540475548,8299,8299
1540476254,8260,8260
1540476991,8294,8294
1540477939,8319,8319
1540478650,8303,8303
1540479373,8278,8278
1540480090,8310,8310
1540480840,8278,8278
1540481808,8274,8274
1540482762,8272,8272
1540483752,8299,8299
1540484680,8296,8296
1540485637,8302,8302
1540486366,8294,8294
1540487078,8275,8275
1540487823,8300,8300
1540488746,8318,8318
1540489697,8316,8316
1540490674,8280,8280
1540491615,8297,8297
1540492342,8285,8285
1540493050,8258,8258
1540493807,8253,8253
1540494765,8304,8304
1540495716,8298,8298
1540496678,8281,8281
1540497638,8271,8271
1540498606,8282,8282
1540499554,8256,8256
1540500520,8245,8245
1540501464,8240,8240
1540502420,8261,8261
1540503400,8260,8260
1540504359,8255,8255
1540505323,8107,8107
1540506273,8129,8129
1540507231,8228,8228
1540507966,8228,8228
1540508919,8227,8227
1540509692,8214,8214
1540510605,8247,8247
1540511536,8233,8233
1540512524,8225,8225
1540513475,8244,8244
1540514438,8227,8227
1540515393,8259,8259
1540516364,8231,8231
1540517315,8247,8247
1540518280,8246,8246
1540519229,8244,8244
1540520190,8231,8231
1540521136,8255,8255
1540522110,8224,8224
1540523061,8194,8194
1540524026,8245,8245
1540524982,8229,8229
1540525954,8248,8248
1540526923,8267,8267
1540527877,8240,8240
1540528851,8214,8214
1540529797,8204,8204
1540530757,8213,8213
1540531466,8207,8207
1540532433,8256,8256
1540533149,8243,8243
1540533886,8191,8191
1540534817,8219,8219
1540535805,8243,8243
1540536756,8226,8226
1540537743,8254,8254
1540538673,8251,8251
1540539641,8257,8257
1540540594,8233,8233
1540541567,8244,8244
1540542515,8230,8230
1540543476,8217,8217
1540544439,8238,8238
1540545388,8243,8243
1540546339,8260,8260
1540547050,8258,8258
1540547767,8246,8246
1540548491,8276,8276
1540549215,8267,8267
1540549937,8263,8263
1540550650,8271,8271
1540551527,8247,8247
1540552582,8258,8258
1540553542,8281,8281
1540554500,8282,8282
1540555494,8267,8267
1540556920,8239,8239
1540557854,8287,8287
1540558822,8306,8306
1540559530,8292,8292
1540560255,8267,8267
1540561262,8278,8278
1540562191,8275,8275
1540563160,8293,8293
1540563866,8277,8277
1540564834,8267,8267
1540565812,8271,8271
1540566760,8246,8246
1540567471,8267,8267
1540568433,8221,8221
1540569398,8207,8207
1540570392,8223,8223
1540571315,8268,8268
1540572275,8211,8211
1540573254,8258,8258
1540574199,8260,8260
1540575176,8204,8204
1540576113,8241,8241
1540577083,8268,8268
1540578038,8280,8280
1540579007,8247,8247
1540579953,8261,8261
1540580670,8269,8269
1540581392,8282,8282
1540582108,8302,8302
1540582835,8243,8243
1540583791,8286,8286
1540585011,8266,8266
1540585940,8289,8289
1540586900,8276,8276
1540587865,8272,8272
1540588823,8309,8309
1540589536,8282,8282
1540590249,8242,8242
1540591240,8246,8246
1540591936,8265,8265
1540592672,8205,8205
1540593631,8237,8237
1540594343,8275,8275
1540595076,8241,8241
1540596521,8221,8221
1540597231,8265,8265
1540598174,8236,8236
1540599146,8281,8281
1540599848,8260,8260
1540600574,8263,8263
1540601291,8234,8234
1540602072,8267,8267
1540602998,8266,8266
1540603953,8263,8263
1540604915,8251,8251
1540605878,8250,8250
1540606834,8252,8252
1540607800,8226,8226
1540608753,8189,8189
1540609722,8267,8267
1540610669,8218,8218
1540611638,8240,8240
1540612592,8260,8260
1540613562,8247,8247
1540614512,8218,8218
