DateTime,AddedIPs,RemovedIPs
1539538979,1,0
1539540433,2,0
1539544583,1,0
1539547830,0,1
1539549344,2,0
1539551130,0,1
1539553354,1,0
1539557806,1,1
1539558890,3,0
1539560450,4,0
1539564159,1,0
1539566090,1,0
1539567338,0,1
1539569711,0,1
1539571389,1,0
1539575458,1,0
1539576662,1,0
1539577806,1,0
1539579392,1,0
1539583845,1,0
1539585789,0,1
1539587146,0,1
1539589380,1,0
1539590635,1,0
1539600155,1,0
1539603792,1,0
1539611695,1,0
1539612947,1,1
1539616483,0,1
1539619505,1,0
1539620087,3,0
1539627281,1,0
1539628779,0,1
1539638942,1,0
1539641449,2,2
1539645279,1,0
1539646849,1,0
1539648653,6,0
1539651336,2,0
1539653397,1,0
1539656941,0,1
1539657767,2,0
1539659153,5,0
1539662213,1,0
1539664129,1,0
1539665818,2,0
1539666876,1,0
1539667808,1,0
1539670497,2,0
1539673006,1,0
1539674158,1,0
1539677695,2,0
1539683448,1,0
1539690036,1,0
1539691849,1,0
1539698217,3,0
1539699292,0,1
1539702947,2,0
1539703791,2,14
1539706249,3,0
1539708632,0,1
1539709839,0,1
1539711775,1,0
1539716761,1,1
1539722090,0,1
1539723346,10,1
1539724551,1,0
1539725740,1,0
1539728093,2,0
1539729737,0,6
1539731686,1,0
1539732524,2,0
1539735039,1,1
1539736191,1,1
1539741836,0,1
1539743329,1,0
1539745037,1,0
1539747349,2,1
1539749100,1,1
1539752219,1,0
1539759986,3,2
1539764156,3,0
1539765012,1,0
1539766195,1,0
1539770145,3,0
1539776189,2,0
1539778550,3,0
1539784661,1,0
1539786055,1,0
1539787264,2,0
1539790133,2,0
1539791687,2,8
1539796473,1,0
1539798162,1,2
1539801300,0,1
1539802592,1,1
1539808856,1,1
1539809991,1,3
1539810874,1,0
1539812449,2,1
1539813403,1,0
1539814559,0,1
1539816055,3,0
1539818156,1,6
1539819780,0,1
1539821444,1,1
1539824219,1,1
1539825287,3,1
1539827746,0,2
1539828876,2,1
1539830207,0,3
1539836148,1,1
1539847728,1,0
1539848591,1,0
1539850477,1,0
1539851802,1,0
1539859385,1,0
1539861352,1,0
1539864658,0,1
1539865838,0,1
1539866589,1,0
1539872992,0,1
1539873763,1,0
1539875154,0,1
1539879279,2,21
