DateTime,AddedIPs,RemovedIPs
1540150091,56,0
1540151942,132,270
1540153691,138,15
1540155367,94,167
1540157295,104,154
1540159821,125,288
1540161037,43,115
1540162568,58,38
1540163707,51,78
1540165208,61,106
1540167008,90,142
1540167247,11,0
1540168813,100,125
1540169767,58,50
1540170920,43,91
1540172414,66,135
1540174219,87,127
1540175288,54,0
1540176908,71,111
1540178047,58,128
1540178887,54,0
1540180569,93,204
1540181647,66,86
1540182492,48,0
1540183341,39,163
1540185247,115,77
1540186088,44,0
1540188614,212,307
1540189693,58,0
1540191014,91,201
1540192229,81,98
1540193294,68,0
1540194152,57,165
1540196048,112,85
1540197746,77,231
1540198567,55,0
1540200491,132,77
1540202023,72,111
1540203247,82,78
1540204813,101,104
1540206226,84,151
1540206848,43,0
1540207688,129,1
1540209367,467,185
1540210508,74,96
1540211708,60,130
1540212907,55,49
1540214108,54,71
1540215607,73,96
1540215744,2,38
1540216922,61,81
1540219214,125,117
1540220707,78,98
1540221258,31,0
1540222088,38,0
1540223199,71,222
1540224607,65,103
1540225699,63,0
1540227910,116,263
1540231279,221,247
1540232412,65,0
1540233613,61,123
1540235107,74,93
1540236497,68,0
1540237328,51,77
1540239308,76,96
1540241951,305,188
1540243207,540,9
1540244533,543,96
1540245376,58,0
1540246448,60,83
1540248128,127,89
1540248968,51,0
1540250107,42,192
1540251616,59,113
1540253647,78,138
1540255328,65,126
1540256168,39,0
1540258090,81,88
1540259718,75,140
1540260847,47,65
1540262108,62,71
1540263716,74,103
1540264831,39,0
1540266129,180,94
1540267817,107,103
1540268945,51,1
1540270207,53,108
1540271408,63,71
1540273344,124,155
1540275248,119,85
1540276094,49,0
1540276927,37,76
1540278308,87,104
1540279689,61,1
1540280816,60,172
1540282218,78,61
1540282447,22,0
1540284155,98,146
1540285510,99,67
1540286707,85,0
1540287913,70,92
1540289647,105,101
1540290876,86,89
1540292108,81,27
1540293247,94,77
1540294818,131,111
1540295966,93,104
1540297215,87,6
1540298247,89,117
1540299910,95,125
1540301697,141,148
1540303817,150,128
1540305034,68,120
1540306807,106,102
1540307648,60,9
1540308492,48,0
1540310084,105,112
1540312098,113,126
1540313453,71,195
1540314608,50,116
1540315689,67,1
1540318207,183,268
1540319312,80,0
1540320145,59,170
1540320967,47,0
1540322107,73,85
1540323307,101,168
1540324508,83,0
1540325707,84,115
1540326908,78,115
1540327346,21,31
1540328167,71,0
1540329246,60,62
1540330419,59,73
1540331545,57,27
1540331766,13,0
1540332908,41,46
1540334528,88,75
1540335375,44,0
1540336507,66,96
1540338016,91,110
1540338968,52,35
1540340057,82,89
1540340888,43,1
1540342567,84,77
1540344497,91,108
1540347008,124,177
1540348090,37,0
1540349767,85,133
1540351687,111,69
1540353561,112,208
1540354818,99,9
1540356147,59,178
1540356977,48,0
1540358048,59,88
1540358888,46,0
1540360208,69,156
1540361648,72,102
1540363329,93,105
1540364168,42,0
1540365293,95,109
1540366792,93,117
1540367767,45,41
1540368847,69,50
1540370163,90,125
1540371308,71,41
1540373290,139,58
1540375465,125,232
1540377150,117,172
1540377752,24,129
1540378567,57,1
1540380492,129,387
1540381341,63,138
1540382167,59,0
1540383032,58,73
1540384942,145,125
1540385767,63,0
1540386908,84,63
1540388108,76,98
1540390208,139,97
1540391296,74,0
1540392128,57,92
1540393508,89,110
1540394048,30,0
1540395308,81,105
1540396654,78,39
1540397647,55,80
1540399338,108,140
1540401256,180,128
1540402709,149,142
1540403972,106,94
1540405206,118,4
1540406406,101,94
1540407907,92,115
1540409293,84,0
1540410607,82,67
1540411812,73,245
1540412046,27,0
1540413739,183,894
1540415107,117,252
1540416308,76,1
1540417507,70,171
1540419008,81,72
1540420088,59,0
1540420928,45,69
1540422275,76,72
1540423837,101,63
1540425307,92,30
1540426508,90,58
1540427710,70,70
1540428942,124,1
1540430120,144,91
1540430898,100,0
1540432568,227,103
1540433648,147,53
1540434908,154,67
1540436087,120,189
1540437247,132,49
1540438508,135,112
1540439715,117,0
1540440860,93,77
1540442539,162,127
1540443368,75,1
1540444508,97,65
1540446151,89,110
