DateTime,Entries,UniqueIPs
1540098895,495,495
1540099798,493,493
1540100584,492,492
1540101407,493,493
1540102552,494,494
1540103397,492,492
1540104950,490,490
1540106095,488,488
1540107759,487,487
1540109462,485,485
1540112229,486,486
1540113278,480,480
1540114851,483,483
1540116872,479,479
1540117724,480,480
1540119936,472,472
1540121753,473,473
1540123801,476,476
1540125786,458,458
1540127149,459,459
1540129834,458,458
1540131081,455,455
1540132974,454,454
1540133806,456,456
1540134890,456,456
1540136562,454,454
1540138245,451,451
1540139232,453,453
1540140996,450,450
1540142998,451,451
1540144356,456,456
1540145734,457,457
1540147384,455,455
1540149284,457,457
1540150199,456,456
1540151970,458,458
1540152883,456,456
1540153794,453,453
1540155407,454,454
1540159861,453,453
1540161074,450,450
1540162598,448,448
1540163752,449,449
1540165247,447,447
1540167053,450,450
1540168848,450,450
1540169795,448,448
1540170966,448,448
1540172459,451,451
1540174266,452,452
1540175398,446,446
1540176955,451,451
1540178092,454,454
1540178992,454,454
1540180236,453,453
1540182543,456,456
1540183379,452,452
1540185275,447,447
1540186202,447,447
1540188659,457,457
1540189731,460,460
1540191044,456,456
1540192532,452,452
1540194221,451,451
1540195780,456,456
1540196081,457,457
1540197776,456,456
1540198611,456,456
1540199677,457,457
1540200613,456,456
1540202066,455,455
1540203288,454,454
1540204856,453,453
1540206277,454,454
1540207805,469,469
1540209398,471,471
1540210553,471,471
1540211740,466,466
1540212937,468,468
1540214143,470,470
1540215656,467,467
1540215775,466,466
1540217023,466,466
1540219259,462,462
1540220745,461,461
1540221290,462,462
1540222196,461,461
1540223736,464,464
1540225744,464,464
1540227949,450,450
1540231314,450,450
1540233657,449,449
1540235143,445,445
1540236534,449,449
1540237370,448,448
1540239345,448,448
1540241982,495,495
1540243250,496,496
1540244560,494,494
1540245421,496,496
1540246486,497,497
1540248159,500,500
1540250149,498,498
1540251645,493,493
1540253682,493,493
1540255371,490,490
1540256195,492,492
1540258131,492,492
1540259761,493,493
1540260873,495,495
1540262138,494,494
1540263830,498,498
1540265110,500,500
1540266160,507,507
1540267858,516,516
1540269054,518,518
1540270237,522,522
1540271449,524,524
1540273397,524,524
1540275291,530,530
1540276132,535,535
1540276959,536,536
1540278347,535,535
1540279801,542,542
1540281006,541,541
1540282298,540,540
1540282479,541,541
1540284229,542,542
1540285553,546,546
1540286735,553,553
1540287959,559,559
1540289681,555,555
1540290917,557,557
1540292145,561,561
1540293301,563,563
1540294861,564,564
1540295996,564,564
1540297264,566,566
1540298274,566,566
1540299944,565,565
1540301748,566,566
1540303849,566,566
1540305074,566,566
1540307157,565,565
1540308589,565,565
1540310123,567,567
1540312188,565,565
1540313480,567,567
1540314878,563,563
1540315739,564,564
1540318244,564,564
1540319399,562,562
1540320170,565,565
1540322155,564,564
1540323336,563,563
1540324550,566,566
1540325741,566,566
1540326934,567,567
1540327385,569,569
1540328199,570,570
1540329280,570,570
1540330461,570,570
1540331574,571,571
1540331792,573,573
1540332947,574,574
1540334556,576,576
1540335412,576,576
1540336553,579,579
1540338043,581,581
1540338995,584,584
1540340109,585,585
1540340935,590,590
1540342614,589,589
1540343686,587,587
1540344595,585,585
1540347051,585,585
1540348208,582,582
1540349804,582,582
1540351727,589,589
1540354234,586,586
1540356203,585,585
1540357014,587,587
1540358090,585,585
1540358927,590,590
1540360238,584,584
1540361681,590,590
1540363378,592,592
1540364201,594,594
1540365356,595,595
1540366842,593,593
1540367800,595,595
1540368884,595,595
1540370221,595,595
1540371347,605,605
1540372578,611,611
1540373405,612,612
1540375496,609,609
1540377197,612,612
1540377782,608,608
1540378596,610,610
1540379752,611,611
1540380599,610,610
1540381383,612,612
1540382208,613,613
1540383060,610,610
1540384971,607,607
1540385795,609,609
1540386953,607,607
1540388162,610,610
1540390244,609,609
1540391338,610,610
1540392174,610,610
1540393557,608,608
1540394081,607,607
1540395336,607,607
1540396739,608,608
1540399388,607,607
1540401288,606,606
1540402733,607,607
1540406447,602,602
1540407938,600,600
1540409333,602,602
1540410634,602,602
1540411851,549,549
1540413781,548,548
1540415139,548,548
1540416335,549,549
1540417549,544,544
1540419303,545,545
1540420959,546,546
1540422319,545,545
1540423884,546,546
1540425335,548,548
1540426544,548,548
1540427754,541,541
1540428996,546,546
1540430160,542,542
1540430929,545,545
1540432608,546,546
1540433678,546,546
1540434947,547,547
1540436118,547,547
1540437276,545,545
1540438557,543,543
1540439754,545,545
1540440917,542,542
1540442584,543,543
1540443409,545,545
1540444554,543,543
1540446188,543,543
1540447008,547,547
1540448163,543,543
1540449354,539,539
1540450530,543,543
