DateTime,Entries,UniqueIPs
1540162596,2415,2415
1540163750,2411,2411
1540165245,2415,2415
1540167046,2405,2405
1540167271,2405,2405
1540168845,2432,2432
1540169794,2445,2445
1540170964,2440,2440
1540172456,2410,2410
1540174264,2414,2414
1540175346,2425,2425
1540176953,2420,2420
1540178091,2392,2392
1540178943,2414,2414
1540180607,2389,2389
1540181675,2388,2388
1540182536,2394,2394
1540183378,2392,2392
1540185273,2402,2402
1540186145,2409,2409
1540188657,2394,2394
1540189729,2402,2402
1540191042,2373,2373
1540192527,2396,2396
1540193352,2397,2397
1540194218,2379,2379
1540195772,2364,2364
1540196079,2365,2365
1540197774,2295,2295
1540198610,2299,2299
1540199675,2305,2305
1540200605,2303,2303
1540202065,2306,2306
1540203286,2312,2312
1540204854,2310,2310
1540206271,2299,2299
1540206889,2304,2304
1540207803,2345,2345
1540209397,2596,2596
1540210551,2613,2613
1540211739,2602,2602
1540212936,2594,2594
1540214141,2587,2587
1540215654,2586,2586
1540215772,2581,2581
1540217021,2582,2582
1540219257,2565,2565
1540220748,2563,2563
1540221289,2563,2563
1540222146,2569,2569
1540223734,2492,2492
1540225739,2471,2471
1540227948,2451,2451
1540231307,2479,2479
1540232453,2502,2502
1540233655,2494,2494
1540235141,2493,2493
1540236528,2501,2501
1540237368,2496,2496
1540239343,2493,2493
1540241975,2477,2477
1540243247,2478,2478
1540244559,2481,2481
1540245419,2483,2483
1540246485,2461,2461
1540248158,2471,2471
1540249008,2480,2480
1540250147,2394,2394
1540251644,2342,2342
1540253680,2275,2275
1540255369,2242,2242
1540256194,2241,2241
1540258130,2238,2238
1540259759,2238,2238
1540260871,2242,2242
1540262137,2245,2245
1540263829,2250,2250
1540265108,2259,2259
1540266159,2261,2261
1540267856,2298,2298
1540269049,2296,2296
1540270236,2296,2296
1540271447,2293,2293
1540273396,2273,2273
1540275289,2276,2276
1540276130,2277,2277
1540276957,2262,2262
1540278345,2253,2253
1540279746,2263,2263
1540280857,2230,2230
1540282286,2229,2229
1540282477,2230,2230
1540284221,2206,2206
1540285550,2207,2207
1540286734,2218,2218
1540287956,2220,2220
1540289680,2217,2217
1540290922,2219,2219
1540292144,2223,2223
1540293300,2240,2240
1540294859,2263,2263
1540295994,2265,2265
1540297261,2282,2282
1540298273,2267,2267
1540299942,2269,2269
1540301753,2289,2289
1540303847,2300,2300
1540305067,2299,2299
1540307155,2308,2308
1540307681,2312,2312
1540308544,2324,2324
1540310120,2329,2329
1540312137,2318,2318
1540313478,2262,2262
1540314638,2248,2248
1540315732,2257,2257
1540318238,2230,2230
1540319397,2228,2228
1540320169,2229,2229
1540320996,2227,2227
1540322154,2220,2220
1540323334,2181,2181
1540324548,2190,2190
1540325740,2180,2180
1540326933,2212,2212
1540327383,2212,2212
1540328197,2235,2235
1540329279,2238,2238
1540330458,2234,2234
1540331573,2232,2232
1540331791,2233,2233
1540332945,2230,2230
1540334555,2226,2226
1540335411,2234,2234
1540336552,2217,2217
1540338041,2214,2214
1540338994,2195,2195
1540340101,2170,2170
1540340929,2174,2174
1540342613,2175,2175
1540343685,2169,2169
1540344593,2166,2166
1540347049,2168,2168
1540348194,2132,2132
1540349803,2126,2126
1540351725,2114,2114
1540354233,2109,2109
1540356202,2087,2087
1540357013,2085,2085
1540358089,2078,2078
1540358920,2079,2079
1540360237,2066,2066
1540361679,2038,2038
1540363377,2036,2036
1540364199,2039,2039
1540365361,2071,2071
1540366846,2079,2079
1540367798,2076,2076
1540368882,2084,2084
1540370219,2077,2077
1540371345,2086,2086
1540372562,2092,2092
1540373347,2098,2098
1540375494,2082,2082
1540377186,2048,2048
1540377780,1983,1983
1540378594,1987,1987
1540379751,1789,1789
1540380596,1785,1785
1540381382,1789,1789
1540382207,1797,1797
1540383059,1799,1799
1540384969,1796,1796
1540385793,1798,1798
1540386946,1796,1796
1540388161,1796,1796
1540390242,1806,1806
1540391336,1822,1822
1540392172,1823,1823
1540393555,1817,1817
1540394079,1822,1822
1540395335,1819,1819
1540396737,1813,1813
1540397678,1812,1812
1540399387,1812,1812
1540401287,1815,1815
1540402732,1814,1814
1540403996,1812,1812
1540405238,1829,1829
1540406445,1840,1840
1540407937,1846,1846
1540409326,1864,1864
1540410633,1863,1863
1540411848,1869,1869
1540412087,1868,1868
1540413779,1920,1920
1540415138,1946,1946
1540416334,1978,1978
1540417548,1956,1956
1540419062,1970,1970
1540420148,1985,1985
1540420958,1982,1982
1540422313,1993,1993
1540423882,2002,2002
1540425333,2007,2007
1540426543,2036,2036
1540427752,2058,2058
1540428995,2074,2074
1540430158,2090,2090
1540430927,2095,2095
1540432606,2115,2115
1540433676,2134,2134
1540434946,2146,2146
1540436117,2149,2149
1540437274,2156,2156
1540438554,2121,2121
1540439752,2135,2135
1540440906,2136,2136
1540442583,2137,2137
1540443408,2152,2152
1540444549,2172,2172
1540446180,2169,2169
1540447007,2176,2176
1540448161,2162,2162
1540449345,2159,2159
1540450528,2192,2192
1540451680,2184,2184
1540453246,2190,2190
1540455283,2204,2204
1540456486,2183,2183
1540457803,2199,2199
1540458875,2208,2208
1540460571,2226,2226
1540461392,2249,2249
1540462557,2256,2256
1540464183,2257,2257
1540465535,2270,2270
1540467084,2281,2281
1540469015,2338,2338
1540470155,2380,2380
1540471357,2373,2373
1540472223,2415,2415
1540473290,2423,2423
1540474969,2473,2473
1540476409,2502,2502
1540476893,2513,2513
1540478581,2540,2540
1540479947,2573,2573
1540481661,2586,2586
1540483841,2613,2613
1540484935,2644,2644
1540487446,2681,2681
1540488528,2700,2700
1540490106,2707,2707
1540491270,2786,2786
1540492980,2961,2961
1540493802,3006,3006
1540494950,3008,3008
1540496564,2990,2990
1540497763,2991,2991
1540499334,3018,3018
1540500164,3019,3019
1540500990,3028,3028
1540502142,3024,3024
1540502944,3061,3061
1540504131,3093,3093
1540504593,3118,3118
1540505766,3116,3116
1540507375,3135,3135
1540508743,3129,3129
1540509926,3142,3142
1540511146,3168,3168
1540512644,3222,3222
1540514138,3230,3230
1540515962,3245,3245
1540516497,3250,3250
1540518180,3244,3244
1540519863,3266,3266
1540521786,3271,3271
1540523149,3259,3259
1540524599,3204,3204
1540527289,3179,3179
1540528997,3167,3167
1540529815,3160,3160
1540530900,3146,3146
1540532153,3149,3149
1540532576,3148,3148
1540533432,3142,3142
1540534476,3125,3125
1540535758,3080,3080
1540537017,3074,3074
1540538160,3070,3070
1540539842,3062,3062
1540540609,3062,3062
1540541757,3040,3040
