DateTime,Entries,UniqueIPs
1539744508,1217,1261
1539746436,1222,1268
1539748390,1224,1270
1539750257,1228,1273
1539752171,1223,1268
1539754107,1227,1270
1539756031,1213,1256
1539757974,1223,1265
1539759871,1215,1258
1539761785,1211,1256
1539765617,1182,1228
1539767534,1154,1201
1539769465,1158,1204
1539771380,1161,1207
1539773555,1172,1218
1539775463,1171,1218
1539777372,1175,1222
1539779305,1183,1229
1539781235,1188,1231
1539783139,1191,1234
1539785074,1210,1254
1539786995,1217,1261
1539788918,1209,1255
1539791059,1214,1259
1539792999,1213,1259
1539794892,1211,1257
1539796818,1216,1263
1539798750,1216,1262
1539800667,1218,1264
1539802568,1223,1267
1539804507,1223,1267
1539806437,1209,1252
1539808355,1211,1255
1539810512,1201,1246
1539812427,1201,1247
1539814341,1211,1257
1539816260,1211,1257
1539818187,1218,1263
1539820099,1230,1275
1539822017,1245,1288
1539823970,1238,1279
1539825852,1248,1288
1539827788,1247,1286
1539829934,1244,1284
1539831858,1233,1273
1539833795,1232,1270
1539835716,1224,1262
1539837624,1225,1263
1539839554,1231,1270
1539841698,1233,1271
1539843634,1247,1284
1539845538,1240,1276
1539847472,1231,1267
1539849370,1226,1260
1539851308,1243,1278
1539853397,1247,1282
1539855618,1244,1279
1539857540,1235,1269
1539859463,1246,1280
1539861384,1251,1285
1539863292,1255,1289
1539865228,1254,1288
1539867142,1239,1275
1539869053,1257,1293
1539870982,1247,1280
1539872893,1255,1288
1539874847,1267,1302
1539876737,1272,1306
1539878667,1277,1311
1539880570,1262,1295
1539884653,1240,1272
1539886602,1254,1286
1539890431,1235,1267
1539892340,1224,1254
1539894270,1220,1251
1539896199,1225,1256
1539898096,1236,1266
1539900038,1227,1258
1539901956,1225,1255
1539903874,1224,1254
1539906043,1219,1250
1539908184,1214,1247
1539910107,1205,1238
1539912009,1198,1231
1539913943,1203,1235
1539915856,1213,1245
1539917803,1212,1242
1539919691,1215,1245
1539921677,1220,1251
1539923538,1239,1270
1539925463,1230,1261
1539927379,1215,1248
1539929298,1225,1258
1539931213,1221,1254
1539933139,1224,1256
1539935052,1232,1264
1539936986,1221,1253
1539938894,1231,1264
1539940941,1219,1252
1539942746,1225,1258
1539944671,1246,1280
1539946569,1246,1278
1539948758,1244,1276
1539950916,1249,1279
1539952822,1248,1277
1539954753,1261,1290
1539956665,1256,1286
1539958595,1263,1293
1539960501,1261,1288
1539962430,1255,1282
1539964611,1255,1281
1539966741,1259,1285
1539968659,1262,1288
1539970588,1285,1312
1539972524,1278,1304
1539974430,1292,1320
1539976360,1320,1348
1539978273,1316,1347
1539980192,1336,1367
1539982109,1348,1380
1539984040,1354,1386
1539985955,1352,1384
1539987871,1367,1399
1539989772,1373,1406
1539991707,1383,1419
1539993647,1387,1424
1539995559,1386,1423
1539997475,1384,1421
1539999376,1386,1424
1540001311,1388,1425
1540003250,1382,1419
1540005164,1390,1428
1540007058,1389,1426
1540011133,1345,1381
1540014985,1328,1362
1540017161,1319,1355
1540019069,1316,1352
1540020971,1310,1346
1540022896,1308,1344
1540024835,1317,1355
1540026761,1307,1345
1540028654,1300,1338
1540030589,1292,1331
1540036337,1248,1287
1540040184,1208,1244
1540042094,1196,1235
1540044036,1182,1219
1540045944,1190,1228
1540047868,1182,1220
1540049791,1173,1211
1540051747,1172,1210
1540053620,1176,1214
1540055543,1179,1216
1540057460,1182,1219
1540059382,1187,1223
1540061298,1175,1213
1540063214,1173,1212
1540065153,1168,1205
1540067072,1161,1198
1540068979,1156,1193
1540070894,1155,1192
1540072845,1155,1192
1540076674,1128,1166
1540078584,1116,1154
1540080512,1117,1156
1540082439,1115,1154
1540084343,1114,1154
1540088191,1104,1142
