DateTime,AddedIPs,RemovedIPs
1539744508,17,0
1539746436,14,15
1539748390,8,10
1539750257,8,14
1539752171,13,12
1539754107,18,12
1539756031,13,21
1539757974,24,15
1539759871,15,9
1539761785,20,22
1539765617,17,25
1539767534,7,10
1539769465,15,7
1539771380,11,5
1539773555,15,5
1539775463,8,6
1539777372,15,15
1539779305,19,10
1539781235,15,8
1539783139,23,21
1539785074,12,15
1539786995,10,15
1539788918,7,7
1539791059,8,5
1539792999,14,6
1539794892,10,9
1539796818,14,12
1539798750,12,16
1539800667,10,0
1539802568,13,12
1539804507,18,6
1539806437,3,8
1539808355,10,21
1539810512,5,5
1539812427,9,10
1539814341,11,5
1539816260,9,8
1539818187,10,11
1539820099,17,9
1539822017,16,15
1539823970,9,10
1539825852,7,0
1539827788,7,16
1539829934,12,16
1539831858,12,0
1539833795,11,0
1539835716,5,18
1539837624,11,13
1539839554,16,13
1539841698,21,11
1539843634,25,7
1539845538,18,13
1539847472,14,19
1539849370,13,19
1539851308,10,10
1539853397,19,20
1539855618,6,7
1539857540,10,5
1539859463,14,9
1539861384,18,7
1539863292,15,26
1539865228,13,12
1539867142,14,0
1539869053,23,8
1539870982,11,8
1539872893,15,8
1539874847,12,0
1539876737,14,11
1539878667,12,10
1539880570,11,7
1539884653,21,17
1539886602,14,0
1539890431,14,22
1539892340,11,13
1539894270,9,10
1539896199,14,5
1539898096,17,9
1539900038,8,7
1539901956,12,18
1539903874,15,4
1539906043,10,6
1539908184,11,5
1539910107,10,8
1539912009,6,11
1539913943,14,13
1539915856,13,0
1539917803,14,13
1539919691,14,0
1539921677,18,0
1539923538,23,12
1539925463,10,14
1539927379,10,9
1539929298,30,0
1539931213,20,15
1539933139,19,14
1539935052,23,15
1539936986,6,0
1539938894,18,17
1539940941,11,7
1539942746,12,0
1539944671,19,9
1539946569,15,16
1539948758,10,25
1539950916,13,0
1539952822,10,0
1539954753,14,15
1539956665,18,18
1539958595,15,4
1539960501,19,12
1539962430,14,7
1539964611,10,11
1539966741,17,13
1539968659,11,29
1539970588,9,10
1539972524,17,13
1539974430,23,25
1539976360,16,0
1539978273,13,0
1539980192,19,0
1539982109,16,8
1539984040,17,4
1539985955,16,7
1539987871,17,6
1539989772,15,13
1539991707,20,14
1539993647,14,19
1539995559,12,19
1539997475,8,10
1539999376,7,11
1540001311,10,3
1540003250,7,15
1540005164,11,14
1540007058,9,7
1540011133,12,28
1540014985,18,28
1540017161,16,0
1540019069,25,24
1540020971,13,11
1540022896,18,21
1540024835,8,21
1540026761,8,10
1540028654,3,9
1540030589,6,3
1540036337,17,27
1540040184,5,12
1540042094,10,12
1540044036,8,26
1540045944,13,0
1540047868,9,31
1540049791,11,0
1540051747,8,8
1540053620,14,31
1540055543,13,0
1540057460,14,0
1540059382,16,9
1540061298,13,2
1540063214,21,13
1540065153,8,8
1540067072,13,9
1540068979,14,11
1540070894,15,10
1540072845,13,0
1540076674,13,27
1540078584,8,5
1540080512,11,5
1540082439,6,12
1540084343,8,4
1540088191,17,19
1540090095,18,6
1540092028,10,18
1540093942,15,18
1540095861,14,11
1540097784,12,11
1540101640,11,32
1540103546,16,20
1540105714,13,9
1540107856,14,26
1540109788,11,6
1540111693,13,11
1540113855,5,5
1540117690,22,7
1540119624,13,11
1540121543,15,0
1540123470,11,8
1540125371,12,8
1540127810,8,6
1540129694,21,0
1540131622,16,6
1540133535,6,14
1540135472,12,11
1540137371,15,0
1540139794,18,20
1540141712,14,6
1540143617,12,0
1540145550,19,26
1540147457,18,8
1540149382,18,10
1540151296,6,8
1540153210,11,6
1540155135,17,14
1540157053,22,7
1540158985,24,0
1540162833,15,18
1540164739,13,14
1540166657,15,0
1540168582,6,7
1540170511,16,20
1540172419,13,9
1540174340,22,17
1540176253,21,7
1540178176,13,9
