DateTime,AddedIPs,RemovedIPs
1540309474,296,226
1540310426,235,18
1540311384,271,217
1540312339,259,215
1540313319,245,268
1540314519,249,477
1540315473,249,241
1540316431,263,248
1540317390,253,250
1540318355,262,250
1540319294,242,230
1540320258,245,208
1540321246,1834,282
1540322201,211,217
1540323155,257,223
1540324117,219,244
1540325079,232,232
1540326011,233,195
1540326983,234,210
1540327962,256,211
1540328896,222,231
1540329861,239,196
1540330817,229,214
1540331778,284,346
1540332744,246,253
1540333691,273,195
1540334672,229,224
1540335643,282,399
1540336600,223,232
1540337556,207,253
1540338493,217,16
1540339481,252,511
1540340453,204,250
1540341401,276,216
1540342362,220,261
1540343321,212,229
1540344275,204,230
1540345483,239,271
1540346458,223,228
1540347401,230,234
1540348335,219,248
1540349301,251,245
1540350265,213,264
1540351213,222,267
1540352196,246,246
1540353131,238,253
1540354115,225,239
1540355067,367,212
1540356020,223,219
1540356991,250,217
1540357957,218,273
1540358932,265,260
1540360097,229,265
1540361068,243,236
1540362024,230,257
1540362991,287,255
1540363943,324,274
1540365144,277,241
1540366095,254,279
1540367082,231,239
1540368262,297,283
1540369235,230,249
1540370179,269,253
1540371142,239,283
1540372124,238,249
1540373060,230,235
1540374011,287,275
1540374998,288,250
1540375936,247,237
1540377040,223,283
1540378101,272,251
1540379079,252,230
1540380256,250,254
1540381219,237,236
1540382172,237,295
1540383224,255,226
1540384358,263,433
1540385542,237,248
1540386498,226,247
1540387455,260,263
1540388412,245,240
1540389391,236,238
1540390342,222,230
1540391311,254,269
1540392272,265,266
1540393473,256,221
1540394413,254,218
1540395389,286,238
1540396355,247,249
1540397352,229,244
1540398277,241,231
1540399211,223,250
1540400278,248,217
1540401650,245,193
1540402589,229,235
1540403539,245,249
1540404500,189,227
1540405459,218,241
1540406419,230,235
1540407398,225,260
1540408337,233,1844
1540409297,204,222
1540410271,238,214
1540411235,202,223
1540412189,250,237
1540413142,213,242
1540414097,232,226
1540415067,258,234
1540416020,244,236
1540416981,244,228
1540417950,242,237
1540418915,245,263
1540431163,368,2756
1540432335,11,222
1540433312,55,440
1540434271,81,269
1540435212,113,260
1540436178,120,274
1540437140,110,241
1540438093,83,263
1540439078,63,279
1540440025,60,324
1540441005,72,289
1540441944,66,377
1540442911,74,293
1540443883,76,281
1540444842,71,291
1540446031,75,295
1540446978,104,278
1540447950,78,284
1540448896,102,328
1540449864,85,372
1540450832,91,415
1540451791,87,341
1540452743,81,357
1540453707,88,347
1540454682,101,341
1540455646,113,278
1540456601,91,360
1540457545,116,344
1540458525,56,326
1540459477,13,342
1540460436,26,370
1540461400,11,295
1540462350,16,292
1540464387,17,306
1540465731,31,692
1540466896,11,356
1540467866,11,348
1540468872,8,356
1540469804,28,350
1540470757,204,11
1540471721,506,454
1540472704,477,358
1540473611,480,329
1540474579,406,429
1540475559,436,373
1540476513,368,362
1540477478,461,354
1540478414,501,396
1540479390,488,381
1540480335,409,359
1540481298,482,386
1540482261,518,417
1540483249,339,362
1540484181,563,352
1540485141,507,357
1540486095,575,391
1540487099,539,346
1540488273,550,364
1540489241,506,364
1540490202,383,356
1540491164,473,284
1540492349,443,315
1540493318,463,328
1540494258,461,346
1540495221,439,304
1540496181,468,314
1540497142,444,299
1540498105,393,293
1540499063,488,365
1540500017,459,325
1540500990,447,349
1540501961,508,324
1540502896,492,339
1540503855,409,322
1540504828,434,309
1540505787,500,510
1540506745,409,23
1540507692,435,19
1540508927,456,18
1540510096,333,17
1540511077,407,22
1540512038,392,16
1540512981,428,23
1540513940,359,22
1540514899,398,18
1540515861,426,17
1540516824,371,22
1540517785,354,17
1540518758,361,67
