DateTime,Entries,UniqueIPs
1540309474,38824,38824
1540310426,39041,39041
1540311384,39095,39095
1540312339,39139,39139
1540313319,39116,39116
1540314519,38888,38888
1540315473,38896,38896
1540316431,38911,38911
1540317390,38914,38914
1540318355,38926,38926
1540319294,38938,38938
1540320258,38975,38975
1540321246,40527,40527
1540322201,40521,40521
1540323155,40555,40555
1540324117,40530,40530
1540325079,40530,40530
1540326011,40568,40568
1540326983,40592,40592
1540327962,40637,40637
1540328896,40628,40628
1540329861,40671,40671
1540330817,40686,40686
1540331778,40624,40624
1540332744,40617,40617
1540333691,40695,40695
1540334672,40700,40700
1540335643,40583,40583
1540336600,40574,40574
1540337556,40528,40528
1540338493,40729,40729
1540339481,40470,40470
1540340453,40424,40424
1540341401,40484,40484
1540342362,40443,40443
1540343321,40426,40426
1540344275,40400,40400
1540345483,40368,40368
1540346458,40363,40363
1540347401,40359,40359
1540348335,40330,40330
1540349301,40336,40336
1540350265,40285,40285
1540351213,40240,40240
1540352196,40240,40240
1540353131,40225,40225
1540354115,40211,40211
1540355067,40366,40366
1540356020,40370,40370
1540356991,40403,40403
1540357957,40348,40348
1540358932,40353,40353
1540360097,40317,40317
1540361068,40324,40324
1540362024,40297,40297
1540362991,40329,40329
1540363943,40379,40379
1540365144,40415,40415
1540366095,40390,40390
1540367082,40382,40382
1540368262,40396,40396
1540369235,40377,40377
1540370179,40393,40393
1540371142,40349,40349
1540372124,40338,40338
1540373060,40333,40333
1540374011,40345,40345
1540374998,40383,40383
1540375936,40393,40393
1540377040,40333,40333
1540378101,40354,40354
1540379079,40376,40376
1540380256,40372,40372
1540381219,40373,40373
1540382172,40315,40315
1540383224,40344,40344
1540384358,40174,40174
1540385542,40163,40163
1540386498,40142,40142
1540387455,40139,40139
1540388412,40144,40144
1540389391,40142,40142
1540390342,40134,40134
1540391311,40119,40119
1540392272,40118,40118
1540393473,40153,40153
1540394413,40189,40189
1540395389,40237,40237
1540396355,40235,40235
1540397352,40220,40220
1540398277,40230,40230
1540399211,40203,40203
1540400278,40234,40234
1540401650,40286,40286
1540402589,40280,40280
1540403539,40276,40276
1540404500,40238,40238
1540405459,40215,40215
1540406419,40210,40210
1540407398,40175,40175
1540408337,38564,38564
1540409297,38546,38546
1540410271,38570,38570
1540411235,38549,38549
1540412189,38562,38562
1540413142,38533,38533
1540414097,38539,38539
1540415067,38563,38563
1540416020,38571,38571
1540416981,38587,38587
1540417950,38592,38592
1540418915,38574,38574
1540431163,36186,36186
1540432335,35975,35975
1540433312,35590,35590
1540434271,35402,35402
