DateTime,Entries,UniqueIPs
1540305633,2144,2148
1540306588,2136,2140
1540307560,2143,2147
1540308516,2142,2146
1540309471,2148,2152
1540310422,2161,2165
1540311382,2158,2162
1540312338,2170,2174
1540313318,2179,2183
1540314518,2165,2169
1540315470,2166,2170
1540316428,2162,2166
1540317388,2169,2173
1540318353,2165,2169
1540319291,2170,2173
1540320256,2185,2188
1540321244,2197,2200
1540322199,2204,2207
1540323154,2208,2211
1540324114,2204,2207
1540325076,2200,2203
1540326009,2203,2206
1540326982,2202,2205
1540327959,2213,2216
1540328895,2214,2217
1540329858,2215,2218
1540330815,2211,2214
1540331777,2212,2215
1540332742,2213,2216
1540333689,2222,2225
1540334669,2224,2227
1540335641,2216,2219
1540336599,2210,2213
1540337555,2218,2221
1540338492,2228,2231
1540339480,2203,2206
1540340452,2183,2186
1540341399,2187,2190
1540342360,2179,2182
1540343318,2168,2171
1540344272,2155,2158
1540345481,2150,2153
1540346456,2146,2149
1540347399,2137,2140
1540348333,2133,2136
1540349298,2121,2124
1540350263,2115,2117
1540351211,2099,2101
1540352194,2094,2096
1540353130,2083,2085
1540354113,2081,2083
1540355065,2079,2081
1540356019,2092,2094
1540356989,2099,2101
1540357955,2092,2094
1540358930,2105,2107
1540360096,2107,2110
1540361066,2114,2117
1540362021,2115,2118
1540362989,2116,2119
1540363940,2116,2119
1540365142,2124,2127
1540366093,2119,2122
1540367079,2124,2127
1540368260,2114,2117
1540369233,2119,2122
1540370178,2146,2149
1540371140,2152,2155
1540372123,2153,2156
1540373058,2156,2159
1540374010,2166,2169
1540374996,2184,2187
1540375933,2184,2187
1540377038,2178,2181
1540378100,2183,2186
1540379076,2195,2198
1540380253,2192,2195
1540381217,2193,2197
1540382171,2199,2203
1540383222,2198,2202
1540384356,2204,2208
1540385539,2210,2214
1540386496,2210,2214
1540387452,2202,2205
1540388410,2210,2213
1540389389,2216,2219
1540390341,2223,2226
1540391308,2208,2211
1540392270,2214,2217
1540393471,2219,2222
1540394411,2223,2226
1540395387,2231,2234
1540396354,2229,2232
1540397350,2235,2238
1540398275,2235,2238
1540399209,2233,2236
1540400275,2238,2241
1540401649,2241,2244
1540402586,2239,2242
1540403537,2238,2242
1540404498,2238,2243
1540405457,2239,2244
1540406417,2245,2250
1540407397,2251,2256
1540408335,2251,2256
1540409295,2262,2267
1540410269,2264,2269
1540411233,2261,2266
1540412187,2264,2269
1540413141,2262,2267
1540414095,2262,2267
1540415064,2261,2266
1540416017,2262,2267
1540416980,2263,2268
1540417947,2264,2269
1540418914,2255,2260
1540433310,1950,1953
1540434268,1930,1933
1540435209,1914,1917
1540436173,1908,1911
1540437138,1893,1896
1540438091,1880,1883
1540439074,1861,1864
1540440023,1846,1849
1540441003,1834,1837
1540441942,1820,1823
1540442906,1805,1808
1540443880,1792,1795
1540444839,1776,1779
1540446028,1756,1759
1540446974,1742,1745
1540447946,1729,1732
1540448894,1707,1710
1540449860,1693,1696
1540450829,1678,1681
1540451788,1666,1669
1540452740,1650,1653
1540453704,1628,1631
1540454679,1613,1616
1540455643,1604,1607
1540456599,1591,1594
1540457541,1580,1583
1540459474,1539,1542
1540460433,1524,1527
1540461398,1516,1519
1540462348,1496,1499
1540464385,1485,1488
1540465729,1461,1464
1540466893,1449,1452
1540467862,1437,1440
1540468871,1425,1428
1540469803,1408,1411
1540470755,1411,1414
1540471719,1419,1422
1540472681,1437,1440
1540473609,1461,1464
1540474577,1468,1471
1540475554,1489,1492
1540476511,1502,1505
1540477476,1517,1520
1540478411,1538,1541
1540479379,1563,1567
1540480334,1579,1583
1540481296,1589,1593
1540482258,1598,1602
1540483248,1614,1618
1540484179,1624,1628
1540485140,1614,1618
1540486093,1637,1641
1540487084,1659,1663
1540488271,1697,1701
1540489236,1713,1717
1540490200,1729,1733
1540491161,1733,1737
1540492347,1742,1746
1540493317,1756,1760
1540494257,1773,1777
1540495218,1787,1791
1540496179,1794,1798
1540497139,1796,1800
1540498104,1787,1791
1540499061,1790,1794
1540500016,1792,1796
1540500989,1812,1816
1540501957,1824,1828
1540502894,1813,1817
1540503852,1822,1826
1540504826,1830,1834
1540505781,1608,1611
1540506744,1619,1622
1540507690,1639,1642
1540508925,1665,1668
1540510094,1677,1680
1540511075,1690,1693
1540512036,1711,1714
1540512980,1729,1732
1540513938,1741,1744
1540514898,1772,1775
1540515858,1803,1806
1540516822,1838,1841
1540517783,1874,1877
1540518755,1896,1899
1540519725,1916,1919
1540520670,1910,1913
1540521629,1904,1907
1540522590,1899,1902
1540523557,1890,1893
1540525478,1867,1870
1540526413,1871,1874
1540527383,1858,1861
1540528342,1853,1856
1540529299,1913,1916
1540530263,1947,1950
1540531215,1971,1974
1540532441,1982,1985
1540533369,2006,2009
1540534362,2008,2011
1540535293,2025,2028
1540536255,2041,2044
1540537216,2031,2034
1540538201,2013,2016
1540539139,2026,2029
1540540118,2014,2017
1540541069,2042,2045
1540542013,2040,2043
1540542982,2052,2055
1540543935,2075,2078
1540544922,2080,2083
1540545871,2086,2089
1540546809,2106,2109
1540547773,2116,2119
1540548749,2117,2120
1540549943,2123,2126
1540550893,2122,2125
1540552122,2141,2144
1540553073,2147,2150
1540554029,2156,2159
1540554990,2170,2173
1540555963,2176,2179
1540556927,2187,2190
1540557860,2202,2206
1540558829,2217,2221
1540559775,2221,2225
1540560760,2222,2226
1540561698,2224,2228
1540562661,2228,2232
1540563617,2230,2234
1540564840,2221,2225
1540565818,2223,2226
1540566766,2229,2232
1540567939,2237,2240
1540568899,2238,2241
1540569861,2249,2252
1540570825,2254,2258
1540571781,2252,2256
1540572738,2250,2253
1540573708,2246,2248
1540574652,2251,2253
1540575615,2251,2253
1540576579,2255,2257
1540577548,2256,2258
1540578497,2257,2259
1540579458,2259,2261
1540580420,2259,2261
1540581397,2260,2262
1540582338,2267,2269
1540583298,2269,2271
1540584264,2270,2272
1540585469,2256,2258
1540586428,2261,2263
1540587410,2270,2272
1540588359,2275,2277
1540589288,2283,2285
1540590254,2273,2275
1540591246,2271,2273
1540592181,2282,2284
1540593142,2291,2293
1540594092,2297,2299
1540595082,2308,2310
1540596527,2338,2340
1540597710,2355,2357
1540598680,2374,2376
1540599609,2401,2403
1540600579,2428,2430
1540601531,2445,2447
1540602507,2469,2471
1540603454,2485,2487
1540604419,2514,2516
1540605391,2534,2536
1540606352,2562,2564
1540607287,2585,2587
1540608265,2603,2605
1540609218,2622,2624
1540610181,2640,2643
1540611141,2654,2657
1540612102,2664,2667
1540613073,2678,2681
1540614024,2690,2693
1540614982,2712,2715
1540615943,2725,2728
1540616912,2742,2745
1540617872,2752,2755
1540618832,2766,2769
1540619797,2784,2787
1540620757,2797,2800
1540621693,2806,2809
1540622660,2817,2820
1540623642,2841,2844
1540624582,2864,2867
1540625563,2877,2880
1540626494,2891,2894
1540627484,2909,2912
1540628423,2920,2923
1540629395,2946,2949
1540630341,2967,2970
1540631305,2985,2988
1540632251,3005,3008
1540633221,3021,3024
1540634179,3033,3036
1540635145,3044,3048
1540636088,3054,3058
1540637081,3072,3076
1540638015,3081,3085
1540639116,3096,3100
1540640178,3111,3115
1540641135,3128,3132
1540642102,3145,3149
1540643059,3161,3165
1540644025,3150,3153
1540644976,3110,3113
1540645939,3099,3101
1540646914,3078,3080
1540647853,3067,3069
1540648836,3065,3067
1540649785,3058,3060
1540650744,3010,3011
1540651697,2988,2989
1540652665,2981,2982
1540653609,2952,2953
1540654589,2935,2936
1540655535,2907,2908
1540656559,2889,2890
1540657696,2868,2869
1540658662,2848,2849
1540659626,2813,2814
1540660589,2780,2781
1540661532,2738,2739
1540662623,2730,2731
1540663688,2726,2727
1540664652,2704,2705
1540665614,2691,2692
1540666568,2680,2681
1540667555,2677,2678
1540668490,2670,2671
1540669454,2663,2664
1540670415,2660,2661
1540671381,2644,2645
1540672337,2630,2631
1540673292,2606,2607
1540674524,2594,2596
1540675707,2566,2568
1540676668,2549,2551
1540677620,2562,2564
1540678581,2555,2557
1540679540,2542,2544
1540680492,2519,2521
1540681498,2473,2475
1540682441,2489,2491
1540683369,2468,2470
1540684337,2464,2466
1540685310,2448,2450
1540686266,2426,2428
1540687209,2418,2420
1540688427,2432,2434
1540689639,2428,2430
1540690592,2425,2428
1540691578,2431,2434
1540692517,2422,2425
1540693473,2436,2439
1540694409,2446,2449
1540695374,2460,2463
1540696343,2476,2479
1540697293,2485,2488
1540698272,2497,2500
1540699216,2513,2516
1540700181,2518,2521
1540701146,2515,2518
1540702106,2494,2497
1540703057,2461,2464
1540704018,2446,2449
1540704988,2432,2435
1540705933,2417,2420
1540706910,2408,2411
1540707857,2425,2428
1540709057,2423,2426
1540710018,2411,2414
1540710989,2385,2388
1540711939,2402,2405
1540712897,2392,2394
1540713858,2408,2410
1540714809,2411,2413
1540715789,2407,2409
1540716760,2372,2374
1540717942,2372,2374
1540718889,2379,2381
1540719873,2369,2371
1540720814,2365,2367
1540721776,2373,2375
1540722739,2368,2370
1540723694,2370,2372
1540724665,2356,2358
1540725608,2343,2345
1540726574,2357,2359
1540727536,2344,2346
1540728504,2341,2343
1540729468,2342,2344
1540730419,2348,2350
1540731373,2346,2348
1540732339,2345,2347
1540733304,2350,2352
1540734270,2342,2344
1540735213,2351,2353
1540736188,2343,2345
1540737139,2353,2355
1540738093,2354,2356
1540739064,2356,2358
1540740013,2355,2357
1540741001,2356,2358
1540741934,2367,2369
1540742933,2367,2369
1540743855,2368,2371
1540744830,2365,2368
1540745774,2361,2364
1540747256,2360,2362
1540748415,2360,2362
1540749393,2350,2352
1540750344,2354,2356
1540751299,2348,2350
1540752252,2349,2351
1540753242,2349,2351
1540754178,2349,2351
1540755142,2344,2346
1540756092,2354,2356
1540757081,2357,2359
1540758007,2351,2353
1540758975,2344,2346
1540759938,2346,2348
1540760905,2358,2360
1540761852,2356,2358
1540762815,2363,2365
1540763775,2356,2358
1540764742,2359,2361
1540765688,2363,2365
1540766674,2360,2362
1540767614,2365,2367
1540768584,2357,2359
1540769538,2351,2353
1540770503,2347,2349
1540771463,2221,2223
1540772415,2231,2233
1540773380,2216,2218
1540774341,2213,2215
1540775318,2267,2269
1540776278,2252,2254
1540777485,2253,2255
1540778660,2247,2249
1540779621,2242,2244
1540780579,2247,2249
1540781539,2236,2238
1540782524,2236,2238
1540783468,2233,2235
1540784409,2229,2231
1540785373,2231,2233
1540786366,2236,2238
1540787289,2235,2237
1540788514,2219,2221
1540789478,2217,2219
1540790437,2233,2235
1540791400,2234,2236
1540792353,2246,2248
1540793301,2258,2260
1540794254,2262,2264
1540795212,2278,2280
1540796176,2258,2260
1540797156,2229,2231
1540798091,2209,2211
1540799058,2188,2190
1540800040,2167,2169
1540800988,2169,2171
1540801963,2197,2199
1540803136,2219,2221
1540804101,2235,2237
1540805053,2232,2234
1540806020,2247,2249
1540806990,2260,2262
1540807954,2255,2257
1540808911,2248,2250
1540809876,2241,2243
1540810814,2240,2242
1540811779,2238,2240
