DateTime,AddedIPs,RemovedIPs
1540310426,45,46
1540311384,37,48
1540312339,56,42
1540313319,40,32
1540314519,32,36
1540315473,33,39
1540316431,30,48
1540317390,38,48
1540318355,38,42
1540319294,47,47
1540320258,47,44
1540321246,161,48
1540322201,38,253
1540323155,32,61
1540324117,37,30
1540325079,36,55
1540326011,48,70
1540326983,42,57
1540327962,43,57
1540328896,46,54
1540329861,34,45
1540330817,24,59
1540331778,33,49
1540332744,34,59
1540333691,34,48
1540334672,45,69
1540335643,34,45
1540336600,36,35
1540337556,36,73
1540338493,41,59
1540339481,29,52
1540340453,36,55
1540341401,43,39
1540342362,46,40
1540343321,36,57
1540344275,27,45
1540345483,37,49
1540346458,28,48
1540347401,30,65
1540348335,34,55
1540349301,38,52
1540350265,28,49
1540351213,29,50
1540352196,40,69
1540353131,49,69
1540354115,37,53
1540355067,65,46
1540356020,41,64
1540356991,35,65
1540357957,37,57
1540358932,60,61
1540360097,43,45
1540361068,39,45
1540362024,49,52
1540362991,49,67
1540363943,55,62
1540365144,45,87
1540366095,29,35
1540367082,41,52
1540368262,44,55
1540369235,52,66
1540370179,61,49
1540371142,44,58
1540372124,40,54
1540373060,30,53
1540374011,45,53
1540374998,61,58
1540375936,45,54
1540377040,39,0
1540378101,55,91
1540379079,51,55
1540380256,34,43
1540381219,45,54
1540382172,38,58
1540383224,33,50
1540384358,48,61
1540385542,32,63
1540386498,36,60
1540387455,48,48
1540388412,33,72
1540389391,28,47
1540390342,36,56
1540391311,34,41
1540392272,48,51
1540393473,46,100
1540394413,51,0
1540395389,45,36
1540396355,33,85
1540397352,40,57
1540398277,43,0
1540399211,30,54
1540400278,38,91
1540401650,34,38
1540402589,33,56
1540403539,43,43
1540404500,43,57
1540405459,31,0
1540406419,31,103
1540407398,32,43
1540408337,37,0
1540409297,35,82
1540410271,30,49
1540411235,36,54
1540412189,31,43
1540413142,28,0
1540414097,35,105
1540415067,27,0
1540416020,28,112
1540416981,37,57
1540417950,30,0
1540418915,31,105
1540431163,39,612
1540432335,0,60
1540433312,2,91
1540434271,6,48
1540435212,6,0
1540436178,11,52
1540437140,11,105
1540438093,12,0
1540439078,7,103
1540440025,5,0
1540441005,5,87
1540441944,4,53
1540442911,6,53
1540443883,8,54
1540444842,6,39
1540446031,7,40
1540446978,9,53
1540447950,9,46
1540448896,17,55
1540449864,10,45
1540450832,7,62
1540451791,7,60
1540452743,15,55
1540453707,8,41
1540454682,10,39
1540455646,7,45
1540456601,9,41
1540457545,15,46
1540458525,5,52
1540459477,0,50
1540460436,0,59
1540461400,0,55
1540462350,0,51
1540463312,0,63
1540464387,0,45
1540465731,0,47
1540466896,0,33
1540467866,0,51
1540468872,0,43
1540469804,0,51
1540470757,21,45
1540471721,55,50
1540472704,31,50
1540473611,39,61
1540474579,49,47
1540475559,43,47
1540476513,20,43
1540477478,53,52
1540478414,64,49
1540479390,34,37
1540480335,37,46
1540481298,53,43
1540482261,64,39
1540483249,61,36
1540484181,87,45
1540485141,60,42
1540486095,85,31
1540487099,88,35
1540488273,81,42
1540489241,59,57
1540490202,55,38
1540491164,57,45
1540492349,60,46
1540493318,69,35
1540494258,60,30
1540495221,73,33
1540496181,58,38
1540497142,60,29
1540498105,64,33
1540499063,59,33
1540500017,50,35
1540500990,58,37
1540501961,54,36
1540502896,64,39
1540503855,67,24
1540504828,54,29
1540505787,64,38
1540506745,63,25
1540507692,63,23
1540508927,54,72
1540510096,47,28
1540511077,62,40
1540512038,53,25
1540512981,48,42
1540513940,56,36
1540514899,64,38
1540515861,74,46
1540516824,59,38
1540517785,69,21
1540518758,58,33
1540519726,59,34
1540520671,69,31
1540521630,78,24
1540522592,61,38
1540523560,61,28
1540524491,50,28
1540525480,48,37
1540526416,78,32
1540527385,62,30
1540528343,44,30
1540529301,81,34
1540530266,47,37
1540531217,56,35
1540532443,56,48
1540533371,70,42
1540534364,66,41
1540535295,52,45
1540536258,35,40
1540537219,61,36
1540538204,46,40
1540539141,47,39
1540540119,49,41
1540541071,55,53
1540542016,48,41
1540542984,49,44
1540543937,65,45
1540544925,41,38
1540545873,38,42
1540546811,54,51
1540547776,46,49
1540548751,43,48
1540549944,42,47
1540550894,46,36
1540552124,32,44
1540553074,36,44
1540554031,40,54
1540554992,39,36
1540555964,38,42
1540556928,45,42
1540557863,50,34
1540558831,46,59
1540559777,33,48
1540560762,34,50
1540561701,33,36
1540562663,37,44
1540563619,29,42
1540564841,41,37
1540565819,40,46
1540566768,31,34
1540567941,44,72
1540568901,41,45
1540569863,32,0
1540570827,44,84
1540571783,44,33
1540572740,39,39
1540573709,40,51
1540574653,31,0
1540575617,39,88
1540576582,39,0
1540577550,23,48
1540578500,41,46
1540579461,50,26
1540580423,27,30
1540581399,36,69
1540582340,35,35
1540583300,30,0
1540584266,28,33
1540585472,39,96
1540586430,44,32
1540587413,43,30
1540588361,33,42
1540589290,37,40
1540590256,42,35
1540591248,34,37
1540592183,40,42
1540593144,32,37
1540594094,38,33
1540595084,42,29
1540596529,45,24
1540597712,43,65
1540598683,49,33
1540599611,40,0
1540600581,32,66
1540601532,45,0
1540602510,53,38
1540603456,48,35
1540604421,48,33
1540605393,52,29
1540606353,62,26
1540607288,38,33
1540608268,44,37
1540609220,45,34
1540610183,38,24
1540611142,25,25
1540612105,30,38
1540613076,37,33
1540614025,40,22
1540614984,39,32
1540615944,38,30
1540616914,41,27
1540617874,48,28
1540618834,32,39
1540619799,45,30
1540620759,28,32
1540621695,38,37
1540622663,48,39
1540623643,45,36
1540624584,39,0
1540625565,38,30
1540626496,43,34
1540627487,31,30
1540628424,44,42
1540629397,45,50
1540630344,47,49
1540631307,41,48
1540632254,33,39
1540633223,38,35
1540634181,31,33
1540635147,44,4
1540636091,40,12
1540637084,45,13
1540638018,40,11
1540639119,41,36
1540640180,49,44
1540641137,39,64
1540642104,37,43
1540643062,44,49
1540644027,34,74
1540644977,29,35
1540645942,41,46
1540646915,32,45
1540647856,30,51
1540648838,32,29
1540649787,31,38
1540650746,27,53
1540651699,29,34
1540652667,37,44
1540653611,31,32
1540654591,41,31
1540655536,50,40
1540656561,45,35
1540657698,40,24
1540658665,44,39
1540659628,30,29
1540660591,36,36
1540661534,36,33
1540662625,44,19
1540663691,65,28
1540664655,56,31
1540665616,33,24
1540666570,58,27
1540667556,51,177
1540668492,28,0
1540669456,48,24
1540670417,37,29
1540671383,38,20
1540672338,44,42
1540673294,24,21
1540674526,42,51
1540675708,23,43
1540676671,45,23
1540677622,37,21
1540678583,36,29
1540679541,38,30
1540680494,39,27
1540681499,40,30
1540682443,30,26
1540683371,29,33
1540684338,44,31
1540685311,44,39
1540686269,58,35
1540687211,43,0
1540688429,66,63
1540689641,49,33
1540690594,63,37
1540691580,54,31
1540692519,52,39
1540693476,49,48
1540694410,33,28
1540695377,39,34
1540696345,48,27
1540697294,38,37
1540698275,41,22
1540699219,27,51
1540700182,43,42
1540701147,39,44
1540702110,46,41
1540703060,35,42
1540704020,24,28
1540704990,36,39
1540705936,37,33
1540706911,32,45
1540707860,42,45
1540709060,29,43
1540710020,25,34
1540710991,34,47
1540711941,32,31
1540712899,32,44
1540713861,28,40
1540714810,37,38
1540715791,39,35
1540716762,32,42
1540717944,35,41
1540718891,36,41
1540719875,38,37
1540720817,26,42
1540721778,46,42
1540722740,33,34
1540723696,39,40
1540724667,33,38
1540725610,27,40
1540726576,39,40
1540727538,37,38
1540728506,40,40
1540729471,28,50
1540730420,34,34
1540731376,28,39
1540732342,42,49
1540733305,29,29
1540734273,46,43
1540735216,32,34
1540736190,46,37
1540737141,28,36
1540738095,30,44
1540739067,33,41
1540740014,35,28
1540741002,40,59
1540741935,27,36
1540742935,22,25
1540743858,39,35
1540744831,22,33
1540745776,32,43
1540747258,31,61
1540748417,20,34
1540749395,31,36
1540750346,25,44
1540751300,37,43
1540752255,42,28
1540753243,25,27
1540754179,39,34
1540755144,23,24
1540756093,30,36
1540757084,28,22
1540758009,47,21
1540758977,36,13
1540759940,46,23
1540760906,26,30
1540761854,31,20
1540762817,28,25
1540763776,39,17
1540764745,29,30
