DateTime,AddedIPs,RemovedIPs
1538514034,4,13
1538517634,1,2
1538524833,1,0
1538532034,1,0
1538539234,0,1
1538550026,1,0
1538553634,1,0
1538557229,2,0
1538568034,0,2
1538571630,0,2
1538578836,0,3
1538582425,0,1
1538586031,31,0
1538589637,9,0
1538593234,20,2
1538604036,2,0
1538611237,0,2
1538622035,10,0
1538625637,2,0
1538629237,3,0
1538632840,2,4
1538636439,0,2
1538640033,3,0
1538643641,2,0
1538647232,4,1
1538654438,1,1
1538658035,4,1
1538661634,1,1
1538665233,0,1
1538668840,0,1
1538676042,1,2
1538679629,0,1
1538683238,1,0
1538686837,51,3
1538690440,9,1
1538694041,2,3
1538697635,0,20
1538704841,1,1
1538712037,0,1
1538719242,1,1
1538722836,1,2
1538726441,1,1
1538733641,2,2
1538740831,1,1
1538744429,0,1
1538751630,1,1
1538755231,1,0
1538758833,1,1
1538766033,0,1
1538769633,0,2
1538773236,0,1
1538776842,3,0
1538780451,0,3
1538784032,0,2
1538791239,0,1
1538794840,0,1
1538809232,0,2
1538823646,1,0
1538827244,0,2
1538834437,0,2
1538841630,1,2
1538845241,1,1
1538848830,0,1
1538856039,16,0
1538859637,2,0
1538863236,1,0
1538866836,1,1
1538870439,0,4
1538874040,0,3
1538881237,0,1
1538884840,1,1
1538888436,0,14
1538892041,5,0
1538895639,1,0
1538899244,1,2
1538902840,1,0
1538910040,4,4
1538913639,4,0
1538917242,0,1
1538920840,0,1
1538924437,1,3
1538928034,0,5
1538931637,0,1
1538935233,1,2
1538942432,0,1
1538949636,1,2
1538953238,0,3
1538956839,0,3
1538964040,1,0
1538974833,1,2
1538985637,10,1
1538989240,7,0
1538992837,7,0
1538996437,5,1
1539000036,7,0
1539003640,6,0
1539007242,2,0
1539010837,1,1
1539018038,0,3
1539021646,1,3
1539025237,1,0
1539032439,1,0
1539036033,1,4
1539039639,1,1
1539043237,5,0
1539046840,4,0
1539050442,3,0
1539054039,2,0
1539061239,1,0
1539064838,2,1
1539068441,19,2
1539075641,3,26
1539079241,2,0
1539082845,1,1
1539097240,0,1
1539100833,1,0
1539108037,1,0
1539118841,0,3
