DateTime,AddedIPs,RemovedIPs
1537851631,3,0
1537855236,1,2
1537858835,1,2
1537862433,0,1
1537866031,4,1
1537873232,0,1
1537876832,2,1
1537880431,3,5
1537887641,1,1
1537891230,3,2
1537898430,2,4
1537902035,3,4
1537905632,7,7
1537909233,16,10
1537912833,1,4
1537916432,1,7
1537920036,2,5
1537923639,2,5
1537927232,1,9
1537930837,2,5
1537934426,1,5
1537938031,2,5
1537941631,2,1
1537945227,0,3
1537948825,0,3
1537952427,1,3
1537956027,0,2
1537963231,2,0
1537970440,0,1
1537974031,5,2
1537977632,2,2
1537988440,4,1
1537992031,1,1
1537999229,0,23
1538006429,0,2
1538028037,2,1
1538031631,2,0
1538038830,0,1
1538067631,1,1
1538071232,1,0
1538074830,1,0
1538082024,1,0
1538085630,0,2
1538092824,20,1
1538096427,0,1
1538103640,1,0
1538107236,2,0
1538110834,0,3
1538114436,1,0
1538118031,1,0
1538121633,0,1
1538125236,0,1
1538128831,0,1
1538136030,1,0
1538139636,0,1
1538143233,0,3
1538146832,2,0
1538150439,1,1
1538154035,0,2
1538161230,1,0
1538164838,1,17
1538168426,1,0
1538172031,4,0
1538175634,2,1
1538179231,1,0
1538182832,1,11
1538190033,3,0
1538197227,0,1
1538208029,0,38
1538211631,0,3
1538218830,2,0
1538229622,1,0
1538240426,1,0
1538244023,1,0
1538254828,1,1
1538265628,1,0
1538272827,2,0
1538280029,4,0
1538283629,17,0
1538290830,2,0
1538294427,1,0
1538305225,1,0
1538319623,2,0
1538326824,1,0
1538330424,1,0
1538337628,0,18
1538344827,1,0
1538348426,0,1
1538352026,1,0
1538395230,1,1
1538398829,1,0
1538420425,1,1
1538424034,1,0
1538427622,0,1
1538431230,1,2
1538452829,1,1
1538456431,1,0
1538460032,0,1
1538463627,2,1
1538467230,0,3
1538470832,19,0
1538474430,1,0
1538485229,1,0
1538488833,2,2
1538492428,0,1
1538510424,0,13
1538514030,3,12
1538517630,1,2
1538524828,1,0
1538532030,1,0
1538539235,0,1
1538550022,1,0
1538553631,1,0
1538557224,2,0
1538568029,0,2
1538571625,0,1
1538578831,0,2
1538586027,31,0
1538589633,9,0
1538593228,20,2
1538604032,2,0
1538611232,0,2
1538622031,10,0
1538632834,1,3
1538636435,1,1
1538640028,1,0
1538658031,2,0
1538676037,0,1
1538683234,1,0
1538694040,1,1
1538697627,0,19
1538704833,1,0
1538712030,0,1
1538719241,1,1
1538722829,0,2
1538726433,1,1
1538733633,1,2
1538740828,1,1
1538744422,0,1
1538755227,1,0
1538758828,1,1
1538766029,0,1
1538769623,0,2
1538773229,0,1
1538776825,3,0
1538780429,0,3
1538784024,0,2
1538791238,0,1
1538794827,0,1
1538809225,0,2
1538812827,1,0
1538827226,0,2
1538834423,0,2
1538841623,0,1
1538845226,1,1
1538848823,0,1
1538856027,16,0
1538859630,1,0
1538863229,1,0
1538870427,0,4
1538874031,0,2
1538884833,0,1
1538888427,0,14
1538892032,1,0
1538899231,0,2
1538910032,0,2
1538924429,0,2
1538928024,0,2
1538935227,0,1
1538949628,1,1
1538964032,1,0
1538974830,1,0
1538985629,10,0
1538989230,7,0
1538992830,7,0
1538996430,3,1
1539000029,7,0
1539003632,6,0
1539007234,2,0
1539010830,0,1
1539021635,1,1
1539032434,1,0
1539036025,1,4
1539039632,1,1
1539043230,5,0
1539046830,3,0
1539050433,2,0
1539054033,2,0
1539061232,1,0
1539064832,2,1
1539068434,19,2
1539075637,2,26
1539082833,0,1
1539097233,0,1
1539100841,1,0
1539108030,1,0
1539118834,0,3
1539122431,0,3
1539126036,0,1
1539129635,0,1
1539133231,0,1
1539136833,0,1
1539140432,2,0
1539147634,1,1
1539151233,0,1
1539158427,1,1
1539162023,0,1
1539172824,1,1
1539176429,0,1
1539180029,0,1
1539190840,0,26
1539194428,0,15
1539198033,2,25
1539201632,0,3
1539205228,0,1
1539208831,0,2
1539212426,1,1
1539226827,0,7
1539230431,1,4
1539234032,0,1
1539244830,0,1
1539262829,0,3
1539270023,3,0
1539273630,0,1
1539277230,3,0
1539280829,1,0
1539284430,2,1
1539288029,4,1
1539291631,9,0
1539298829,1,2
1539302432,2,0
1539306031,1,0
1539309630,0,1
1539313231,4,0
1539320430,2,0
1539324027,4,1
1539327632,1,1
1539331232,2,0
1539338425,2,0
1539342031,1,0
1539345628,1,0
1539349229,0,1
1539352829,0,2
1539360028,2,0
1539363630,0,1
1539367227,1,0
1539381627,1,1
1539385233,1,0
1539388829,1,1
1539392429,0,1
1539396029,1,3
1539399630,1,0
1539403233,0,1
1539406827,1,2
1539414029,2,0
1539417632,0,2
1539421232,1,0
1539424831,1,0
1539428431,1,1
1539457234,0,1
1539460826,0,25
1539464428,1,1
1539468026,0,1
1539471630,1,0
1539475227,0,2
1539478831,0,2
1539482432,0,1
1539496828,0,3
1539504029,0,1
1539507630,0,1
1539514825,5,0
1539525627,1,0
1539532834,1,0
1539536430,0,1
1539540032,1,1
1539550819,1,0
1539554426,0,1
1539572429,0,1
1539576031,29,0
1539579631,0,1
