DateTime,Entries,UniqueIPs
1538759041,732,732
1538762661,735,735
1538766265,734,734
1538769877,732,732
1538773442,731,731
1538777036,731,731
1538780650,729,729
1538784251,725,725
1538787854,721,721
1538791465,720,720
1538795068,718,718
1538805848,717,717
1538809456,716,716
1538813042,715,715
1538816667,711,711
1538823823,712,712
1538827489,711,711
1538834663,711,711
1538838222,711,711
1538841830,707,707
1538845449,711,711
1538849061,712,712
1538852653,714,714
1538859849,715,715
1538863453,719,719
1538867081,720,720
1538870664,715,715
1538881463,712,712
1538885066,709,709
1538888676,709,709
1538895880,709,709
1538903052,707,707
1538906664,703,703
1538910269,704,704
1538913849,705,705
1538917470,700,700
1538921068,703,703
1538928269,704,704
1538931874,704,704
1538935480,702,702
1538939052,701,701
1538942676,698,698
1538946253,691,691
1538949869,689,689
1538953482,680,680
1538957070,675,675
1538960650,668,668
1538964240,657,657
1538967851,642,642
1538971481,628,628
1538975045,624,624
1538978683,621,621
1538982241,622,622
1538985852,623,623
1538989462,624,624
1538993084,624,624
1539000258,625,625
1539003842,624,624
1539007472,623,623
1539011060,620,620
1539014674,616,616
1539018236,617,617
1539021881,615,615
1539025453,615,615
1539029062,613,613
1539032645,614,614
1539036240,612,612
1539039841,619,619
1539043465,619,619
1539047045,621,621
1539050656,619,619
1539054256,618,618
1539057864,613,613
1539061467,610,610
1539065042,605,605
1539068639,604,604
1539072246,603,603
1539075878,657,657
1539079438,655,655
1539083062,655,655
1539086664,655,655
1539090261,656,656
1539093860,657,657
1539097436,657,657
1539101080,656,656
1539104672,654,654
1539108282,651,651
1539111875,643,643
1539115461,635,635
1539119060,624,624
1539122639,615,615
1539126286,612,612
1539129868,612,612
1539133469,611,611
1539137052,612,612
1539140655,613,613
1539144267,612,612
1539147838,610,610
1539151446,608,608
1539155051,608,608
1539158645,608,608
1539162251,609,609
1539165814,607,607
1539173080,607,607
1539176660,607,607
1539183852,606,606
1539187439,609,609
1539191073,611,611
1539194660,613,613
1539198273,560,560
1539201856,563,563
1539205462,560,560
1539209069,563,563
1539212684,562,562
1539216256,565,565
1539219851,564,564
1539223444,566,566
1539227050,565,565
1539230663,562,562
1539234279,561,561
1539237873,559,559
1539241470,559,559
1539245079,557,557
1539248646,556,556
1539252290,554,554
1539259456,554,554
1539266679,553,553
1539277427,555,555
1539281067,556,556
1539284678,555,555
1539288259,554,554
1539291872,554,554
1539295471,553,553
1539299052,553,553
1539302682,553,553
1539306254,553,553
1539309851,553,553
1539313489,552,552
1539317079,550,550
1539327841,549,549
1539335046,550,550
1539338654,549,549
1539342179,543,543
1539349470,545,545
1539356607,544,544
1539360215,545,545
1539363859,545,545
1539367446,545,545
1539371083,544,544
1539374670,545,545
1539378276,548,548
1539381873,549,549
1539385461,550,550
1539389059,551,551
1539392669,549,549
1539399859,549,549
1539403464,551,551
1539407080,550,550
1539414256,551,551
1539417866,548,548
1539421472,549,549
1539425078,548,548
1539428648,549,549
1539443039,552,552
1539446619,557,557
1539450259,556,556
1539453873,556,556
1539457469,555,555
1539461067,557,557
1539464676,556,556
1539468249,554,554
1539471865,557,557
1539475458,560,560
1539479060,561,561
1539482664,560,560
1539486260,558,558
1539493466,557,557
1539497066,555,555
1539500661,553,553
1539504274,554,554
1539507869,560,560
1539511474,563,563
1539515047,562,562
1539518658,562,562
1539522204,563,563
1539525853,565,565
1539529486,567,567
1539533068,569,569
1539536649,565,565
1539540281,565,565
1539543879,564,564
1539547477,562,562
1539551024,560,560
1539554677,562,562
1539558265,560,560
