DateTime,AddedIPs,RemovedIPs
1539015070,38,63
1539018673,34,78
1539022275,26,40
1539025873,76,50
1539029479,74,31
1539033076,47,86
1539036678,36,69
1539040270,31,42
1539043871,35,69
1539047470,55,41
1539051058,62,49
1539054674,62,58
1539058270,43,55
1539061865,57,77
1539065474,44,54
1539069060,67,37
1539072670,93,55
1539076267,38,46
1539079876,38,63
1539083465,33,68
1539087056,36,65
1539090661,58,59
1539094268,125,54
1539097860,39,93
1539101467,65,89
1539105059,70,89
1539108693,484,53
1539112307,395,37
1539115922,261,47
1539119519,201,34
1539123131,120,59
1539126740,97,65
1539130331,74,36
1539133940,94,60
1539137533,80,39
1539141139,48,36
1539144740,80,71
1539148337,46,68
1539151933,45,47
1539155529,77,36
1539159137,72,36
1539162746,71,26
1539166345,42,45
1539169948,35,49
1539173552,40,37
1539177143,55,66
1539180736,49,47
1539184334,42,56
1539187930,55,75
1539191542,39,66
1539195148,38,62
1539198736,71,38
1539202345,57,38
1539205941,66,31
1539209538,39,32
1539213146,38,42
1539216752,31,40
1539220340,44,57
1539223943,45,41
1539227537,39,40
1539231142,55,63
1539234744,42,50
1539238344,31,57
1539241934,37,46
1539245543,71,26
1539249146,80,69
1539252737,42,47
1539256349,38,61
1539259934,43,50
1539263543,41,58
1539267144,65,43
1539270745,22,31
1539274343,80,68
1539277933,57,82
1539281545,54,104
1539285148,38,41
1539288747,27,60
1539292338,55,51
1539295939,52,41
1539299529,33,45
1539303142,62,62
1539306730,38,33
1539310332,36,64
1539313944,62,49
1539317541,64,39
1539321138,61,75
1539324733,32,64
1539328331,32,66
1539331929,31,45
1539335523,44,43
1539339133,45,31
1539342740,119,53
1539346324,57,52
1539349935,31,33
1539353538,39,52
1539357133,62,74
1539360741,54,77
1539364327,68,71
1539367936,40,67
1539371541,35,70
1539375139,28,34
1539378723,33,36
1539382337,52,25
1539385932,38,40
1539389539,49,46
1539393140,72,30
1539396736,36,57
1539400330,35,74
1539403939,81,54
1539407527,39,56
1539411123,19,45
1539414725,24,83
1539418319,18,37
1539421927,20,38
1539425524,16,28
1539429121,12,36
1539432723,16,70
1539436325,13,40
1539439918,16,53
1539443516,39,49
1539447126,17,33
1539450719,15,37
1539454320,19,77
1539457915,25,98
