DateTime,AddedIPs,RemovedIPs
1540393835,1,0
1540394738,2,0
1540395336,5,0
1540396237,1,0
1540396838,5,0
1540397134,7,0
1540397737,1,0
1540398929,3,0
1540400132,1,0
1540400733,11,0
1540401031,3,0
1540401636,2,0
1540401936,2,0
1540402528,5,0
1540403432,1,0
1540404336,1,0
1540404937,0,4
1540405238,0,4
1540405834,2,1
1540406434,102,0
1540406732,1,0
1540407330,8,0
1540407928,5,0
1540408527,7,0
1540408835,7,0
1540409129,6,0
1540409736,33,0
1540410634,32,0
1540410932,15,0
1540411527,102,0
1540412135,8,0
1540413633,12,0
1540413936,1,0
1540414537,9,0
1540415436,10,0
1540415735,4,0
1540416936,2,0
1540417836,1,0
1540419336,1,0
1540419932,1,0
1540420536,4,0
1540420828,1,0
1540421431,2,0
1540422032,2,0
1540422329,4,0
1540422931,1,0
1540423532,8,0
1540423830,3,0
1540424131,10,0
1540424730,2,0
1540426231,1,0
1540427131,1,15
1540428027,12,8
1540428332,2,0
1540428934,1,0
1540429532,10,0
1540430733,3,0
1540431337,10,0
1540431634,44,0
1540433135,1,0
1540433735,1,0
1540434634,6,0
1540434935,8,0
1540438531,3,0
1540440326,7,0
1540441831,1,0
1540442430,2,0
1540443632,3,0
1540444232,5,0
1540446035,14,0
1540446936,4,0
1540447831,4,0
1540448431,2,0
1540448730,2,0
1540449327,9,0
1540450838,3,0
1540451131,5,0
1540452636,6,0
1540453236,17,0
1540454130,9,0
1540455035,13,0
1540455631,1,0
1540455934,1,0
1540456529,7,0
1540458037,6,0
1540458334,2,0
1540460436,11,0
1540460735,1,0
1540461337,3,0
1540462236,14,0
1540463732,17,0
1540465238,4,0
1540465533,3,0
1540466436,1,0
1540467333,10,0
1540468234,2,0
1540468833,1,0
1540469136,1,0
1540470638,2,0
1540471237,3,0
1540471532,2,0
1540473032,1,0
1540473934,1,0
1540474533,2,0
1540476032,3,0
1540476328,2,0
1540478131,5,0
1540479336,1,0
1540480826,1,0
1540481737,15,0
1540482635,1,0
1540483529,6,0
1540485633,7,0
1540486535,1,0
1540487136,1,0
1540488634,7,0
1540489236,18,0
1540489535,1,0
