DateTime,AddedIPs,RemovedIPs
1540558229,4,0
1540558834,5,0
1540559133,2,0
1540559435,4,0
1540559737,3,0
1540560039,3,0
1540560637,6,0
1540561237,4,0
1540561534,2,0
1540562137,3,0
1540562438,1,0
1540563036,4,0
1540563337,4,0
1540563639,1,0
1540564238,2,0
1540565137,1,0
1540565735,2,0
1540566337,2,0
1540566637,3,0
1540567536,1,0
1540567834,2,0
1540568438,1,0
1540568733,1,0
1540569337,4,0
1540569639,1,0
1540570236,3,0
1540570839,4,0
1540571136,3,0
1540571735,5,0
1540572037,1,0
1540572639,3,0
1540573237,1,0
1540573531,1,0
1540574129,2,0
1540575037,6,0
1540575333,2,0
1540575937,7,0
1540576536,2,0
1540577138,3,0
1540577434,1,0
1540578037,3,0
1540578337,1,0
1540578933,2,0
1540579237,1,0
1540579832,3,0
1540580130,1,0
1540580434,1,0
1540580733,2,0
1540581034,1,0
1540581331,3,0
1540581634,3,0
1540582234,1,0
1540582833,2,0
1540583130,3,0
1540583730,2,0
1540584333,5,0
1540584929,6,0
1540585229,2,0
1540585831,7,0
1540586430,2,0
1540586729,3,0
1540587333,2,0
1540587635,2,0
1540588233,4,0
1540588838,1,0
1540589131,6,0
1540589438,4,0
1540590035,4,0
1540590629,2,0
1540591235,5,0
1540592134,5,0
1540592434,4,0
1540593038,1,0
1540593632,5,0
1540593932,1,0
1540594239,2,0
1540594829,1,0
1540596029,6,0
1540596335,3,0
1540597230,5,0
1540597529,4,0
1540598135,4,0
1540598431,3,0
1540599033,4,0
1540599331,2,0
1540599637,4,0
1540599938,2,0
1540600237,3,0
1540600528,5,0
1540600836,3,0
1540601129,3,0
1540602033,6,0
1540602337,5,0
1540602933,4,0
1540603833,3,0
1540604138,3,0
1540604736,4,0
1540605331,8,0
1540605928,6,0
1540606237,3,0
1540607135,2,0
1540607737,3,0
1540608033,5,0
1540608637,4,0
1540609537,2,0
1540610134,1,0
1540610434,1,0
1540611027,4,0
1540611630,4,0
1540611932,3,0
1540612529,4,0
1540612834,1,0
1540613435,4,0
1540614036,3,0
1540614330,3,0
1540614928,3,0
1540615828,7,0
1540616429,2,0
1540616729,1,0
1540617326,4,0
1540617631,3,0
1540618229,6,0
1540618831,5,0
1540619131,3,0
1540619730,7,0
1540620036,2,0
1540620629,2,0
1540621229,4,0
1540622137,4,0
