DateTime,AddedIPs,RemovedIPs
1540425928,0,7
1540426232,0,3
1540427131,0,10
1540427431,0,2
1540428027,0,5
1540428332,0,3
1540428935,0,1
1540443032,1,0
1540454130,1,0
1540455632,1,0
1540467333,1,0
1540469732,1,0
1540470035,0,1
1540481133,29,0
1540481737,4,0
1540482034,2,0
1540482636,4,0
1540483229,10,0
1540483529,3,0
1540484136,6,0
1540484436,8,0
1540485027,8,0
1540485633,5,0
1540485931,1,0
1540486237,2,0
1540486535,6,0
1540486836,9,0
1540487136,7,0
1540487733,13,0
1540488035,1,0
1540488634,7,0
1540489236,8,0
1540489536,9,0
1540490136,11,0
1540490438,8,0
1540491035,7,0
1540491337,2,0
1540491634,2,0
1540492234,5,0
1540492833,13,0
1540493132,2,0
1540493432,4,0
1540494027,3,0
1540494631,75,0
1540495227,2,0
1540495532,3,0
1540496126,2,0
1540496429,1,0
1540497029,14,0
1540497631,2,0
1540497927,5,0
1540498534,6,0
1540499427,5,0
1540500027,2,0
1540500329,3,0
1540500933,5,0
1540501233,3,0
1540501829,4,0
1540502130,1,0
1540502438,2,0
1540502736,2,0
1540503328,5,0
1540503637,2,0
1540504237,6,0
1540504831,5,0
1540505127,2,0
1540505731,6,0
1540506031,5,0
1540506630,6,0
1540507228,1,0
1540507532,4,0
1540507836,4,0
1540508428,5,0
1540508728,1,0
1540509630,9,0
1540509929,2,0
1540510529,3,0
1540510833,4,0
1540511434,4,0
1540512030,7,0
1540512336,2,0
1540512930,5,0
1540513236,2,0
1540513832,4,0
1540514434,7,0
1540514737,1,0
1540515335,4,0
1540515637,3,0
1540516236,6,0
1540516837,7,0
1540517137,1,0
1540517731,3,0
1540518634,3,0
1540519238,3,0
1540519532,1,0
1540520131,6,0
1540520436,1,0
1540521033,5,0
1540521636,2,0
1540521936,10,0
1540522532,7,0
1540522838,1,0
1540523436,5,0
1540524036,3,0
1540524334,2,0
1540524936,7,0
1540525836,4,0
1540526136,2,0
1540526436,5,0
1540527331,3,0
1540527631,2,0
1540528228,5,0
1540528828,2,0
1540529128,3,0
1540529727,3,0
1540530030,3,0
1540530630,4,0
1540530932,4,0
1540531230,1,0
1540531830,5,0
1540532432,3,0
