DateTime,AddedIPs,RemovedIPs
1540327962,45,34
1540328896,43,40
1540329861,36,40
1540330817,26,49
1540331778,33,38
1540332744,36,40
1540333691,39,26
1540334672,45,56
1540335138,10,0
1540335643,35,39
1540336600,31,30
1540337556,39,67
1540338493,36,54
1540338982,15,0
1540339481,36,41
1540340453,31,34
1540341401,52,43
1540342362,45,37
1540342828,9,15
1540343321,38,50
1540344275,23,45
1540345483,44,52
1540346458,31,39
1540347401,30,53
1540348335,31,50
1540349301,41,37
1540350265,29,42
1540351213,24,44
1540352196,36,53
1540353131,46,53
1540354115,35,43
1540355067,89,54
1540356020,50,49
1540356991,39,53
1540357957,33,41
1540358932,55,54
1540360097,40,40
1540361068,48,42
1540362024,40,42
1540362991,41,58
1540363943,61,49
1540365144,51,68
1540366095,29,24
1540367082,44,41
1540368262,48,42
1540369235,44,51
1540370179,64,41
1540371142,39,48
1540372124,31,43
1540373060,35,49
1540374011,42,50
1540374490,13,17
1540374998,68,47
1540375936,39,32
1540377040,39,15
1540378101,44,70
1540379079,55,44
1540380256,37,47
1540381219,47,53
1540382172,43,39
1540383224,1023,1478
1540384358,48,60
1540385542,36,61
1540386498,30,50
1540387455,46,33
1540388412,37,55
1540389391,33,40
1540390342,40,44
1540391311,31,36
1540392272,48,43
1540393473,47,76
1540394413,37,0
1540395389,50,29
1540396355,31,60
1540397352,42,40
1540398277,39,0
1540399211,26,41
1540400278,43,74
1540401650,32,29
1540402589,31,47
1540403539,36,38
1540404500,39,57
1540405459,31,0
1540406419,35,80
1540407398,33,36
1540408337,36,0
1540409297,31,64
1540410271,31,49
1540411235,30,45
1540412189,30,45
1540413142,22,0
1540414097,33,91
1540415067,29,0
1540416020,26,93
1540416981,40,50
1540417950,34,0
1540418915,29,76
1540421533,16,22
1540425368,16,40
1540429209,15,16
1540431163,32,384
1540432335,0,38
1540433312,5,226
1540434271,4,43
1540435212,5,0
1540436178,9,47
1540437140,8,81
1540438093,8,0
1540439078,4,94
1540440025,3,0
1540441005,65,95
1540441944,3,44
1540442911,5,45
1540443883,7,41
1540444842,5,51
1540446031,7,35
1540446978,6,36
1540447950,6,32
1540448896,11,45
1540449864,8,37
1540450832,6,44
1540451791,6,50
1540452743,12,41
1540453707,8,33
1540454682,10,27
1540455646,7,35
1540456601,7,25
1540457545,12,34
1540458525,4,40
1540459477,0,40
1540459936,12,29
1540460436,0,30
1540461400,0,35
1540462350,0,42
1540463312,0,42
1540464387,0,40
1540465731,0,36
1540466896,0,24
1540467866,0,43
1540468872,0,35
1540469804,1115,1278
1540470757,13,79
1540471721,55,67
1540472704,44,48
1540473611,40,58
1540474579,34,47
1540475559,48,44
1540476513,29,39
1540477478,46,38
1540478414,69,33
1540479390,46,34
1540480335,37,41
1540481298,62,38
1540482261,69,35
1540483249,62,29
1540484181,87,44
1540485141,64,41
1540486095,82,21
1540487099,89,22
1540488273,89,32
1540489241,70,39
1540490202,60,23
1540491164,56,40
1540492349,61,45
1540493318,69,30
1540494258,59,27
1540495221,63,22
1540496181,51,30
1540497142,56,24
1540498105,44,22
1540499063,52,29
1540500017,48,28
1540500990,59,27
1540501961,52,26
1540502896,43,30
1540503855,60,21
1540504828,47,19
1540505787,45,27
1540506745,58,23
1540507692,55,17
1540508927,50,61
1540510096,40,23
1540510575,14,0
1540511077,51,32
1540512038,52,23
1540512981,34,33
1540513940,47,36
1540514408,13,7
1540514899,65,36
1540515861,78,36
1540516824,58,49
1540517785,75,34
1540518758,57,29
1540519726,63,22
1540520671,45,26
1540521630,63,29
1540522592,48,29
1540523560,47,21
1540524491,38,19
1540525480,45,51
1540526416,67,29
1540527385,108,49
1540528343,38,33
1540529301,100,24
1540530266,71,27
1540531217,49,32
1540532443,69,31
1540533371,70,26
1540534364,45,37
1540535295,44,31
1540536258,43,29
1540537219,53,19
1540538204,40,35
1540539141,43,30
1540540119,47,35
1540541071,52,50
1540542016,40,46
1540542984,55,36
1540543937,68,33
1540544925,46,40
1540545375,9,12
1540545873,35,45
1540546811,62,32
1540547776,38,53
1540548751,48,40
1540549944,44,25
1540550894,42,37
1540552124,40,25
1540553074,42,27
1540554031,40,44
1540554992,45,30
1540555964,1080,1233
1540556928,46,28
1540557863,55,31
1540558831,45,45
1540559777,27,41
1540560762,33,35
1540561701,33,36
1540562663,35,40
1540563619,31,29
1540564841,41,31
1540565819,42,37
1540566768,30,26
1540567941,40,57
1540568901,40,36
1540569863,31,0
1540570827,38,76
1540571783,39,25
1540572740,42,35
1540573709,38,42
1540574653,28,4
1540575617,42,67
1540576582,39,0
1540577550,23,38
1540578500,42,41
1540579461,49,24
1540580423,24,20
1540581399,35,42
1540582340,33,30
1540583300,29,0
1540584266,25,37
1540585472,37,81
1540586430,42,25
1540587413,46,19
1540588361,25,45
1540589290,31,34
1540590256,33,31
1540591248,34,27
1540592183,33,44
1540593144,35,31
1540594094,35,24
1540595084,40,26
1540596529,62,36
1540597712,42,69
1540598683,41,52
1540599611,44,0
1540600328,30,32
1540600581,30,75
1540601532,45,10
1540602510,60,73
1540603456,40,39
1540604421,48,38
1540605393,46,30
1540606353,58,28
1540607288,44,44
1540608268,43,38
1540609220,41,30
1540610183,37,27
1540611142,25,24
1540612105,32,42
1540613076,34,30
1540614025,74,45
1540614984,43,25
1540615944,34,21
1540616914,46,21
1540617874,38,29
1540618834,33,45
1540619799,42,35
1540620759,29,33
1540621695,32,33
1540622663,45,35
1540623643,43,29
1540624584,44,0
1540625565,35,38
