DateTime,Entries,UniqueIPs
1539894026,30674,52813
1539894625,30750,52887
1539895200,30740,52877
1539899512,30741,52878
1539901225,30743,52880
1539902704,30737,52875
1539903027,30729,52867
1539905405,30632,52756
1539908424,30634,52758
1539909003,30633,53012
1539910496,30701,53078
1539915630,30705,53082
1539916225,30591,52990
1539917400,30545,52943
1539921604,30547,52945
1539921631,30547,53200
1539922831,30550,53203
1539924600,30598,53252
1539927025,30617,53251
1539930027,30620,53254
1539931800,30613,53246
1539937220,30615,53248
1539937828,30612,53227
1539938121,30613,53228
1539939000,30629,53244
1539942492,30631,53246
1539944670,30636,53251
1539946200,30619,53234
1539946312,30603,53217
1539947703,30605,53219
1539948602,30656,53257
1539951630,30657,53259
1539953400,30666,53268
1539955021,30663,53265
1539957623,30664,53266
1539958504,30680,53289
1539958823,30684,53293
1539959551,30700,53336
1539960600,30690,53327
1539964479,30688,53325
1539966026,30691,53329
1539967800,30683,53322
1539970021,30768,53403
1539970526,30770,53405
1539973221,30771,53406
1539975000,30772,53406
1539975815,30774,53408
1539980432,30779,53412
1539981024,30804,53444
1539982200,30803,53443
1539986784,30805,53445
1539987622,30808,53449
1539989400,30809,53450
1539989418,30789,53430
1539991621,30817,53453
1539994819,30817,53454
1539995430,30807,53954
1539996600,30848,53999
1539997478,30849,54000
1540002019,30852,54003
1540002421,30691,53833
1540003800,30656,53797
1540008026,30652,53793
1540009220,30654,53795
1540011000,30686,53823
1540012826,30687,53824
1540013221,30683,53819
1540016425,30686,53823
1540018347,30698,53835
1540018984,30700,53837
1540023626,30702,53839
1540024228,30690,53832
1540025400,30698,53838
1540030004,30696,53836
1540030505,30698,53838
1540030824,30699,53839
1540032993,30677,53819
1540033229,30657,53799
1540035003,30676,53820
1540038031,30681,53825
1540039800,30686,53828
1540040961,30693,53835
1540041421,30694,53836
1540044903,30343,53473
1540045223,30345,53475
1540045804,30372,53000
1540047000,30351,52980
1540047863,30348,52979
1540048667,30347,53233
1540052105,30347,53233
1540052423,30350,53236
1540053022,30351,53492
1540054200,30351,53491
1540056421,30356,53521
1540058425,30356,53776
1540059624,30357,53777
1540061400,30362,53782
1540062039,30362,54037
1540062749,30362,54037
1540062988,30364,54039
1540066820,30365,54040
1540067418,30379,54077
1540068600,30386,54084
1540074033,30388,54086
1540075800,30385,54083
1540076427,30367,54065
1540078208,30388,54083
1540081228,30391,54086
1540081806,30391,54341
1540083000,30446,54398
1540083631,30443,54650
1540085403,30442,54649
1540088421,30443,54650
1540090200,30380,54585
1540094443,30331,54474
1540095361,30332,54475
1540095626,30335,54478
1540097400,30390,54535
1540102825,30391,54536
1540103422,30385,54541
1540104600,30366,54522
1540106195,30367,54523
1540110023,30368,54524
1540111800,30364,54518
1540114204,30348,54504
1540117218,30356,54512
1540119000,30358,54515
1540119102,30345,54501
1540121540,30346,54502
1540124422,30348,54504
1540124821,30368,54528
1540126200,30372,54532
1540127748,30370,54530
1540131726,30051,54218
1540132334,30052,54219
1540133400,30048,54214
1540135157,30055,53965
1540135803,30048,53967
1540136182,30057,53976
1540138819,30057,53976
1540140600,30065,53984
1540143006,30060,54234
1540144824,30059,54743
1540146021,30064,54749
1540146610,30087,54782
1540147800,30090,54785
1540149373,30092,54787
1540153217,30093,54788
1540155000,30089,54784
1540157410,30132,54801
1540160420,30139,54807
1540162200,30137,54805
1540162219,30123,54791
1540167620,30124,54792
1540168203,30095,54759
1540169400,29973,54636
1540170903,29976,54639
1540174827,29978,54641
1540176600,30098,54761
1540178821,30098,54738
1540181729,30098,54738
1540182028,30102,54742
1540183800,30093,54733
1540189220,30096,54737
1540189621,30046,54694
1540191000,30035,54683
1540193403,30034,54682
1540197326,30036,54684
1540198200,30039,54687
1540200603,29982,54628
1540203303,29984,54630
1540203624,29987,54633
1540205400,29979,54625
1540205484,29955,54601
1540211403,29925,54570
1540212600,29946,54591
1540213892,29949,54594
1540217703,29782,54423
1540218022,29786,54427
1540219714,29791,54432
1540219800,29795,54436
1540221781,29793,54689
1540222203,29866,54720
1540224514,29847,54700
1540224903,29845,54698
1540225803,29843,54186
1540227000,29853,54196
1540232420,29860,54203
1540233003,29911,54207
1540234200,29947,54243
1540235374,29948,54244
1540239379,29948,54244
1540239622,29950,54246
1540241400,29998,54294
1540243804,30031,54305
1540246504,30031,54305
1540246820,30035,54309
1540248600,30088,54362
1540248618,30075,54349
1540254442,30076,54350
1540254606,29941,54341
1540255800,29964,54367
1540257335,29962,54365
1540262117,29963,54366
1540263000,29938,54338
1540265429,30003,54352
1540268103,30003,54352
1540268668,30007,54356
1540270200,30047,54397
1540271126,30048,54398
1540275621,30051,54401
1540276022,30065,54436
1540278030,30064,54435
1540279806,30068,54439
1540281625,30047,54417
1540287329,30048,54414
1540288800,30045,54411
1540289834,30047,54413
1540290025,30049,54415
1540290941,30050,54416
1540292423,30034,54400
1540294534,30035,54401
1540296321,30026,54393
1540297225,30027,54394
1540297804,30068,54696
1540299021,30074,54702
1540301406,30073,54702
1540301718,30074,54703
1540303222,30075,54704
1540304103,30507,55142
1540304422,30511,55146
1540308603,30550,55155
1540310719,30545,55150
1540311640,30546,55151
