DateTime,AddedIPs,RemovedIPs
1540447943,18,21
1540448375,7,4
1540449334,8,7
1540449857,1069,554
1540450300,13,12
1540451254,7,6
1540451785,9,11
1540452213,9,9
1540453174,52,5
1540453703,24,26
1540454613,8,9
1540455641,24,13
1540456533,47,10
1540457254,12,7
1540457538,19,2
1540458453,6,5
1540459471,23,12
1540460373,15,10
1540460891,1,1
1540461395,2,9
1540461813,15,8
1540462774,6,7
1540463296,11,11
1540463735,13,47
1540464693,5,8
1540465238,14,8
1540465654,51,11
1540466374,48,2
1540467397,93,56
1540468295,11,16
1540469322,13,9
1540469754,55,81
1540470694,49,7
1540471215,11,7
1540472614,120,133
1540473140,11,5
1540473334,12,58
1540474053,50,21
1540475074,70,74
1540475537,1,1
1540476454,33,42
1540476987,15,4
1540477415,56,57
1540478165,0,22560
1540478915,22803,10
1540479817,14,33
1540480731,54,43
1540481803,53,62
1540482758,9,7
1540483655,60,104
1540484677,61,78
1540485538,55,51
1540486294,27,52
1540486571,14,17
1540487015,50,56
1540488215,81,81
1540488743,11,8
1540489176,50,12
1540490193,47,46
1540490670,16,3
1540491095,14,81
1540491817,5,5
1540492826,14,2
1540493759,125,104
1540494761,34,868
1540495657,828,10
1540496674,85,16
1540497573,11,7
1540498603,59,28
1540499495,54,67
1540500517,13,11
1540500933,5,66
1540501893,63,12
1540502417,7,13
1540502613,8,8
1540503333,3,7
1540504293,17,61
1540504821,4,0
1540505253,3,8
1540506232,9,11
1540507176,7,6
1540507899,16,5
1540508448,11,30
1540508855,51,6
1540509576,6,15
1540510601,10,11
1540511018,27,57
1540512521,24,26
1540513416,54,18
1540514435,13,68
1540515298,7,9
1540516361,8,21
1540517253,9,8
1540518277,7,10
1540518694,55,58
1540519711,13,11
1540520613,7,5
1540521574,8,11
1540522107,13,20
1540522535,51,11
1540523452,3,7
1540524022,13,4
1540524214,4,6
1540525474,11,4
1540525950,14,7
1540526134,8,4
1540526853,5,5
1540527874,9,23
1540528774,5,7
1540529794,18,21
1540530694,6,10
1540531414,9,8
1540531947,9,12
1540532373,7,8
1540533093,8,5
1540533882,11,15
1540534346,6,11
1540535013,1,10
1540535802,16,22
1540536693,551,306
1540537740,15,0
1540538614,17,17
1540539638,11,0
1540540533,7,58
1540541564,16,8
1540542453,9,8
1540543473,34,58
1540544854,60,16
1540545814,13,17
1540546534,7,12
1540547560,6,18
1540548693,57,15
1540548966,3,1
1540549489,26,14
1540550373,8,8
1540551523,62,7
1540552054,45,49
1540553014,5,48
1540553539,14,0
1540553973,49,78
1540554935,52,12
1540555490,12,15
1540555895,31,50
1540557399,30,59
1540558295,16,73
1540559255,49,44
1540559974,3,12
1540561259,26,77
1540562134,11,74
1540563157,66,19
1540563612,1,1
1540563814,4,44
1540564774,52,48
1540565298,13,17
1540565733,75,7
1540566698,6,26
1540567219,9,2
1540567414,46,41
1540568374,15,47
1540569394,65,12
1540570293,60,57
1540571311,24,41
1540572215,55,62
1540573251,15,5737
1540574133,5680,26
1540575173,26,28
1540576054,13,41
1540577079,17,52
1540577973,6,12
1540578491,1,1
1540579004,23,48
1540579895,9,40
1540580614,4,49
1540580901,7,15
1540581334,1,4
1540582054,6,9
1540582832,23,41
1540583733,15,37
1540585007,12,7
1540585414,15,81
1540586374,17,9
1540586897,12,8
1540587334,7,8
1540588295,6,54
1540588820,11,5
1540589014,7,7
1540589974,9,6
1540590749,10,5
1540591653,13,17
1540592669,10,11
