DateTime,AddedIPs,RemovedIPs
1540443123,6,0
1540443723,4,0
1540444324,7,0
1540444923,4,0
1540445524,5,0
1540446123,7,0
1540446723,6,0
1540447324,2,0
1540448523,10,0
1540449123,8,0
1540449724,5,0
1540450324,8,0
1540450924,8,0
1540451523,5,0
1540452123,6,0
1540452724,1,0
1540453324,9,0
1540453923,25,0
1540454523,5,0
1540455123,6,0
1540455723,5,0
1540456325,7,0
1540456923,4,0
1540458122,3,0
1540458724,4,0
1540459324,4,0
1540459924,4,0
1540460523,11,0
1540461125,4,0
1540461724,5,0
1540462324,7,0
1540462923,3,0
1540463523,4,0
1540464123,10,0
1540464723,4,0
1540465323,5,0
1540465923,1,0
1540466522,3,0
1540467123,4,0
1540467723,5,0
1540468923,7,1
1540470124,4,0
1540471323,3,0
1540471923,2,0
1540472523,1,0
1540473724,4,0
1540474323,2,0
1540474923,5,0
1540475523,3,0
1540476123,4,0
1540476723,1,0
1540477323,5,0
1540478523,12,0
1540479723,6,0
1540480324,4,0
1540480923,5,1
1540481523,3,0
1540482124,5,0
1540482724,4,0
1540483323,4,0
1540483924,3,0
1540484523,5,0
1540485123,3,0
1540485723,3,0
1540486923,4,0
1540487523,2,0
1540488124,8,0
1540488723,5,0
1540489323,10,0
1540489923,6,0
1540490523,5,0
1540491723,2,0
1540492323,3,0
1540492924,2,0
1540493523,2,0
1540494123,2,0
1540494724,1,0
1540495323,3,0
1540495923,10,0
1540496524,5,0
1540497123,5,0
1540497723,8,0
1540498324,8,0
1540498923,6,0
1540499523,4,0
1540500124,4,0
1540500723,5,0
1540501323,2,0
1540502524,8,0
1540503123,4,0
1540503723,8,0
1540504323,4,0
1540504923,4,0
1540505523,4,0
1540506123,2,0
1540506723,6,0
1540507323,2,0
1540507922,2,0
1540508523,1,1
1540509124,5,0
1540509723,5,0
1540510324,4,0
1540510923,6,0
1540511523,8,0
1540512124,6,2
1540512723,2,0
1540513322,3,0
1540513923,4,0
1540514522,3,0
1540515123,1,0
1540515723,1,0
1540516324,1,0
1540516923,5,0
1540517524,3,0
1540518124,2,0
1540519323,4,1
1540519922,10,0
1540520523,3,0
1540521123,3,0
1540521724,6,0
1540522323,4,0
1540522923,5,0
1540524123,3,1
1540524723,4,2
1540526524,5,0
1540527125,5,1
1540527723,9,0
1540528324,5,0
1540528923,3,0
1540529525,4,0
1540530123,5,0
1540531323,6,0
