DateTime,Entries,UniqueIPs
1539837626,2644,2644
1539839556,2642,2642
1539841700,2651,2651
1539843636,2661,2661
1539845541,2676,2676
1539847474,2692,2692
1539849373,2696,2696
1539851310,2705,2705
1539853399,2721,2721
1539855618,2718,2718
1539857541,1379,1379
1539859464,1358,1358
1539861385,1952,1952
1539863293,1951,1951
1539865229,1955,1955
1539867143,2010,2010
1539869054,2043,2043
1539870983,2085,2085
1539872894,2087,2087
1539874848,2100,2100
1539876738,2113,2113
1539878668,2118,2118
1539880571,2113,2113
1539882760,2095,2095
1539884655,2087,2087
1539886603,2068,2068
1539888516,2064,2064
1539890432,2070,2070
1539892341,2073,2073
1539894271,2058,2058
1539896200,2059,2059
1539898097,2053,2053
1539900039,2030,2030
1539901957,2004,2004
1539903876,2570,2570
1539906045,2572,2572
1539908186,2576,2576
1539910109,2585,2585
1539912010,2586,2586
1539913945,2589,2589
1539915858,2581,2581
1539917805,2580,2580
1539919693,2583,2583
1539921678,2590,2590
1539923540,2603,2603
1539925465,2592,2592
1539927381,2565,2565
1539929300,2569,2569
1539931216,2573,2573
1539933141,2571,2571
1539935054,2572,2572
1539936989,2564,2564
1539938897,2559,2559
1539940941,2556,2556
1539942747,2570,2570
1539944671,1408,1408
1539946569,1448,1448
1539948759,1989,1989
1539950916,2028,2028
1539952822,2061,2061
1539954753,2102,2102
1539956666,2128,2128
1539958596,2145,2145
1539960501,2146,2146
1539962430,2147,2147
1539964612,2146,2146
1539966742,2152,2152
1539968659,2154,2154
1539970589,2146,2146
1539972525,2135,2135
1539974430,2150,2150
1539976361,2129,2129
1539978274,2121,2121
1539980192,2120,2120
1539982110,2115,2115
1539984041,2116,2116
1539985956,2127,2127
1539987872,2151,2151
1539989773,2171,2171
1539991708,2631,2631
1539993647,2625,2625
1539995559,2622,2622
1539997475,2626,2626
1539999376,2647,2647
1540001311,2643,2643
1540003250,2642,2642
1540005164,2647,2647
1540007058,2651,2651
1540009219,2647,2647
1540011133,2637,2637
1540013058,2633,2633
1540014985,2610,2610
1540017161,2598,2598
1540019069,2570,2570
1540020972,2581,2581
1540022896,2599,2599
1540024836,2590,2590
1540026762,2596,2596
1540028655,2592,2592
1540030590,1382,1382
1540032493,1390,1390
1540034413,1986,1986
1540036337,1972,1972
1540038259,1968,1968
1540040185,1970,1970
1540042094,1982,1982
1540044036,2000,2000
1540045944,2019,2019
1540047869,2019,2019
1540049792,2011,2011
1540051748,2007,2007
1540053621,1995,1995
1540055544,2029,2029
1540057461,2026,2026
1540059383,2003,2003
1540061299,2006,2006
1540063215,2010,2010
1540065154,2035,2035
1540067073,2069,2069
1540068980,2089,2089
1540070895,2085,2085
1540072846,2080,2080
1540074740,2060,2060
1540076675,2578,2578
1540078586,2568,2568
1540080514,2556,2556
1540082441,2550,2550
1540084345,2556,2556
1540086260,2579,2579
1540088193,2595,2595
1540090097,2592,2592
1540092030,2574,2574
1540093943,2545,2545
1540095863,2512,2512
1540097785,2508,2508
1540099697,2517,2517
1540101642,2503,2503
1540103548,2495,2495
1540105716,2482,2482
1540107858,2469,2469
1540109790,2473,2473
1540111696,2481,2481
1540113855,2477,2477
1540115656,2469,2469
1540117691,1265,1265
1540119625,1727,1727
1540121543,1742,1742
1540123471,1785,1785
1540125372,1805,1805
1540127810,1831,1831
1540129695,1834,1834
1540131623,1884,1884
1540133535,1915,1915
1540135473,1927,1927
1540137372,1959,1959
1540139795,1980,1980
1540141713,2010,2010
1540143618,2042,2042
1540145550,2046,2046
1540147458,2046,2046
1540149383,2066,2066
1540151297,2039,2039
1540153211,2024,2024
1540155136,2011,2011
1540157054,2001,2001
1540158986,2004,2004
1540160891,1990,1990
1540162835,2385,2385
1540164741,2383,2383
1540166659,2384,2384
1540168583,2390,2390
1540170512,2404,2404
1540172420,2397,2397
1540174342,2409,2409
1540176255,2410,2410
1540178178,2415,2415
1540180108,2407,2407
1540182016,2405,2405
1540183934,2405,2405
1540185867,2404,2404
1540187777,2409,2409
1540189694,2415,2415
1540191620,2419,2419
1540193543,2407,2407
1540195472,2380,2380
1540197374,2364,2364
1540199813,2363,2363
1540201696,2379,2379
1540203618,1328,1328
1540205536,1331,1331
1540207469,1758,1758
1540209667,1764,1764
1540211546,1777,1777
1540213467,1813,1813
1540215388,1809,1809
1540217298,1826,1826
1540219214,1849,1849
1540221147,1863,1863
1540223060,1879,1879
1540224984,1908,1908
1540226912,1927,1927
1540228821,1919,1919
1540230739,1929,1929
1540232658,1947,1947
1540234594,1969,1969
1540236491,1968,1968
1540238440,1967,1967
1540240342,1965,1965
1540242268,1968,1968
1540244187,1973,1973
1540246116,1983,1983
1540248015,1989,1989
1540249965,2347,2347
1540251854,2348,2348
1540253778,2371,2371
1540255696,2373,2373
1540257632,2358,2358
1540259533,2359,2359
1540261455,2353,2353
1540263373,2360,2360
1540265551,2356,2356
1540267470,2374,2374
1540269393,2384,2384
1540271310,2374,2374
1540273225,2370,2370
1540275165,2385,2385
1540277071,2406,2406
1540279009,2425,2425
1540280901,2427,2427
1540283058,2426,2426
1540285015,2415,2415
1540286910,2413,2413
1540288823,1288,1288
1540290739,1269,1269
1540292680,1715,1715
1540294596,1744,1744
1540296527,1765,1765
1540298436,1768,1768
1540300364,1783,1783
1540302260,1780,1780
1540304205,1786,1786
1540306101,1791,1791
1540308022,1804,1804
1540309937,1831,1831
1540311873,1840,1840
1540314042,1866,1866
1540315945,1865,1865
1540317863,1867,1867
1540319802,1880,1880
1540321725,1887,1887
1540323621,1897,1897
1540325544,1912,1912
1540327477,1911,1911
1540329400,1900,1900
1540331318,1881,1881
1540333242,1874,1874
1540335145,1870,1870
1540337054,2270,2270
1540338996,2285,2285
1540340897,2298,2298
1540342841,2321,2321
1540344744,2330,2330
1540346923,2339,2339
1540348833,2343,2343
1540350762,2367,2367
1540352663,2380,2380
1540354590,2408,2408
1540356519,2416,2416
1540358921,2438,2438
1540361065,2454,2454
1540362988,2471,2471
1540365142,2489,2489
1540367071,2505,2505
1540369233,2516,2516
1540371139,2512,2512
1540373057,2497,2497
1540374987,2495,2495
1540377036,1447,1447
1540379067,1900,1900
1540381215,1957,1957
1540383221,1958,1958
1540385066,1985,1985
1540387008,2015,2015
1540389141,2038,2038
1540391051,2036,2036
1540392991,2032,2032
1540394891,2039,2039
1540396839,2042,2042
1540398737,2042,2042
1540400716,2049,2049
1540402585,2056,2056
1540404497,2062,2062
1540406416,2066,2066
1540408334,2067,2067
1540410259,2069,2069
1540412185,2090,2090
1540414094,2121,2121
1540416016,2136,2136
1540417945,2142,2142
1540419873,2139,2139
1540422070,2524,2524
