DateTime,Entries,UniqueIPs
1540173369,4882,4882
1540173847,4876,4876
1540174327,4882,4882
1540174804,4882,4882
1540175289,4884,4884
1540175767,4882,4882
1540176247,4882,4882
1540176728,4884,4884
1540177230,4881,4881
1540177687,4883,4883
1540178168,4887,4887
1540178644,4886,4886
1540179128,4886,4886
1540179605,4888,4888
1540180097,4885,4885
1540180566,4889,4889
1540181059,4884,4884
1540181526,4885,4885
1540182011,4889,4889
1540182490,4892,4892
1540182969,4891,4891
1540183445,4887,4887
1540183927,4888,4888
1540184417,4890,4890
1540184886,4889,4889
1540185367,4885,4885
1540185858,4888,4888
1540186330,4891,4891
1540186805,4889,4889
1540187287,4891,4891
1540187768,4894,4894
1540188247,4889,4889
1540188727,4885,4885
1540189208,4887,4887
1540189689,4884,4884
1540190166,4889,4889
1540190649,4887,4887
1540191128,4891,4891
1540191611,4892,4892
1540192088,4893,4893
1540192574,4887,4887
1540193046,4887,4887
1540193529,4889,4889
1540194005,4889,4889
1540194486,4889,4889
1540194965,4889,4889
1540195447,4888,4888
1540195926,4889,4889
1540196417,4895,4895
1540196888,4895,4895
1540197367,4894,4894
1540197845,4899,4899
1540198331,4898,4898
1540207208,4897,4897
1540207684,4898,4898
1540216326,4897,4897
1540217287,4898,4898
1540224027,4897,4897
1540224968,4898,4898
1540234084,4897,4897
1540235528,4898,4898
1540241767,4897,4897
1540242728,4898,4898
1540256885,4889,4889
1540257367,4891,4891
1540257845,4896,4896
1540258328,4891,4891
1540258805,4893,4893
1540259285,4890,4890
1540259765,4891,4891
1540260250,4890,4890
1540260725,4890,4890
1540261204,4893,4893
1540261688,4890,4890
1540262166,4893,4893
1540262644,4891,4891
1540263130,4892,4892
1540263610,4896,4896
1540264087,4890,4890
1540264590,4887,4887
1540265048,4891,4891
1540265528,4894,4894
1540266007,4890,4890
1540266484,4892,4892
1540266967,4891,4891
1540267453,4889,4889
1540267926,4892,4892
1540268406,4893,4893
1540269127,4888,4888
1540269845,4893,4893
1540270327,4891,4891
1540270811,4892,4892
1540271293,4889,4889
1540271770,4891,4891
1540272245,4888,4888
1540272728,4888,4888
1540273212,4886,4886
1540273689,4886,4886
1540274166,4887,4887
1540274647,4889,4889
1540275137,4891,4891
1540275608,4892,4892
1540276095,4890,4890
1540276569,4888,4888
1540277057,4882,4882
1540278255,4887,4887
1540278970,4891,4891
1540279445,4886,4886
1540279925,4888,4888
1540280408,4888,4888
1540280888,4883,4883
1540281365,4885,4885
1540282099,4881,4881
1540282568,4885,4885
1540283046,4886,4886
1540283528,4885,4885
1540284017,4889,4889
1540284485,4889,4889
1540285449,4887,4887
1540286410,4886,4886
1540286888,4887,4887
1540294568,4886,4886
1540295529,4887,4887
1540307530,4886,4886
1540308487,4887,4887
1540323610,4886,4886
1540324565,4886,4886
1540325047,4887,4887
1540325530,4886,4886
1540326005,4887,4887
1540341368,4886,4886
1540342825,4885,4885
1540343287,4880,4880
1540343766,4880,4880
1540344245,4884,4884
1540344731,4885,4885
1540345447,4881,4881
1540345925,4884,4884
1540346451,4881,4881
1540346890,4880,4880
1540347367,4881,4881
1540347846,4879,4879
1540348324,4884,4884
1540348806,4883,4883
1540349286,4883,4883
1540349765,4885,4885
1540350250,4881,4881
1540350726,4881,4881
1540351204,4878,4878
1540351929,4881,4881
1540352653,4878,4878
1540353124,4878,4878
1540353617,4882,4882
1540354087,4878,4878
1540354570,4880,4880
1540355054,4877,4877
1540355527,4876,4876
1540356012,4881,4881
1540356492,4879,4879
1540356966,4880,4880
1540357450,4885,4885
1540357927,4882,4882
1540358895,4883,4883
1540359609,4884,4884
1540360087,4882,4882
1540360567,4882,4882
1540361052,4881,4881
1540361527,4882,4882
1540362012,4881,4881
1540362489,4885,4885
1540362968,4884,4884
1540363445,4882,4882
1540363930,4868,4868
1540364650,4882,4882
1540365127,4881,4881
1540365604,4880,4880
1540366088,4882,4882
1540366565,4884,4884
1540367046,4880,4880
1540367528,4882,4882
1540368248,4885,4885
1540368728,4884,4884
1540369211,4883,4883
1540369688,4887,4887
1540370166,4887,4887
1540370645,4889,4889
1540371130,4888,4888
1540383606,4887,4887
1540384807,4888,4888
1540397770,4887,4887
1540398728,4887,4887
1540399204,4888,4888
1540409765,4887,4887
1540410726,4888,4888
1540429927,4881,4881
1540430404,4883,4883
1540430887,4875,4875
1540431615,4876,4876
1540432325,4874,4874
1540432829,4875,4875
1540433286,4869,4869
1540433770,4872,4872
1540434244,4878,4878
1540434729,4881,4881
1540435204,4882,4882
1540435937,4885,4885
1540436648,4886,4886
1540437127,4880,4880
1540437608,4882,4882
1540438084,4881,4881
1540438565,4882,4882
1540439044,4881,4881
1540439528,4881,4881
1540440015,4883,4883
1540440563,4886,4886
1540440974,4886,4886
1540441447,4884,4884
1540441928,4880,4880
1540442405,4883,4883
1540442898,4881,4881
1540443618,4879,4879
1540444327,4876,4876
1540444806,4881,4881
1540445289,4878,4878
1540446012,4883,4883
1540446490,4876,4876
1540446965,4874,4874
1540447451,4880,4880
1540447928,4880,4880
1540448406,4880,4880
1540448889,4878,4878
1540449367,4880,4880
1540449848,4878,4878
1540450328,4877,4877
1540450820,4879,4879
1540451288,4879,4879
1540451771,4877,4877
1540452245,4882,4882
1540452729,4882,4882
1540453205,4884,4884
1540453687,4881,4881
1540454169,4881,4881
1540454648,4881,4881
1540455125,4884,4884
1540455613,4884,4884
1540456085,4881,4881
1540456566,4882,4882
1540457045,4881,4881
1540457531,4882,4882
1540458018,4882,4882
1540458487,4882,4882
1540458968,4884,4884
1540469766,4883,4883
1540470725,4884,4884
1540483215,4883,4883
1540484651,4884,4884
1540492328,4884,4884
1540498089,4883,4883
1540499045,4884,4884
1540508433,4883,4883
1540509608,4884,4884
1540515846,4876,4876
1540516330,4877,4877
1540516806,4879,4879
1540517290,4882,4882
1540517766,4879,4879
1540518247,4876,4876
1540518729,4877,4877
1540519222,4874,4874
1540519688,4880,4880
1540520172,4879,4879
1540520644,4880,4880
1540521126,4876,4876
1540521604,4878,4878
1540522090,4880,4880
1540522564,4886,4886
1540523047,4890,4890
1540523525,4884,4884
1540524015,4886,4886
1540524486,4884,4884
1540524964,4886,4886
1540525449,4885,4885
1540525930,4883,4883
1540526407,4886,4886
1540526888,4885,4885
1540527367,4884,4884
1540527850,4886,4886
1540528329,4883,4883
1540528805,4885,4885
1540529289,4884,4884
1540529766,4885,4885
1540530250,4883,4883
1540530726,4883,4883
1540531206,4887,4887
1540531935,4885,4885
1540532407,4887,4887
1540532886,4883,4883
1540533365,4887,4887
1540533858,4886,4886
1540534325,4885,4885
