DateTime,AddedIPs,RemovedIPs
1540452724,43,35
1540453324,34,0
1540453923,38,29
1540454523,44,0
1540455123,45,38
1540455723,31,29
1540456325,71,97
1540456923,40,0
1540458122,37,82
1540458724,42,42
1540459324,44,0
1540459924,34,45
1540460523,41,35
1540461125,38,0
1540461724,51,29
1540462923,42,0
1540463523,44,72
1540464123,38,0
1540464723,32,34
1540465323,30,83
1540465923,35,45
1540466522,37,37
1540467123,33,29
1540467723,31,0
1540468923,34,113
1540469523,28,0
1540470124,41,35
1540470724,36,0
1540471323,32,33
1540471923,26,39
1540472523,35,49
1540473724,45,41
1540474323,33,42
1540474923,31,49
1540475523,40,0
1540476123,35,0
1540476723,22,67
1540477323,41,39
1540478523,48,37
1540479723,37,35
1540480324,37,46
1540480923,27,38
1540481523,35,0
1540482124,31,46
1540482724,31,0
1540483323,31,76
1540483924,36,0
1540484523,45,68
1540485123,48,0
1540485723,24,38
1540486923,23,0
1540487523,28,67
1540488124,44,0
1540488723,49,38
1540489323,55,66
1540489923,35,0
1540490523,46,43
1540491723,40,57
1540492323,33,36
1540492924,43,0
1540493523,34,34
1540494123,33,35
1540494724,23,34
1540495323,40,40
1540495923,52,0
1540496524,38,48
1540497123,41,49
1540497723,33,0
1540498324,50,42
1540498923,34,68
1540499523,31,0
1540500124,38,91
1540500723,48,0
1540501323,41,85
1540502524,54,0
1540503123,40,72
1540503723,41,0
1540504323,34,32
1540504923,33,54
1540505523,60,0
1540506123,31,54
1540506723,39,36
1540507323,33,52
1540507922,44,35
1540508523,31,48
1540509124,35,54
1540509723,36,37
1540510324,45,0
1540510923,40,26
1540512124,40,82
1540512723,44,0
1540513322,28,0
1540513923,47,0
1540514522,14,72
1540515123,53,0
1540515723,30,0
1540516324,52,69
1540516923,38,27
1540517524,35,0
1540518124,21,24
1540519323,37,79
1540519922,46,36
1540520523,44,41
1540521123,38,0
1540521724,27,33
1540522323,39,21
1540522923,70,0
1540523523,34,37
1540524123,37,27
1540524723,27,68
1540525322,30,34
1540526524,34,33
1540527125,34,32
1540527723,44,37
1540528324,27,94
1540528923,52,46
1540529525,37,39
1540530123,34,34
1540531323,39,25
1540531924,42,85
1540532523,53,0
1540533723,56,97
1540534923,29,0
1540535524,35,76
1540536124,55,0
1540537323,43,104
1540537924,49,0
1540538523,43,67
1540539123,29,39
1540539722,22,0
1540540323,32,34
1540540923,27,91
1540542123,54,66
1540542723,30,71
1540543323,40,48
1540544523,26,49
1540545124,27,0
1540545723,34,35
1540546923,40,68
1540548123,38,106
1540549323,34,43
1540550523,42,38
1540551123,33,79
1540551723,46,36
1540552324,41,0
1540552922,36,47
1540554124,50,79
1540554723,64,0
1540555323,26,0
1540556523,30,99
1540557124,33,44
1540557724,57,0
1540558323,36,31
1540558923,53,54
1540560124,61,46
1540560723,27,30
1540561324,45,36
1540561923,26,34
1540562523,25,39
1540563724,37,30
1540564323,49,32
1540564923,31,50
1540565524,49,0
1540566123,34,0
1540566723,45,74
1540567323,42,0
1540568523,36,131
1540569124,38,35
1540569725,38,0
1540570923,38,113
1540571524,30,43
1540572123,37,27
1540572723,42,0
1540573324,31,33
1540573923,37,0
1540574523,33,40
1540575723,58,90
1540576323,38,86
1540576923,23,0
1540578123,42,68
1540578722,39,46
1540579323,45,27
1540580523,37,47
1540581723,42,64
1540582324,35,33
1540582923,42,94
1540583522,42,39
1540584122,35,0
1540584723,38,27
1540585323,29,47
1540586524,42,74
1540587122,39,81
1540587723,19,0
1540588924,38,91
1540589523,30,0
1540590122,37,35
1540590724,28,35
1540591323,42,31
1540592524,38,86
1540593123,23,26
1540593724,44,78
1540594324,30,46
1540594924,34,0
1540595523,44,19
1540596123,28,66
1540596723,46,44
1540597323,45,42
1540597923,42,0
1540598525,26,0
1540599723,38,76
1540600924,38,99
1540601523,31,25
1540602123,36,86
1540602724,43,44
1540603323,29,0
1540604524,38,115
1540605123,33,0
1540605723,31,0
1540606923,46,77
1540607523,35,79
1540608123,57,0
1540608723,33,33
1540609323,35,99
1540609923,34,24
1540610524,59,35
1540611123,48,0
1540611723,32,59
1540612323,52,0
1540612923,46,0
1540613523,26,36
1540614123,34,80
1540614723,39,26
1540615323,37,0
1540615923,23,67
1540616523,27,46
1540617123,36,43
1540617723,33,38
1540618323,38,0
1540618923,34,38
1540619524,44,66
1540620123,35,0
1540620723,35,73
1540621324,42,0
1540621924,38,33
1540622524,30,49
1540623123,54,45
1540623725,28,0
1540624923,33,97
1540626123,36,78
1540626723,30,73
1540627324,32,40
1540627923,58,0
1540628524,31,0
1540629723,31,79
1540630323,33,35
1540630923,49,0
1540631524,23,23
1540632123,39,49
1540632724,31,40
1540633323,31,38
1540633923,45,0
1540634524,21,0
1540635723,35,36
1540636323,31,33
1540636924,31,39
1540638123,31,31
1540638724,36,84
1540639323,34,41
1540639923,44,0
1540640523,54,0
1540641723,37,127
1540642324,28,0
1540642923,37,0
1540643523,33,28
1540644123,44,66
1540644723,37,29
1540645324,35,0
1540645923,33,36
1540646524,24,0
1540647123,19,87
1540647722,25,0
1540648924,20,105
1540649522,29,0
1540650122,36,40
1540651323,25,42
1540651923,28,34
1540652523,36,77
1540653124,30,0
1540653724,38,97
1540654323,29,0
1540654923,21,0
1540656124,29,110
1540656723,22,0
1540657324,45,32
1540657923,25,0
1540658523,30,26
1540659723,28,71
1540660323,39,54
1540660924,35,48
1540662123,29,0
1540662723,37,54
1540663323,23,34
1540663923,29,28
1540664523,38,0
1540665123,30,33
1540665723,36,52
1540666923,30,30
1540667524,31,0
1540668125,24,32
1540668723,29,39
1540669323,43,0
1540670524,40,134
1540671123,33,0
1540671723,23,39
1540672323,28,28
1540672923,28,0
1540674125,38,93
1540674724,40,0
1540675323,35,42
1540675923,27,26
1540676523,37,21
1540677723,37,63
1540678323,41,0
1540678924,32,0
1540680123,33,66
1540681323,29,73
1540681924,32,88
1540682523,63,0
1540683723,40,70
1540684325,73,32
1540684924,30,39
1540685523,36,23
1540686123,30,37
1540687323,33,0
1540687923,30,64
1540688523,39,0
1540689123,32,32
1540689723,34,75
1540690322,34,0
1540690923,40,0
1540691523,25,29
1540692123,28,63
1540692723,41,0
1540693323,36,31
1540694524,33,69
1540695123,41,32
1540695723,28,0
1540696323,29,24
1540696923,36,45
1540698123,24,98
1540699322,21,101
1540699923,28,41
1540700523,13,0
1540701723,33,60
1540702322,28,62
1540702923,27,40
1540704124,29,74
1540704724,38,34
1540705322,33,0
1540706524,40,68
1540707723,31,111
1540708322,26,35
1540708923,30,38
1540709523,24,58
1540710123,29,33
1540710724,37,0
1540711323,58,0
1540711924,21,39
1540712523,30,25
1540713123,20,0
1540713722,17,28
1540714923,32,91
1540715523,33,36
1540716123,29,34
1540717325,39,55
1540717924,34,0
1540718523,30,49
1540719723,26,89
1540720923,31,59
1540721524,34,36
1540722123,28,41
1540723323,34,62
1540723923,36,0
1540724523,41,0
1540725723,27,62
1540726323,31,31
1540726924,26,87
1540728123,26,0
1540728723,34,88
1540729322,33,0
1540730523,21,65
1540731722,31,62
1540732923,30,81
1540733523,28,19
1540734123,39,45
1540735324,30,0
1540735923,26,66
1540736523,31,27
1540737723,26,0
1540738323,29,49
1540738925,37,0
1540740123,24,76
1540741323,23,102
1540741923,31,0
1540742524,32,0
1540743123,23,42
1540743724,42,25
1540744922,15,90
1540745523,43,0
1540746123,25,0
1540746723,33,60
1540747323,44,34
1540747923,39,0
1540748523,26,37
1540749123,49,42
1540749723,21,25
1540750923,40,59
1540751524,27,27
1540752123,57,0
1540752723,31,36
1540753324,31,37
1540753923,33,50
1540754523,39,0
1540755123,29,40
1540755723,36,44
1540756923,45,46
1540758123,35,80
1540759324,28,96
1540759923,32,0
1540760523,17,0
1540761124,45,29
1540761723,33,35
1540762924,29,101
1540763523,31,0
1540764123,34,0
1540765323,27,72
1540765923,36,34
1540766523,36,32
1540767723,29,23
1540768323,32,23
1540768924,29,0
1540770123,39,50
1540770723,40,112
1540771325,37,161
1540772523,29,48
1540773124,37,61
1540773723,29,0
1540774923,119,0
1540775524,33,27
1540776123,50,0
1540776724,38,39
1540777323,27,62
1540777923,33,17
1540778523,17,0
1540779123,45,26
1540779724,63,77
1540780323,29,0
1540780923,29,0
1540781523,31,21
1540782123,30,75
1540782723,54,33
1540783323,60,34
1540784523,40,0
1540785723,33,26
1540786923,38,51
1540787522,35,22
1540788123,40,40
1540788723,40,0
1540789322,42,73
1540790523,45,35
1540791123,37,0
1540791723,38,46
1540792323,38,39
1540792924,26,0
1540793523,25,39
1540794124,33,0
1540794723,43,33
1540795323,37,65
1540795923,36,22
1540796524,28,0
1540797124,37,21
1540797723,25,22
1540798923,52,107
1540800124,26,45
1540800724,28,0
1540801323,65,30
1540802523,39,38
1540803723,51,74
1540804323,37,30
1540804923,22,40
1540805523,55,0
1540806123,47,36
1540806724,38,0
1540807322,52,33
1540808523,32,70
1540809123,34,0
1540809722,55,0
1540810923,35,119
1540811523,35,0
1540812123,45,0
