DateTime,AddedIPs,RemovedIPs
1540452724,80,80
1540453324,80,80
1540453923,80,80
1540454523,80,80
1540455123,80,80
1540455723,80,80
1540456325,80,80
1540456923,80,80
1540458122,80,80
1540458724,80,80
1540459324,80,80
1540459924,80,80
1540460523,80,80
1540461125,80,80
1540461724,80,80
1540462923,80,80
1540463523,80,80
1540464123,80,80
1540464723,80,80
1540465323,80,80
1540465923,80,80
1540466522,80,80
1540467123,80,80
1540467723,80,80
1540468923,79,79
1540469523,80,80
1540470124,80,80
1540470724,80,80
1540471323,79,79
1540471923,80,80
1540472523,80,80
1540473724,80,80
1540474323,80,80
1540474923,80,80
1540475523,80,80
1540476123,80,80
1540476723,80,80
1540477323,80,80
1540478523,80,80
1540479723,79,79
1540480324,80,80
1540480923,80,80
1540481523,80,80
1540482124,80,80
1540482724,80,80
1540483323,80,80
1540483924,80,80
1540484523,80,80
1540485123,80,80
1540485723,80,80
1540486923,80,80
1540487523,80,80
1540488124,80,80
1540488723,80,80
1540489323,80,80
1540489923,80,80
1540490523,80,80
1540491723,80,80
1540492323,79,79
1540492924,80,80
1540493523,80,80
1540494123,80,80
1540494724,80,80
1540495323,80,80
1540495923,80,80
1540496524,80,80
1540497123,80,80
1540497723,80,80
1540498324,80,80
1540498923,80,80
1540499523,80,80
1540500124,80,80
1540500723,80,80
1540501323,80,80
1540502524,80,80
1540503123,80,80
1540503723,80,80
1540504323,80,80
1540504923,80,80
1540505523,80,80
1540506123,80,80
1540506723,80,80
1540507323,80,80
1540507922,80,80
1540508523,80,80
1540509124,80,80
1540509723,80,80
1540510324,79,79
1540510923,79,79
1540512124,80,80
1540512723,80,80
1540513322,80,80
1540513923,80,80
1540514522,80,80
1540515123,80,80
1540515723,80,80
1540516324,79,79
1540516923,80,80
1540517524,80,80
1540518124,80,80
1540519323,80,80
1540519922,80,80
1540520523,80,80
1540521123,80,80
1540521724,80,80
1540522323,80,80
1540522923,80,80
1540523523,80,80
1540524123,80,80
1540524723,80,80
1540525322,80,80
1540526524,80,80
1540527125,79,79
1540527723,80,80
1540528324,79,79
1540528923,80,80
1540529525,80,80
1540530123,80,80
1540531323,80,80
1540531924,79,79
1540532523,80,80
1540533723,80,80
1540534923,80,80
1540535524,80,80
1540536124,79,79
1540537323,80,80
1540537924,80,80
1540538523,80,80
1540539123,80,80
1540539722,80,80
1540540323,80,80
1540540923,80,80
1540542123,80,80
1540542723,80,80
1540543323,80,80
1540544523,80,80
1540545124,80,80
1540545723,80,80
1540546923,80,80
1540548123,80,80
1540549323,80,80
1540550523,80,80
1540551123,79,79
1540551723,80,80
1540552324,80,80
1540552922,79,79
1540554124,80,80
1540554723,80,80
1540555323,80,80
1540556523,80,80
1540557124,80,80
1540557724,80,80
1540558323,80,80
1540558923,79,79
1540560124,79,79
1540560723,80,80
1540561324,80,80
1540561923,80,80
1540562523,80,80
1540563724,80,80
1540564323,80,80
1540564923,80,80
1540565524,80,80
1540566123,80,80
1540566723,80,80
1540567323,80,80
1540568523,80,80
1540569124,80,80
1540569725,80,80
1540570923,80,80
1540571524,80,80
1540572123,80,80
1540572723,80,80
1540573324,80,80
1540573923,80,80
1540574523,80,80
1540575723,80,80
1540576323,80,80
1540576923,80,80
1540578123,80,80
1540578722,80,80
1540579323,80,80
1540580523,80,80
1540581723,80,80
1540582324,79,79
1540582923,80,80
1540583522,80,80
1540584122,80,80
1540584723,80,80
1540585323,80,80
1540586524,80,80
1540587122,80,80
1540587723,78,78
1540588924,80,80
1540589523,80,80
1540590122,80,80
1540590724,79,79
1540591323,80,80
1540592524,80,80
1540593123,80,80
1540593724,80,80
1540594324,79,79
1540594924,80,80
1540595523,80,80
1540596123,80,80
1540596723,78,78
1540597323,80,80
1540597923,80,80
1540598525,80,80
1540599723,79,79
1540600924,80,80
1540601523,80,80
1540602123,80,80
1540602724,80,80
1540603323,80,80
1540604524,80,80
1540605123,80,80
1540605723,80,80
1540606923,80,80
1540607523,79,79
1540608123,80,80
1540608723,80,80
1540609323,80,80
1540609923,80,80
1540610524,80,80
1540611123,80,80
1540611723,80,80
1540612323,80,80
1540612923,80,80
1540613523,80,80
1540614123,80,80
1540614723,80,80
1540615323,80,80
1540615923,80,80
1540616523,80,80
1540617123,80,80
1540617723,80,80
1540618323,80,80
1540618923,80,80
1540619524,80,80
1540620123,80,80
1540620723,80,80
1540621324,79,79
1540621924,79,79
1540622524,80,80
1540623123,80,80
1540623725,80,80
1540624923,80,80
1540626123,80,80
1540626723,79,79
1540627324,80,80
1540627923,80,80
1540628524,79,79
1540629723,79,79
1540630323,80,80
1540630923,80,80
1540631524,79,79
1540632123,79,79
1540632724,80,80
1540633323,80,80
1540633923,80,80
1540634524,80,80
1540635723,80,80
1540636323,80,80
1540636924,80,80
1540638123,80,80
1540638724,80,80
1540639323,80,80
1540639923,80,80
1540640523,79,79
1540641723,80,80
1540642324,80,80
1540642923,80,80
1540643523,80,80
1540644123,80,80
1540644723,80,80
1540645324,80,80
1540645923,80,80
1540646524,80,80
1540647123,80,80
1540647722,79,79
1540648924,80,80
1540649522,80,80
1540650122,80,80
1540651323,80,80
1540651923,80,80
1540652523,80,80
1540653124,80,80
1540653724,80,80
1540654323,80,80
1540654923,80,80
1540656124,80,80
1540656723,80,80
1540657324,80,80
1540657923,80,80
1540658523,79,79
1540659723,80,80
1540660323,79,79
1540660924,80,80
1540662123,79,79
1540662723,79,79
1540663323,80,80
1540663923,80,80
1540664523,80,80
1540665123,80,80
1540665723,80,80
1540666923,79,79
1540667524,80,80
1540668125,80,80
1540668723,80,80
1540669323,80,80
1540670524,79,79
1540671123,80,80
1540671723,80,80
1540672323,80,80
1540672923,80,80
1540674125,80,80
