DateTime,AddedIPs,RemovedIPs
1540422724,1,0
1540423323,1,12
1540424523,0,17
1540425724,4,38
1540426923,2,6
1540427523,22,0
1540428122,8,0
1540429323,17,6
1540430523,3,3
1540431723,2,18
1540432924,5,9
1540433523,4,16
1540434123,2,0
1540435323,12,21
1540435923,7,29
1540437123,2,18
1540437723,1,7
1540438923,13,1
1540440123,27,22
1540440723,12,14
1540441323,7,25
1540442523,12,15
1540443723,5,23
1540444323,2,12
1540444922,0,5
1540446123,4,26
1540446723,5,0
1540447324,1,13
1540448523,5,0
1540449123,8,15
1540449723,8,13
1540450324,25,0
1540450924,20,0
1540451523,10,8
1540452123,32,19
1540453323,22,3
1540453923,8,6
1540454523,11,0
1540455123,4,6
1540455723,9,0
1540456325,1,31
1540456923,5,0
1540457523,0,22
1540458122,1,14
1540458724,17,7
1540459324,7,23
1540459923,14,0
1540460522,24,10
1540461125,0,24
1540461723,17,10
1540462324,24,0
1540462923,7,3
1540463523,4,5
1540464123,3,6
1540464723,7,0
1540465322,0,5
1540465923,0,1
1540466522,0,3
1540467123,6,0
1540467723,4,11
1540468923,2,11
1540469523,0,4
1540471323,23,42
1540471923,8,0
1540472523,4,3
1540473123,2,0
1540473723,3,13
1540474323,6,9
1540474923,5,0
1540476123,18,29
1540476723,3,22
1540477323,4,14
1540478523,4,6
1540479723,10,6
1540480923,9,22
1540481523,5,0
1540482124,1,7
1540483323,1,9
1540484523,5,18
1540485723,3,0
1540486923,20,31
1540487523,11,5
1540488123,9,8
1540488723,6,1
1540489323,1,9
1540489923,4,0
1540490523,2,4
1540491722,3,5
1540492323,1,16
1540493522,0,6
1540494123,0,14
1540495323,12,18
1540495923,8,12
1540496523,6,0
1540497122,12,11
1540497723,17,18
1540498324,25,0
1540498923,15,0
1540499523,8,9
1540500124,2,8
1540500723,12,0
1540501323,3,50
1540502523,7,12
1540503123,1,11
1540503723,9,0
1540504323,9,15
1540504923,9,3
1540505523,5,0
1540506123,4,26
1540508523,4,38
1540509123,7,0
1540509723,5,7
1540510324,10,0
1540510923,16,3
1540511523,21,0
1540512124,10,10
1540512722,1,0
1540513322,0,4
1540513923,1,2
1540514522,0,19
1540515722,5,28
1540516923,3,25
1540517524,1,3
1540518124,7,4
1540519323,6,15
1540519922,15,6
1540520523,3,9
1540521723,8,12
1540522323,2,6
1540522923,4,0
1540524123,13,37
1540524723,2,0
1540525322,1,8
1540526524,25,19
1540527124,14,3
1540527723,8,0
1540528323,7,10
1540528923,2,1
1540529525,10,0
1540530122,12,14
1540531323,10,0
1540531924,2,12
1540532523,8,4
1540533122,5,0
1540533723,13,3
1540534923,27,2
1540535524,11,11
1540536123,11,0
1540537323,1,16
1540537923,4,0
1540538523,1,20
1540539722,5,6
1540540323,9,9
1540540923,11,0
1540541523,21,3
1540542123,7,9
1540543323,1,2
1540544523,1,16
1540545123,1,0
1540545722,3,0
1540546923,2,25
1540548123,3,7
1540549322,21,9
1540550523,14,6
1540551123,19,0
1540551722,5,0
1540552323,11,0
1540552922,5,0
1540554124,9,8
1540554723,1,4
1540555323,2,0
1540555923,0,4
1540556523,8,14
1540557123,12,0
1540557723,4,7
1540558923,0,17
1540560123,2,9
1540561323,8,2
1540561923,17,13
1540562523,14,9
1540563724,10,8
1540564323,3,6
1540564922,8,9
1540565524,4,0
1540566122,5,8
1540567323,2,23
1540568523,3,6
1540569124,9,0
1540569725,7,14
1540570323,2,11
1540570923,6,8
1540571524,16,0
1540572122,8,11
1540573324,10,34
1540574523,3,18
1540575723,5,1
1540576322,1,0
1540576923,1,0
1540577523,4,4
1540578123,0,5
1540578722,4,0
1540579323,5,0
1540580523,15,7
1540581123,7,10
1540581723,12,13
1540582923,11,34
1540583522,5,5
1540584122,7,6
1540584723,3,0
1540585323,3,2
1540585923,2,4
1540586524,0,9
1540587122,2,6
1540587723,15,6
1540588923,17,19
1540590122,6,14
1540590724,0,7
1540591323,0,1
1540592523,12,5
1540593724,9,11
1540594323,5,4
1540594924,3,5
1540595523,8,0
1540596123,3,23
1540596722,1,0
1540597322,2,3
1540597923,0,5
1540598525,0,11
1540599723,1,1
1540600923,2,10
1540602123,22,36
1540602724,6,5
1540603323,7,8
1540603922,14,0
1540604524,7,18
1540605123,8,0
1540605723,4,24
1540606922,4,0
1540607523,0,14
1540608123,0,3
1540609323,1,3
1540610523,23,0
1540611123,4,10
1540611723,3,8
1540612323,9,0
1540612923,10,5
1540613523,4,0
1540614123,4,32
1540614723,1,0
1540615323,2,17
1540616523,3,16
1540617123,0,18
1540617723,4,4
1540618923,17,15
1540619523,10,0
1540620123,10,0
1540620723,14,6
1540621323,2,6
1540621924,6,33
1540622523,7,23
1540623724,7,48
1540624324,14,0
1540624923,14,3
1540626123,3,17
1540626723,21,7
1540627324,11,15
1540627923,4,0
1540628524,2,7
1540629123,1,18
1540629723,1,0
1540630322,2,23
1540630923,1,8
1540631524,2,11
1540632123,1,14
1540633323,2,27
1540633923,0,10
1540634523,2,0
1540635723,18,6
1540636924,13,14
1540637523,5,0
1540638123,5,12
1540638723,3,0
1540639323,0,10
1540639923,5,0
1540640523,8,0
1540641723,2,12
1540642324,2,2
1540643523,0,6
1540644123,11,20
1540644723,6,0
1540645323,3,27
1540646524,3,0
1540647122,6,20
1540647722,7,12
1540648924,3,21
1540649522,3,0
1540650122,3,38
1540650723,5,0
1540651323,6,22
1540651922,3,0
1540652523,10,10
1540653723,8,6
1540654322,0,12
1540654923,4,0
1540656124,0,52
1540656723,0,6
1540657324,12,6
1540657923,12,25
1540658523,4,0
1540659123,11,5
1540659723,12,19
1540660323,2,0
1540660924,1,8
1540662122,4,8
1540662722,1,10
1540663922,0,5
1540664523,2,15
1540665722,0,41
1540666923,22,11
1540668124,18,10
1540668723,9,10
1540669323,5,5
1540670523,4,14
1540671123,5,0
1540671722,2,0
1540672322,2,12
1540672923,2,0
1540674124,23,27
1540674724,13,4
1540675323,4,13
1540675923,2,0
1540676523,2,8
1540677723,10,30
1540678323,7,0
1540678923,10,19
1540680122,6,22
1540681323,5,16
1540682523,6,41
1540683722,7,1
1540684924,7,12
1540685523,1,5
1540687322,3,2
1540687923,6,7
1540688522,6,7
1540689723,12,3
1540690322,9,0
1540690923,0,4
1540691523,0,20
1540692123,0,13
1540693323,0,40
1540694524,3,8
1540695123,4,0
1540695723,4,10
1540696923,11,10
1540697523,5,2
1540698123,2,7
1540699322,5,34
1540699923,4,0
1540700523,4,9
1540701124,0,10
1540701723,0,7
1540702322,1,0
1540702922,7,0
1540704124,0,14
1540704724,16,0
1540705322,6,24
1540706523,14,0
1540707723,1,32
1540708322,0,15
1540708923,1,8
1540710123,4,6
1540710723,4,4
1540711323,1,8
1540711924,5,7
1540712523,11,21
1540713123,7,13
1540713722,1,0
1540714923,5,12
1540715522,0,28
1540716123,4,0
1540717324,3,18
1540717924,1,15
1540718523,0,12
1540719123,6,10
1540719723,18,0
1540720923,17,7
1540721524,2,12
1540722122,5,9
1540723323,13,16
1540723923,5,3
1540724523,5,0
1540725723,7,15
1540726323,0,2
1540726923,1,10
1540727522,2,0
1540728123,3,7
1540728723,1,0
1540729322,2,3
1540730522,12,0
1540731722,9,31
1540732923,6,7
1540733523,4,7
1540734123,7,8
1540735323,2,12
1540735923,2,1
1540736523,4,28
1540737723,17,0
1540738323,13,13
1540738924,7,12
1540740123,8,0
1540740722,7,23
1540741323,4,39
1540742524,6,0
1540743123,4,14
1540743724,15,0
1540744922,4,15
1540745523,3,8
1540746123,9,24
1540746723,9,16
1540747323,2,11
1540747923,1,0
1540748522,0,32
1540749123,0,16
1540750923,1,58
1540752123,2,2
1540752723,1,2
1540753323,17,7
1540753923,23,7
1540754522,10,16
1540755722,10,19
1540756323,12,4
1540756923,3,3
1540758122,3,40
1540760523,1,16
1540761123,6,4
1540762923,2,48
1540764123,6,0
1540764723,1,5
1540765323,22,6
1540766523,21,8
1540767723,5,6
1540768323,3,4
1540768923,12,0
1540770122,15,4
1540770723,6,0
1540771325,0,9
1540772523,2,13
1540773123,2,0
1540773723,2,22
1540774323,10,17
1540774923,3,13
1540775524,12,0
1540776123,12,25
1540776724,18,6
1540777323,8,0
1540777923,4,14
1540778523,7,39
1540779724,3,8
1540780323,3,0
1540780923,4,10
1540781522,6,11
1540782123,1,14
1540782723,1,0
1540783923,0,17
1540784523,20,0
1540785723,3,24
1540786323,0,2
1540788123,0,36
1540788723,1,0
1540789322,1,0
1540789924,3,22
1540790523,0,27
1540791123,0,7
1540791723,17,0
1540792323,47,24
1540792924,41,16
1540793523,4,12
1540794124,2,13
1540794722,3,0
1540795323,2,12
1540795923,11,5
1540796523,1,0
1540797723,4,38
1540798923,10,35
1540799523,13,0
1540800124,29,12
1540800723,38,17
1540801323,3,8
1540802523,4,2
1540803723,2,12
1540804923,19,31
1540806123,18,19
1540806723,9,0
1540807322,9,8
1540808523,13,41
1540809123,11,0
1540809722,0,17
1540810923,5,7
1540811522,1,6
1540812123,0,6
