DateTime,AddedIPs,RemovedIPs
1540438923,88,88
1540440123,92,92
1540440723,92,92
1540441323,77,77
1540442523,85,85
1540443723,82,82
1540444323,29,29
1540444922,14,14
1540446123,82,82
1540446723,36,36
1540447324,32,32
1540448523,50,50
1540449123,88,88
1540449723,63,63
1540450324,100,100
1540450924,90,90
1540451523,51,51
1540452123,99,99
1540453323,98,98
1540453923,54,54
1540454523,44,44
1540455123,38,38
1540455723,48,48
1540456325,27,27
1540456923,67,67
1540457523,20,20
1540458122,5,5
1540458724,51,51
1540459324,45,45
1540459923,98,98
1540460522,99,99
1540461723,100,100
1540462324,79,79
1540462923,37,37
1540463523,30,30
1540464123,10,10
1540464723,50,50
1540465322,49,49
1540465923,8,8
1540466522,8,8
1540467123,49,49
1540467723,40,40
1540468923,39,39
1540469523,16,16
1540470123,17,17
1540471323,81,81
1540471923,71,71
1540472523,35,35
1540473123,25,25
1540473723,25,25
1540474323,36,36
1540474923,90,90
1540476123,100,100
1540476723,56,56
1540477323,42,42
1540478523,47,47
1540479723,98,98
1540480923,38,38
1540481523,50,50
1540482124,56,56
1540483323,41,41
1540483923,15,15
1540484523,52,52
1540485723,42,42
1540486923,98,98
1540487523,90,90
1540488123,65,65
1540488723,41,41
1540489323,24,24
1540489923,68,68
1540490523,54,54
1540491722,31,31
1540492323,26,26
1540492923,4,4
1540493522,10,10
1540494123,11,11
1540495323,78,78
1540495923,67,67
1540496523,40,40
1540497122,52,52
1540497723,92,92
1540498324,86,86
1540498923,75,75
1540499523,47,47
1540500124,41,41
1540500723,94,94
1540501323,66,66
1540502523,39,39
1540503123,30,30
1540503723,59,59
1540504323,51,51
1540504923,28,28
1540505523,59,59
1540506123,82,82
1540507323,38,38
1540508523,97,97
1540509123,87,87
1540509723,55,55
1540510324,83,83
1540510923,94,94
1540511523,66,66
1540512124,35,35
1540512722,9,9
1540513322,8,8
1540513923,8,8
1540514522,9,9
1540515123,9,9
1540515722,45,45
1540516923,70,70
1540517524,8,8
1540518124,36,36
1540519323,76,76
1540519922,89,89
1540520523,49,49
1540521723,90,90
1540522323,21,21
1540522923,24,24
1540524123,83,83
1540524723,76,76
1540525322,14,14
1540526524,100,100
1540527124,68,68
1540527723,28,28
1540528323,20,20
1540528923,22,22
1540529525,70,70
1540530122,84,84
1540531323,91,91
1540531924,43,43
1540532523,76,76
1540533122,28,28
1540533723,58,58
1540534923,100,100
1540535524,67,67
1540536123,73,73
1540537323,31,31
1540537923,86,86
1540538523,26,26
1540539722,35,35
1540540323,83,83
1540540923,70,70
1540541523,86,86
1540542123,78,78
1540542723,21,21
1540543323,59,59
1540544523,39,39
1540545123,20,20
1540545722,61,61
1540546923,70,70
1540548123,64,64
1540549322,88,88
1540550523,84,84
1540551123,58,58
1540551722,41,41
1540552323,32,32
1540552922,33,33
1540554124,24,24
1540554723,59,59
1540555323,68,68
1540555923,10,10
1540556523,44,44
1540557123,34,34
1540557723,68,68
1540558923,22,22
1540559524,12,12
1540560123,51,51
1540561323,60,60
1540561923,100,100
1540562523,96,96
1540563724,76,76
1540564323,64,64
1540564922,49,49
1540565524,47,47
1540566122,70,70
1540567323,36,36
1540568523,26,26
1540569124,53,53
1540569725,55,55
1540570323,82,82
1540570923,55,55
1540571524,100,100
1540572122,89,89
1540573324,50,50
1540573923,25,25
1540574523,15,15
1540575723,52,52
1540576322,13,13
1540576923,35,35
1540577523,34,34
1540578123,20,20
1540578722,72,72
1540579323,59,59
1540580523,97,97
1540581123,92,92
1540581723,73,73
1540582923,95,95
1540583522,40,40
1540584122,37,37
1540584723,28,28
1540585323,44,44
1540585923,43,43
1540586524,29,29
1540587122,28,28
1540587723,57,57
1540588923,94,94
1540590122,32,32
1540590724,13,13
1540591323,8,8
1540592523,74,74
1540593724,78,78
1540594323,63,63
1540594924,64,64
1540595523,51,51
1540596123,37,37
1540596722,19,19
1540597322,12,12
1540597923,9,9
1540598525,9,9
1540599723,34,34
1540600923,79,79
1540602123,94,94
1540602724,35,35
1540603323,30,30
1540603922,85,85
1540604524,22,22
1540605123,59,59
1540605723,38,38
1540606922,32,32
1540607523,10,10
1540608123,5,5
1540609323,1,1
1540610523,90,90
1540611123,71,71
1540611723,81,81
1540612323,64,64
1540612923,75,75
1540613523,83,83
1540614123,53,53
1540614723,41,41
1540615323,26,26
1540616523,80,80
1540617123,35,35
1540617723,44,44
1540618923,84,84
1540619523,60,60
1540620123,88,88
1540620723,99,99
1540621323,32,32
1540621924,33,33
1540622523,88,88
1540623724,61,61
1540624324,100,100
1540624923,51,51
1540626123,60,60
1540626723,100,100
1540627324,73,73
1540627923,66,66
1540628524,21,21
1540629123,14,14
1540629723,33,33
1540630322,68,68
1540630923,14,14
1540631524,8,8
1540632123,4,4
1540633323,95,95
1540633923,7,7
1540634523,32,32
1540635723,100,100
1540636924,80,80
1540637523,59,59
1540638123,54,54
1540638723,47,47
1540639323,46,46
1540639923,39,39
1540640523,84,84
1540641723,63,63
1540642324,37,37
1540642923,31,31
1540643523,15,15
1540644123,49,49
1540644723,41,41
1540645323,20,20
1540646524,37,37
1540647122,54,54
1540647722,76,76
1540648924,97,97
1540649522,41,41
1540650122,45,45
1540650723,48,48
1540651323,58,58
1540651922,53,53
1540652523,88,88
1540653723,71,71
1540654322,34,34
1540654923,28,28
1540656124,42,42
1540656723,15,15
1540657324,91,91
1540657923,88,88
1540658523,68,68
1540659123,60,60
1540659723,97,97
1540660323,33,33
1540660924,25,25
1540662122,84,84
1540662722,21,21
1540663323,57,57
1540663922,44,44
1540664523,14,14
1540665722,20,20
1540666923,99,99
1540668124,99,99
1540668723,89,89
1540669323,87,87
1540670523,75,75
1540671123,49,49
1540671722,22,22
1540672322,25,25
1540672923,26,26
1540674124,91,91
1540674724,62,62
1540675323,62,62
1540675923,42,42
1540676523,34,34
1540677723,87,87
1540678323,40,40
1540678923,69,69
1540680122,91,91
1540681323,65,65
1540682523,52,52
1540683722,41,41
1540684924,79,79
1540685523,62,62
1540686123,13,13
1540687322,57,57
1540687923,46,46
1540688522,68,68
1540689723,33,33
1540690322,55,55
1540690923,55,55
1540691523,25,25
1540692123,14,14
1540692723,7,7
1540693323,47,47
1540694524,21,21
1540695123,21,21
1540695723,28,28
1540696923,70,70
