DateTime,AddedIPs,RemovedIPs
1538791347,1,0
1538795004,0,13
1538798544,2,0
1538802206,1,1
1538809347,3,7
1538816546,3,1
1538820203,1,2
1538823807,12,0
1538827405,0,2
1538831008,3,1
1538834603,3,0
1538838144,2,2
1538841805,2,1
1538845404,2,0
1538848946,2,4
1538856148,1,1
1538859804,2,0
1538863347,1,1
1538866945,1,0
1538870552,0,3
1538874147,1,2
1538877809,1,2
1538881405,2,0
1538884948,3,3
1538892147,0,2
1538895743,1,0
1538899406,1,3
1538906552,0,6
1538910209,6,0
1538913810,15,4
1538917409,2,0
1538920948,1,1
1538924548,0,3
1538928151,0,2
1538931747,0,2
1538935408,1,1
1538939007,3,0
1538942608,1,0
1538946209,0,7
1538953410,1,2
1538960609,0,1
1538964207,0,1
1538967806,1,6
1538971407,5,0
1538974945,2,1
1538982147,1,3
1538985746,1,0
1538989408,3,0
1538992947,14,0
1538996610,1,2
1539000145,1,0
1539003747,1,6
1539007346,1,3
1539014606,4,0
1539018205,2,1
1539021807,2,1
1539025407,1,1
1539029006,2,1
1539032608,1,0
1539036147,1,1
1539046946,2,0
1539050607,1,1
1539054206,0,7
1539057805,3,0
1539061346,0,1
1539065006,1,4
1539068605,5,0
1539072207,1,3
1539075808,20,0
1539079345,2,5
1539083008,3,0
1539084395,2,0
1539086557,6,0
1539090158,1,2
1539093757,1,4
1539097357,2,0
1539100957,2,0
1539104618,2,2
1539108159,1,0
1539111819,1,2
1539115357,1,1
1539118958,0,9
1539122618,0,2
1539126158,0,1
1539129820,3,0
1539131675,0,2
1539137020,1,0
1539140619,2,1
1539144160,3,6
1539147759,1,3
1539151359,1,0
1539154958,1,1
1539158619,1,0
1539162219,1,1
1539165758,1,0
1539169359,0,5
1539172960,2,1
1539176619,1,0
1539180159,1,0
1539187358,2,0
1539190959,2,1
1539194620,1,7
1539198217,1,0
1539201824,1,3
1539212622,0,1
1539216224,2,2
1539219762,0,1
1539223424,3,14
1539227019,1,3
1539230562,5,25
1539234158,1,0
1539237821,0,1
1539241360,1,4
1539244958,1,5
1539248560,1,22
1539252220,5,2
1539255760,2,6
1539259361,1,1
1539263021,2,0
1539266561,4,1
1539270163,1,1
1539273760,2,5
1539277361,2,0
1539280961,2,0
1539284560,0,3
1539291822,2,1
1539295420,2,0
1539298963,2,2
1539302559,1,0
1539306219,2,1
1539309821,0,1
1539313361,2,1
1539316960,4,5
1539324161,2,5
1539327819,14,2
1539331359,0,3
1539335020,1,0
1539338559,0,5
1539342161,2,0
1539345760,2,1
1539349421,1,0
1539352959,0,3
1539356561,2,2
1539360160,3,0
1539363820,3,4
1539367361,4,0
1539371022,0,3
1539374623,3,1
1539378160,1,3
1539381824,2,0
1539385362,0,2
1539388960,1,1
1539392626,2,0
1539396161,2,2
