DateTime,Entries,UniqueIPs
1538668941,1827,1970
1538672606,1826,1969
1538676201,1829,1972
1538679804,1829,1972
1538686941,1830,1973
1538690604,1830,1973
1538694202,1830,1973
1538697800,1828,1971
1538705003,1829,1972
1538708542,1831,1974
1538712202,1828,1971
1538719343,1826,1969
1538723003,1827,1970
1538726603,1829,1972
1538730202,1827,1970
1538733742,1829,1972
1538737343,1827,1970
1538744548,1826,1969
1538751742,1826,1969
1538755405,1827,1970
1538759003,1826,1969
1538762550,1828,1971
1538766205,1826,1969
1538769804,1824,1967
1538773408,1826,1969
1538776942,1826,1969
1538780547,1823,1966
1538787745,1821,1964
1538791347,1822,1965
1538795004,1816,1959
1538798544,1818,1961
1538802206,1814,1957
1538809347,1814,1957
1538816546,1816,1959
1538820203,1817,1960
1538823807,1825,1968
1538831008,1826,1969
1538834603,1828,1971
1538838144,1828,1971
1538841805,1827,1970
1538845404,1828,1972
1538848946,1827,1971
1538856148,1827,1971
1538859804,1828,1973
1538863347,1824,1969
1538866945,1825,1970
1538870552,1822,1967
1538874147,1822,1967
1538877809,1823,1968
1538881405,1820,1965
1538884948,1819,1964
1538888546,1816,1961
1538895743,1816,1960
1538899406,1817,1961
1538906552,1813,1957
1538910209,1819,1963
1538913810,1834,1978
1538917409,1836,1978
1538920948,1837,1979
1538924548,1833,1975
1538931747,1832,1974
1538935408,1828,1970
1538939007,1829,1971
1538942608,1826,1968
1538953410,1826,1968
1538956948,1825,1967
1538960609,1824,1966
1538967806,1820,1962
1538971407,1823,1965
1538974945,1825,1967
1538978550,1822,1964
1538982147,1821,1963
1538985746,1822,1964
1538989408,1822,1964
1538992947,1836,1978
1538996610,1836,1978
1539003747,1834,1975
1539007346,1835,1976
1539011007,1833,1974
1539014606,1834,1975
1539018205,1833,1974
1539021807,1833,1974
1539025407,1834,1975
1539029006,1834,1975
1539032608,1834,1975
1539043408,1833,1974
1539046946,1833,1974
1539050607,1831,1972
1539054206,1830,1971
1539057805,1832,1973
1539061346,1830,1971
1539065006,1828,1969
1539068605,1829,1970
1539072207,1830,1971
1539075808,1850,1991
1539079345,1852,1993
1539083008,1854,1995
1539084395,1856,1997
1539090158,1855,1996
1539097357,1856,1997
1539100957,1855,1996
1539104618,1855,1996
1539108159,1856,1997
1539111819,1853,1994
1539115357,1854,1995
1539118958,1852,1993
1539122618,1850,1991
1539126158,1849,1990
1539133358,1848,1989
1539137020,1849,1990
1539140619,1845,1986
1539144160,1848,1989
1539147759,1847,1988
1539151359,1845,1986
1539154958,1845,1986
1539158619,1845,1986
